method,avg_rank,std_rank,cd
cat,3.9,2.2412793965352322,3.791510720927508
rfe,4.283333333333333,3.3057609646729684,3.791510720927508
rf,4.566666666666666,2.6195843605851334,3.791510720927508
lgbm,4.6,2.764054992217051,3.791510720927508
et,5.616666666666666,2.5745010304048344,3.791510720927508
cif,6.533333333333333,2.5394662606321217,3.791510720927508
xgb,7.133333333333334,3.303869784897031,3.791510720927508
boruta,8.483333333333333,5.050550025052277,3.791510720927508
ptest_mc,8.9,3.0369941279714934,3.791510720927508
pi,9.733333333333333,3.383128072591334,3.791510720927508
ptest_rdc,10.0,3.63318042491699,3.791510720927508
cit,10.466666666666667,2.5263060428661888,3.791510720927508
r_cforest,11.266666666666667,3.974362282877035,3.791510720927508
cpi,11.7,3.61386219991853,3.791510720927508
r_ctree,12.816666666666666,2.5576139053596205,3.791510720927508
