method,avg_rank,std_rank,cd
cat,4.1,2.3713568549109882,3.791510720927508
rfe,4.55,3.3821837127315644,3.791510720927508
rf,4.6,2.4474476501040834,3.791510720927508
lgbm,4.766666666666667,2.8946310453819306,3.791510720927508
et,5.15,2.6177280225416846,3.791510720927508
cif,6.333333333333333,2.4675674031095665,3.791510720927508
xgb,7.333333333333333,3.218004902972579,3.791510720927508
boruta,8.45,5.083224042540979,3.791510720927508
ptest_mc,8.9,2.970409623828561,3.791510720927508
pi,9.066666666666666,4.047083998249714,3.791510720927508
ptest_rdc,10.2,3.409789827345179,3.791510720927508
cit,10.633333333333333,2.509758731210809,3.791510720927508
r_cforest,11.433333333333334,3.6939891114560086,3.791510720927508
cpi,11.6,3.608785575970583,3.791510720927508
r_ctree,12.883333333333333,2.5484744892233517,3.791510720927508
