method,avg_rank,std_rank,cd
cat,4.133333333333334,2.565584187319181,3.791510720927508
rfe,4.466666666666667,3.4325241764949337,3.791510720927508
lgbm,4.533333333333333,2.8487814158961995,3.791510720927508
rf,4.7,2.4785748593361734,3.791510720927508
et,5.433333333333334,2.654346540215794,3.791510720927508
cif,6.466666666666667,2.5263060428661888,3.791510720927508
xgb,7.3,3.2057240471797734,3.791510720927508
boruta,8.483333333333333,5.109604246471106,3.791510720927508
ptest_mc,8.766666666666667,3.0075830089218747,3.791510720927508
pi,9.3,3.6914315199752337,3.791510720927508
ptest_rdc,9.933333333333334,3.696244340167763,3.791510720927508
cit,10.566666666666666,2.5519056060564274,3.791510720927508
r_cforest,11.4,3.7469987990390385,3.791510720927508
cpi,11.633333333333333,3.5845346823386843,3.791510720927508
r_ctree,12.883333333333333,2.5484744892233517,3.791510720927508
