method_base,mean_sec,std_sec,median_sec,min_sec,max_sec,total_sec,n_runs
r_cforest,51.796,111.514,2.956,0.622,596.973,2284198.288,44100
pi,78.183,185.757,23.248,0.637,1133.167,897144.406,11475
rf,98.123,208.773,24.652,0.623,1233.993,1170113.846,11925
cat,100.265,219.956,25.088,0.625,1081.167,1195658.052,11925
et,97.612,206.813,25.397,0.623,1146.722,1164020.952,11925
cif,89.733,191.28,25.918,0.617,1158.957,4231817.824,47160
xgb,94.844,197.964,25.995,0.628,1142.278,5655053.4,59625
rfe,79.754,186.277,26.184,0.652,1199.885,922354.32,11565
lgbm,95.418,203.213,26.987,0.626,1176.663,2275715.978,23850
cit,88.979,209.851,27.114,0.628,1407.939,4116155.596,46260
boruta,106.978,219.594,27.54,0.623,1066.335,1275707.645,11925
ptest_mc,99.866,207.921,28.026,0.623,1079.78,1190903.693,11925
r_ctree,83.548,204.691,28.164,0.697,1339.261,1819677.618,21780
ptest_rdc,101.168,213.217,28.429,0.625,1049.096,1206427.222,11925
cpi,72.729,145.549,29.009,0.706,732.649,834567.388,11475
