method,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,accuracy_formatted,f1_macro_mean,f1_macro_ci_lo,f1_macro_ci_hi,f1_macro_formatted,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,balanced_accuracy_formatted
boruta,0.7917020202088809,0.7469143797658744,0.8342860659015106,"0.792 [0.747, 0.834]",0.7706428997829267,0.7266468288778206,0.8114422912586127,"0.771 [0.727, 0.811]",0.7822546055581205,0.7393294909499294,0.8220118508389719,"0.782 [0.739, 0.822]"
cat,0.8299180515332664,0.7910491478258269,0.866700230407825,"0.830 [0.791, 0.867]",0.8097816157723194,0.7710434214017807,0.8475220748009171,"0.810 [0.771, 0.848]",0.8201659284793452,0.7834490738032682,0.8557939759794306,"0.820 [0.783, 0.856]"
cif,0.8112433280196664,0.7682561972059113,0.851883569405926,"0.811 [0.768, 0.852]",0.7886626798332903,0.7447976807088907,0.831541383215182,"0.789 [0.745, 0.832]",0.8005678690586975,0.7591588314210774,0.8419573977003061,"0.801 [0.759, 0.842]"
cit,0.7850069050931358,0.7413459740838575,0.8287780838773291,"0.785 [0.741, 0.829]",0.7583451310211888,0.7119599706700133,0.8052345649339285,"0.758 [0.712, 0.805]",0.7716632522100875,0.7285960959610627,0.8157732584388913,"0.772 [0.729, 0.816]"
cpi,0.7368174688815685,0.681678422271041,0.7937978204523505,"0.737 [0.682, 0.794]",0.7163821778129373,0.661186591243463,0.7742766932123506,"0.716 [0.661, 0.774]",0.7315794691674142,0.6767711705037552,0.7875880391211361,"0.732 [0.677, 0.788]"
et,0.8190938983814966,0.7768123656199613,0.858013125683426,"0.819 [0.777, 0.858]",0.8005779831247584,0.7610375731314669,0.8393240028314556,"0.801 [0.761, 0.839]",0.8114754033036172,0.7732039372191493,0.8488353828989395,"0.811 [0.773, 0.849]"
lgbm,0.8297076894450481,0.7908274920139478,0.8658218352399917,"0.830 [0.791, 0.866]",0.8096724621294957,0.770039874922974,0.8474107378619599,"0.810 [0.770, 0.847]",0.8189626578308271,0.7815478092391906,0.8544828758650432,"0.819 [0.782, 0.854]"
pi,0.7749955623662124,0.7286803799176712,0.8217697574068077,"0.775 [0.729, 0.822]",0.7572092449348546,0.7117514826219618,0.8046704948256501,"0.757 [0.712, 0.805]",0.7706599708878762,0.7257470753125734,0.8160223775304326,"0.771 [0.726, 0.816]"
ptest_mc,0.7947083342757493,0.7484400530034491,0.8405688159105662,"0.795 [0.748, 0.841]",0.7750222600265411,0.7314552457378135,0.8174828942580138,"0.775 [0.731, 0.817]",0.7870290518966908,0.745392871906698,0.8285283060146613,"0.787 [0.745, 0.829]"
ptest_rdc,0.7807900251442291,0.7328029576491984,0.8279977001635676,"0.781 [0.733, 0.828]",0.7584008712889738,0.7113101025380792,0.8038636313216151,"0.758 [0.711, 0.804]",0.7711776172302185,0.7254913495385481,0.8158874647390697,"0.771 [0.725, 0.816]"
r_cforest,0.742441048483925,0.6933236826776629,0.7937888696831722,"0.742 [0.693, 0.794]",0.724646373651122,0.6762591743833841,0.7728242468989551,"0.725 [0.676, 0.773]",0.7368325331313945,0.6890597873762966,0.7855322311120638,"0.737 [0.689, 0.786]"
r_ctree,0.7321214483207847,0.6855060037676987,0.7791662626412907,"0.732 [0.686, 0.779]",0.7138852324588189,0.6708080956189039,0.7592020457393444,"0.714 [0.671, 0.759]",0.726237532079409,0.6812449688848751,0.7711571716376865,"0.726 [0.681, 0.771]"
rf,0.8244496317853347,0.7828582374767294,0.8633321949411651,"0.824 [0.783, 0.863]",0.8060498044953657,0.7653608095974248,0.8447550389867116,"0.806 [0.765, 0.845]",0.8164431486055164,0.7779669118339897,0.8535700330980257,"0.816 [0.778, 0.854]"
rfe,0.8274732009686674,0.7883169915551909,0.8652608291866983,"0.827 [0.788, 0.865]",0.8054255282272135,0.7649853031686997,0.8452892102666425,"0.805 [0.765, 0.845]",0.8152782581742559,0.7766608490734122,0.8528113241006132,"0.815 [0.777, 0.853]"
xgb,0.8205027649719571,0.7808077256893614,0.8572675355032106,"0.821 [0.781, 0.857]",0.7989440524771857,0.7596068229848889,0.8375764939654656,"0.799 [0.760, 0.838]",0.8090514562059385,0.7713063819056297,0.8458698730169397,"0.809 [0.771, 0.846]"
