method,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,accuracy_formatted,f1_macro_mean,f1_macro_ci_lo,f1_macro_ci_hi,f1_macro_formatted,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,balanced_accuracy_formatted
boruta,0.522,,,0.522 [insufficient data],0.517811576375662,,,0.518 [insufficient data],0.522,,,0.522 [insufficient data]
cat,0.522,,,0.522 [insufficient data],0.517811576375662,,,0.518 [insufficient data],0.522,,,0.522 [insufficient data]
cif,0.522,,,0.522 [insufficient data],0.517811576375662,,,0.518 [insufficient data],0.522,,,0.522 [insufficient data]
cit,0.522,,,0.522 [insufficient data],0.517811576375662,,,0.518 [insufficient data],0.522,,,0.522 [insufficient data]
cpi,0.522,,,0.522 [insufficient data],0.517811576375662,,,0.518 [insufficient data],0.522,,,0.522 [insufficient data]
et,0.522,,,0.522 [insufficient data],0.517811576375662,,,0.518 [insufficient data],0.522,,,0.522 [insufficient data]
lgbm,0.522,,,0.522 [insufficient data],0.517811576375662,,,0.518 [insufficient data],0.522,,,0.522 [insufficient data]
pi,0.522,,,0.522 [insufficient data],0.517811576375662,,,0.518 [insufficient data],0.522,,,0.522 [insufficient data]
ptest_mc,0.522,,,0.522 [insufficient data],0.517811576375662,,,0.518 [insufficient data],0.522,,,0.522 [insufficient data]
ptest_rdc,0.522,,,0.522 [insufficient data],0.517811576375662,,,0.518 [insufficient data],0.522,,,0.522 [insufficient data]
r_cforest,0.46325000000000005,,,0.463 [insufficient data],0.4570296418799487,,,0.457 [insufficient data],0.46325000000000005,,,0.463 [insufficient data]
r_ctree,0.522,,,0.522 [insufficient data],0.517811576375662,,,0.518 [insufficient data],0.522,,,0.522 [insufficient data]
rf,0.522,,,0.522 [insufficient data],0.517811576375662,,,0.518 [insufficient data],0.522,,,0.522 [insufficient data]
rfe,0.522,,,0.522 [insufficient data],0.517811576375662,,,0.518 [insufficient data],0.522,,,0.522 [insufficient data]
xgb,0.522,,,0.522 [insufficient data],0.5178115763756621,,,0.518 [insufficient data],0.522,,,0.522 [insufficient data]
