method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,75.0,0.6474707129373445,1.0,False,23,-0.06163540598770481,negligible
boruta,cif,82.0,0.8788507586415779,1.0,False,23,0.08422377065188406,negligible
boruta,cit,29.0,0.013870680857770915,0.6241806385996912,False,23,0.4663162371000599,small
boruta,cpi,6.0,0.0008458546226604534,0.06259324207687356,False,22,0.6745379455863507,medium
boruta,et,73.5,0.6012065440113676,1.0,False,23,-0.03874318235573545,negligible
boruta,lgbm,66.0,0.3957522466577532,1.0,False,23,-0.039256243524640966,negligible
boruta,pi,22.0,0.009882125340139674,0.466825129998703,False,22,0.3937889619968597,small
boruta,ptest_mc,34.0,0.024906920181163705,0.9962768072465482,False,23,0.18042729843245658,negligible
boruta,ptest_rdc,18.0,0.0032858423667329207,0.18400717253704357,False,23,0.24086291318299072,small
boruta,r_cforest,17.0,0.00019741058349609375,0.019346237182617188,True,21,0.5731306233637872,medium
boruta,r_ctree,10.0,0.0027077077180259045,0.15704704764550245,False,21,0.5785276585669503,medium
boruta,rf,66.0,0.3957522466577532,1.0,False,23,-0.06794019263229954,negligible
boruta,rfe,83.0,0.9132906921281755,1.0,False,23,0.08691924376319986,negligible
boruta,xgb,78.0,0.3134209087922204,1.0,False,23,-0.024360760302739808,negligible
cat,cif,32.0,0.019809109689971443,0.8121734972888291,False,23,0.14165500590748872,negligible
cat,cit,5.0,0.00045523094731939626,0.039605092416787474,True,23,0.5155575964947418,medium
cat,cpi,0.0,0.00029305252019248926,0.02781391143798828,True,22,0.7376488156605596,medium
cat,et,56.0,0.19888473153236397,1.0,False,23,0.022733945382952682,negligible
cat,lgbm,59.0,0.24846555845586238,1.0,False,23,0.020560937248327492,negligible
cat,pi,0.0,0.00029305252019248926,0.02781391143798828,True,22,0.4637962587816048,small
cat,ptest_mc,21.0,0.00496959648564301,0.2633886137390795,False,23,0.23728853196998995,small
cat,ptest_rdc,7.0,0.0006292038308113259,0.050336306464906076,False,23,0.29772828770136445,small
cat,r_cforest,0.0,9.5367431640625e-07,0.00010013580322265625,True,21,0.6481860110076537,medium
cat,r_ctree,0.0,0.00043777719457466344,0.038962170317145044,True,21,0.6507859619647413,medium
cat,rf,74.0,0.9057940914405992,1.0,False,23,-0.006262673076928714,negligible
cat,rfe,47.0,0.09360337304408878,1.0,False,23,0.1442359007946515,negligible
cat,xgb,85.0,0.4552335358621803,1.0,False,23,0.035516426502138716,negligible
cif,cit,12.0,0.001369747573348664,0.09040333984101183,False,23,0.37088064117335723,small
cif,cpi,7.0,0.0010018794357967698,0.07013156050577389,False,22,0.6366565662361086,medium
cif,et,71.0,0.5277266198659963,1.0,False,23,-0.12010230260878321,negligible
cif,lgbm,42.0,0.05816656898450354,1.0,False,23,-0.11858095235435412,negligible
cif,pi,19.0,0.006489970007665625,0.3309884703909469,False,22,0.3610623982388029,small
