method,avg_rank,std_rank,cd
xgb,4.25,3.25,15.166042883710032
boruta,7.75,0.25,15.166042883710032
cat,7.75,0.25,15.166042883710032
cif,7.75,0.25,15.166042883710032
cit,7.75,0.25,15.166042883710032
cpi,7.75,0.25,15.166042883710032
et,7.75,0.25,15.166042883710032
lgbm,7.75,0.25,15.166042883710032
pi,7.75,0.25,15.166042883710032
ptest_mc,7.75,0.25,15.166042883710032
ptest_rdc,7.75,0.25,15.166042883710032
r_ctree,7.75,0.25,15.166042883710032
rf,7.75,0.25,15.166042883710032
rfe,7.75,0.25,15.166042883710032
r_cforest,15.0,0.0,15.166042883710032
