method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,82.0,0.029578447341918945,1.0,False,25,-0.30216361419091836,small
boruta,cif,138.0,0.5249125957489014,1.0,False,25,-0.04254929498889894,negligible
boruta,cit,62.0,0.005578815937042236,0.2622043490409851,False,25,0.2424028137198716,small
boruta,cpi,18.0,3.0159950256347656e-05,0.002352476119995117,True,24,0.7183239285155459,medium
boruta,et,93.0,0.10340377676901527,1.0,False,25,-0.1444006212239404,negligible
boruta,lgbm,84.0,0.034661741291471225,1.0,False,25,-0.3334988643047743,small
boruta,pi,57.0,0.006516098976135254,0.28670835494995117,False,24,0.3763230380690712,small
boruta,ptest_mc,93.0,0.0626264214515686,1.0,False,25,0.20428428749729116,small
boruta,ptest_rdc,58.0,0.0037809014320373535,0.18526417016983032,False,25,0.307258386335801,small
boruta,r_cforest,35.0,0.0009758472442626953,0.05562329292297363,False,23,0.6199245247970177,medium
boruta,r_ctree,41.0,0.0021359920501708984,0.11107158660888672,False,23,0.6416430550572142,medium
boruta,rf,89.5,0.08387003096673833,1.0,False,25,-0.23426959959534777,small
boruta,rfe,118.0,0.36056673509747184,1.0,False,25,-0.22535044554224495,small
boruta,xgb,111.0,0.17295855283737183,1.0,False,25,-0.24382262850268668,small
cat,cif,37.0,0.00032907724380493164,0.020731866359710693,True,25,0.27227181157209174,small
cat,cit,0.0,5.960464477539063e-08,6.258487701416016e-06,True,25,0.5810101601991879,medium
cat,cpi,2.0,3.5762786865234375e-07,3.504753112792969e-05,True,24,1.027644231400765,large
cat,et,89.0,0.04826241731643677,1.0,False,25,0.17257874823148342,negligible
cat,lgbm,149.0,0.7164108602865278,1.0,False,25,-0.036063979371245225,negligible
cat,pi,6.0,3.8802688769973726e-05,0.002987807035287977,True,24,0.7189024203101099,medium
cat,ptest_mc,35.0,0.0002498030662536621,0.0164870023727417,True,25,0.5106781244071307,medium
cat,ptest_rdc,34.0,0.00021690130233764648,0.014749288558959961,True,25,0.6128823779019991,medium
cat,r_cforest,0.0,2.384185791015625e-07,2.4557113647460938e-05,True,23,1.0183319921827565,large
cat,r_ctree,1.0,4.76837158203125e-07,4.57763671875e-05,True,23,1.02562768002985,large
cat,rf,120.5,0.25841663359265565,1.0,False,25,0.06814345588768334,negligible
