method,avg_rank,std_rank,cd
cat,3.739130434782609,2.4885370471746406,4.289604706734938
lgbm,4.565217391304348,2.222925744550299,4.289604706734938
rf,4.804347826086956,3.2294134964712904,4.289604706734938
et,4.956521739130435,2.793287931259274,4.289604706734938
rfe,5.130434782608695,3.5880762415689986,4.289604706734938
xgb,5.826086956521739,2.943706239967088,4.289604706734938
boruta,6.434782608695652,3.6928378030584477,4.289604706734938
cif,7.130434782608695,2.8484068442016,4.289604706734938
ptest_mc,9.021739130434783,3.4467321034302385,4.289604706734938
ptest_rdc,9.26086956521739,3.5565908359398217,4.289604706734938
pi,10.630434782608695,2.7434403635500053,4.289604706734938
cit,10.652173913043478,2.3332883243476066,4.289604706734938
cpi,12.282608695652174,3.5777880188393607,4.289604706734938
r_ctree,12.565217391304348,2.8715408219058043,4.289604706734938
r_cforest,13.0,1.5036188231122245,4.289604706734938
