method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,128.0,0.5296296702875959,1.0,False,25,-0.17659245409585572,negligible
boruta,cif,120.0,0.39136593830755195,1.0,False,25,0.01565065670481367,negligible
boruta,cit,45.0,0.002699796063260186,0.14578898741605006,False,25,0.4040508919221077,small
boruta,cpi,13.0,0.00014360856762163124,0.011345076842108868,True,24,0.783342282419818,medium
boruta,et,102.0,0.17024139590961385,1.0,False,25,-0.10102889243300393,negligible
boruta,lgbm,92.0,0.09749059620220792,1.0,False,25,-0.2049451752929376,small
boruta,pi,42.0,0.0035021618425883716,0.18211241581459534,False,24,0.44173763357911733,small
boruta,ptest_mc,75.0,0.03212457120765664,1.0,False,25,0.2251335197861095,small
boruta,ptest_rdc,30.0,0.0006067668456360628,0.03822631127507196,True,25,0.31504707010406946,small
boruta,r_cforest,31.0,0.0005517005920410156,0.03548579802177339,True,23,0.6306693529777256,medium
boruta,r_ctree,25.0,0.0009832943169057011,0.058014364697436364,False,23,0.6355969664311539,medium
boruta,rf,96.0,0.12286544122931756,1.0,False,25,-0.13915435177481286,negligible
boruta,rfe,148.0,0.954431397113681,1.0,False,25,-0.0378813438039069,negligible
boruta,xgb,117.0,0.3457539786772782,1.0,False,25,-0.1430818883276569,negligible
cat,cif,55.0,0.006641885476426626,0.29888484643919816,False,25,0.18631145013364617,negligible
cat,cit,7.0,4.39414243735295e-05,0.003998669617991184,True,25,0.5659176160358328,medium
cat,cpi,5.0,5.2280977592255825e-05,0.0046530070057107685,True,24,0.9432041832945204,large
cat,et,97.0,0.1299533902149312,1.0,False,25,0.07978683670790775,negligible
cat,lgbm,148.0,0.954431397113681,1.0,False,25,-0.02867245238175596,negligible
cat,pi,8.0,7.68734345818603e-05,0.006687988808621846,True,24,0.6200935793221857,medium
cat,ptest_mc,40.0,0.0016730747221523168,0.09536525916268206,False,25,0.39664647569224465,small
cat,ptest_rdc,14.0,0.00010202944863870718,0.008570473685651402,True,25,0.4815977951152748,small
cat,r_cforest,0.0,2.384185791015625e-07,2.5033950805664062e-05,True,23,0.8179331900018928,large
cat,r_ctree,1.0,4.61253801792603e-05,0.004151284216133427,True,23,0.8083531759909209,large
cat,rf,114.0,0.3036811097223192,1.0,False,25,0.03821732244233024,negligible
cat,rfe,90.0,0.0864762654936656,1.0,False,25,0.13754382993317954,negligible
cat,xgb,116.0,0.3313349065031326,1.0,False,25,0.03355101282869681,negligible
cif,cit,34.0,0.0009187757254428568,0.055126543526571405,False,25,0.3788291808193948,small
cif,cpi,24.0,0.0005257056661761566,0.034696573967626335,True,24,0.794991673273064,medium
cif,et,134.0,0.6475683676310555,1.0,False,25,-0.11350750087872388,negligible
cif,lgbm,49.0,0.0039052650736518353,0.19526325368259176,False,25,-0.21368399485420475,small
cif,pi,48.0,0.006193715096235893,0.2849108944268511,False,24,0.4580648179400739,small
cif,ptest_mc,81.0,0.04867487567346901,1.0,False,25,0.20307941357070464,small
cif,ptest_rdc,86.0,0.0674638361316115,1.0,False,25,0.29127207906489894,small
cif,r_cforest,0.0,2.384185791015625e-07,2.5033950805664062e-05,True,23,0.7059746726308105,medium
cif,r_ctree,8.0,0.00011948540410104352,0.009678317732184525,True,23,0.7055900618197695,medium
cif,rf,89.0,0.08135857180414459,1.0,False,25,-0.15017788588501826,negligible
cif,rfe,102.0,0.17024139590961385,1.0,False,25,-0.052202996140899426,negligible
cif,xgb,82.0,0.05203342136079938,1.0,False,25,-0.15394853545033046,negligible
cit,cpi,32.0,0.0012642000256056652,0.07332360148512858,False,24,0.45141217755959123,small
cit,et,25.0,0.00035503938074694144,0.02520779603303284,True,25,-0.5039064877850401,medium
cit,lgbm,6.0,3.883801501287101e-05,0.0036507734112098747,True,25,-0.5913293365161494,medium
cit,pi,101.0,0.26043936484565555,1.0,False,24,0.08586987348062589,negligible
cit,ptest_mc,92.0,0.09749059620220792,1.0,False,25,-0.18676716562785844,negligible
