method,avg_rank,std_rank,cd
lgbm,4.282608695652174,2.737922438942257,4.289604706734938
xgb,4.695652173913044,2.4035260801887395,4.289604706734938
cat,4.934782608695652,3.34372984862221,4.289604706734938
rfe,5.456521739130435,3.1239364919999812,4.289604706734938
rf,5.630434782608695,3.3499428655229972,4.289604706734938
et,5.695652173913044,3.209155145607989,4.289604706734938
boruta,5.804347826086956,3.5775238292123546,4.289604706734938
cif,6.586956521739131,2.7609551510185253,4.289604706734938
ptest_rdc,9.065217391304348,2.8064535404100583,4.289604706734938
ptest_mc,9.521739130434783,3.8121038949456914,4.289604706734938
cit,10.043478260869565,2.9114207030927317,4.289604706734938
pi,10.23913043478261,2.4666010992835394,4.289604706734938
r_ctree,12.304347826086957,3.2894400555439542,4.289604706734938
cpi,12.652173913043478,2.997951411448562,4.289604706734938
r_cforest,13.08695652173913,1.411537659195472,4.289604706734938
