method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,68.0,9.998539462685585e-05,0.005999123677611351,True,32,-0.33810070205729265,small
boruta,cif,213.0,0.3498368663713336,1.0,False,32,-0.13850092650048687,negligible
boruta,cit,211.0,0.33092476380988955,1.0,False,32,0.07295456242439216,negligible
boruta,cpi,107.0,0.004751680418848991,0.19481889717280865,False,31,0.3820788633009118,small
boruta,et,129.0,0.010509172920137644,0.36782105220481753,False,32,-0.21534024668272672,small
boruta,lgbm,84.0,0.00043344777077436447,0.022539284080266953,True,32,-0.3429931003458881,small
boruta,pi,183.5,0.20622733728932952,1.0,False,31,0.12965657905425104,negligible
boruta,ptest_mc,258.0,0.91921989293769,1.0,False,32,0.02387487863848881,negligible
boruta,ptest_rdc,184.0,0.13863924238830805,1.0,False,32,0.10858108023014863,negligible
boruta,r_cforest,112.0,0.012047622352838516,0.40961915999650955,False,30,0.3750510850953548,small
boruta,r_ctree,83.0,0.0036337564975753973,0.15625152939574208,False,30,0.4571518200394212,small
boruta,rf,117.0,0.005025593563914299,0.20102374255657196,False,32,-0.26810844709518294,small
boruta,rfe,122.0,0.006894533988088369,0.2482032235711813,False,32,-0.3082160671917313,small
boruta,xgb,139.0,0.018431528005748987,0.5898088961839676,False,32,-0.2545571124141824,small
cat,cif,62.0,0.0002674361202427062,0.014441550493106137,True,32,0.19211889345879224,negligible
cat,cit,8.0,1.1641532182693481e-08,1.1175870895385742e-06,True,32,0.4030242846022902,small
cat,cpi,14.0,1.0244548320770264e-07,9.015202522277832e-06,True,31,0.6800591828155719,medium
cat,et,119.0,0.005712004844099283,0.21134417923167348,False,32,0.11968430925668698,negligible
cat,lgbm,262.0,0.9779350669123232,1.0,False,32,-0.005953264452915276,negligible
cat,pi,28.0,1.3811513781547546e-06,0.00011325441300868988,True,31,0.4555727836664977,small
cat,ptest_mc,43.0,5.974899977445602e-06,0.000465933233499527,True,32,0.342965911874615,small
cat,ptest_rdc,4.0,3.259629011154175e-09,3.3574178814888e-07,True,32,0.42661871357751735,small
cat,r_cforest,8.0,4.6566128730773926e-08,4.330649971961975e-06,True,30,0.7150291843771097,medium
cat,r_ctree,1.0,3.725290298461914e-09,3.7997961044311523e-07,True,30,0.8195184269240622,large
cat,rf,172.0,0.1363985378158136,1.0,False,32,0.0633934972503937,negligible
cat,rfe,257.0,0.9045956083573401,1.0,False,32,0.02793958020933794,negligible
cat,xgb,98.0,0.0013326280750334263,0.06396614760160446,False,32,0.08595431868817908,negligible
cif,cit,64.0,6.685266271233559e-05,0.004211717750877142,True,32,0.20721563168209595,small
cif,cpi,48.0,2.2230669856071472e-05,0.0015339162200689316,True,31,0.5127105555806261,medium
cif,et,181.0,0.12404650263488293,1.0,False,32,-0.07350300671093511,negligible
cif,lgbm,61.0,4.890747368335724e-05,0.0031300783157348633,True,32,-0.197309336448349,negligible
cif,pi,108.0,0.005086471326649189,0.20102374255657196,False,31,0.2759526156069066,small
cif,ptest_mc,153.0,0.03758717514574528,1.0,False,32,0.1550111430373946,negligible
cif,ptest_rdc,157.0,0.045395012479275465,1.0,False,32,0.23791118370502043,small
cif,r_cforest,9.0,6.146728992462158e-08,5.593523383140564e-06,True,30,0.5571247472360045,medium
cif,r_ctree,1.0,3.725290298461914e-09,3.7997961044311523e-07,True,30,0.6483044042983372,medium
cif,rf,89.0,0.0018341513293049481,0.08620511247733256,False,32,-0.12643321180238634,negligible
cif,rfe,74.0,0.0001777801662683487,0.010311249643564224,True,32,-0.16375393999367105,negligible
cif,xgb,159.0,0.04976938618347049,1.0,False,32,-0.10969405493522978,negligible
cit,cpi,95.0,0.0020003607496619225,0.09201659448444843,False,31,0.34576313571515266,small
cit,et,74.0,0.0001777801662683487,0.010311249643564224,True,32,-0.2829687317768382,small
cit,lgbm,5.0,4.6566128730773926e-09,4.6100467443466187e-07,True,32,-0.4076456456313642,small
cit,pi,194.0,0.2989572202786803,1.0,False,31,0.09616054753392377,negligible
cit,ptest_mc,185.0,0.1437781504355371,1.0,False,32,-0.046127357616158084,negligible
cit,ptest_rdc,264.0,1.0,1.0,False,32,0.03725875466422373,negligible
cit,r_cforest,34.0,6.917864084243774e-06,0.0005257576704025269,True,30,0.3688009141938994,small
cit,r_ctree,35.0,7.994472980499268e-06,0.0005995854735374451,True,30,0.4481524465854224,small
cit,rf,49.0,1.2635253369808197e-05,0.0009223734959959984,True,32,-0.33393523595027214,small
cit,rfe,2.0,1.3969838619232178e-09,1.4668330550193787e-07,True,32,-0.3736766111332318,small
cit,xgb,55.0,2.54092738032341e-05,0.0017024213448166847,True,32,-0.3220140344899029,small
cpi,et,14.0,1.0244548320770264e-07,9.015202522277832e-06,True,31,-0.5696575396012641,medium
cpi,lgbm,13.0,8.195638656616211e-08,7.294118404388428e-06,True,31,-0.683646890197737,medium
cpi,pi,27.0,3.801573526884497e-05,0.002471022792474923,True,31,-0.2525795713897273,small
cpi,ptest_mc,59.0,7.781665772199631e-05,0.004824632778763771,True,31,-0.3444493075357829,small
cpi,ptest_rdc,104.0,0.0038599325343966484,0.16211716644465923,False,31,-0.2696204307702923,small
cpi,r_cforest,228.0,0.935398668050766,1.0,False,30,-0.025702309318194925,negligible
cpi,r_ctree,211.0,0.6701805889606476,1.0,False,30,0.029071779588131945,negligible
cpi,rf,8.0,2.3283064365386963e-08,2.1886080503463745e-06,True,31,-0.6141605433178773,medium
cpi,rfe,20.0,3.4552067518234253e-07,2.9023736715316772e-05,True,31,-0.6554881596548757,medium
cpi,xgb,45.0,1.5350058674812317e-05,0.0010898541659116745,True,31,-0.6110421385642572,medium
et,lgbm,147.5,0.029370758896472393,0.850449874997139,False,32,-0.1251694141028749,negligible
et,pi,72.0,0.0002865353599190712,0.015186374075710773,True,31,0.3351925744743734,small
et,ptest_mc,76.0,0.00021386053413152695,0.011762329377233982,True,32,0.2276832141057003,small
et,ptest_rdc,67.0,9.054644033312798e-05,0.0055233328603208065,True,32,0.3111701216835105,small
et,r_cforest,33.0,5.973502993583679e-06,0.000465933233499527,True,30,0.5965038599994675,medium
et,r_ctree,16.0,3.1478703022003174e-07,2.6756897568702698e-05,True,30,0.691746301370313,medium
et,rf,114.0,0.014795424247745138,0.4882490001755896,False,32,-0.05439991792667773,negligible
et,rfe,176.0,0.10235170600935817,1.0,False,32,-0.09128958211193716,negligible
et,xgb,241.0,0.6779994335956872,1.0,False,32,-0.035535147182407155,negligible
lgbm,pi,31.0,2.2118911147117615e-06,0.00017473939806222916,True,31,0.4598628512757262,small
lgbm,ptest_mc,51.0,1.6032252460718155e-05,0.0011222576722502708,True,32,0.34758962598404136,small
lgbm,ptest_rdc,9.0,1.5366822481155396e-08,1.4598481357097626e-06,True,32,0.43103590734169195,small
lgbm,r_cforest,13.0,1.6391277313232422e-07,1.4096498489379883e-05,True,30,0.727062266654303,medium
lgbm,r_ctree,1.0,3.725290298461914e-09,3.7997961044311523e-07,True,30,0.8321563350405642,large
lgbm,rf,207.0,0.2950702649541199,1.0,False,32,0.06899690764664584,negligible
