method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,75.0,0.00019507110118865967,0.01131412386894226,True,32,-0.34211479472715794,small
boruta,cif,207.0,0.2950702649541199,1.0,False,32,-0.12908351117831862,negligible
boruta,cit,202.0,0.2539480281993747,1.0,False,32,0.09913581059422995,negligible
boruta,cpi,108.0,0.005086471326649189,0.20345885306596756,False,31,0.391636423901231,small
boruta,et,112.0,0.003615216352045536,0.14868437498807907,False,32,-0.23982845824406998,small
boruta,lgbm,103.0,0.0019289571791887283,0.09258994460105896,False,32,-0.3302410881356939,small
boruta,pi,184.5,0.21334852842564922,1.0,False,31,0.13078063457871378,negligible
boruta,ptest_mc,248.0,0.774951814673841,1.0,False,32,0.008605028230132233,negligible
boruta,ptest_rdc,171.0,0.0837108832783997,1.0,False,32,0.11945020497034603,negligible
boruta,r_cforest,113.0,0.01283373311161995,0.4620143920183182,False,30,0.3956895033473006,small
boruta,r_ctree,79.0,0.00274612817210872,0.12632189591700113,False,30,0.4813939349491308,small
boruta,rf,111.0,0.0033791903406381607,0.14868437498807907,False,32,-0.28911703858433174,small
boruta,rfe,145.0,0.025270413141697645,0.783382807392627,False,32,-0.2755603877098112,small
boruta,xgb,159.0,0.04976938618347049,1.0,False,32,-0.23396961275719685,small
cat,cif,85.0,0.0014020104336958314,0.07290454255218323,False,32,0.19822495649144858,negligible
cat,cit,8.0,1.1641532182693481e-08,1.1175870895385742e-06,True,32,0.42073111204588365,small
cat,cpi,16.0,1.5739351511001587e-07,1.3850629329681396e-05,True,31,0.6922747128048347,medium
cat,et,119.0,0.005712004844099283,0.22276818891987205,False,32,0.10034735604550538,negligible
cat,lgbm,242.0,0.691578262951225,1.0,False,32,0.009797456509848413,negligible
cat,pi,43.0,1.1898577213287354e-05,0.0008685961365699768,True,31,0.45917609704098866,small
cat,ptest_mc,44.0,6.794929504394531e-06,0.0005300045013427734,True,32,0.3371451481438238,small
cat,ptest_rdc,11.0,2.561137080192566e-08,2.407468855381012e-06,True,32,0.44245557028890786,small
cat,r_cforest,12.0,1.30385160446167e-07,1.1604279279708862e-05,True,30,0.7397858988055209,medium
cat,r_ctree,1.0,3.725290298461914e-09,3.8370490074157715e-07,True,30,0.8514266575770665,large
cat,rf,172.0,0.1363985378158136,1.0,False,32,0.047193571572189376,negligible
cat,rfe,249.0,0.78912592260167,1.0,False,32,0.06158168431390952,negligible
cat,xgb,102.0,0.0017936383374035358,0.08788827853277326,False,32,0.10787983328486625,negligible
cif,cit,56.0,2.8421171009540558e-05,0.0019209235906600952,True,32,0.21824348653153702,small
cif,cpi,45.0,1.5350058674812317e-05,0.0010745041072368622,True,31,0.540065637715816,medium
cif,et,171.0,0.0837108832783997,1.0,False,32,-0.10149483197847825,negligible
cif,lgbm,89.0,0.0006575542502105236,0.0361654837615788,True,32,-0.1877444972519759,negligible
cif,pi,114.0,0.007560359314084053,0.27973329462110996,False,31,0.2959633170985484,small
cif,ptest_mc,142.0,0.021623995155096054,0.7135918401181698,False,32,0.1329956057517242,negligible
cif,ptest_rdc,148.0,0.02941882098093629,0.8531458084471524,False,32,0.23833892591936456,small
cif,r_cforest,4.0,1.30385160446167e-08,1.2386590242385864e-06,True,30,0.5995684946948342,medium
cif,r_ctree,1.0,3.725290298461914e-09,3.8370490074157715e-07,True,30,0.6976188200098048,medium
cif,rf,99.0,0.003501603377268448,0.14868437498807907,False,32,-0.14999617307263993,negligible
cif,rfe,111.0,0.0033791903406381607,0.14868437498807907,False,32,-0.13674305199028988,negligible
cif,xgb,188.0,0.16004515811800957,1.0,False,32,-0.09528422381450341,negligible
cit,cpi,101.0,0.0031182998791337013,0.14032349456101656,False,31,0.34934400839062296,small
cit,et,60.0,4.397472366690636e-05,0.002726432867348194,True,32,-0.3248120091428916,small
cit,lgbm,7.0,8.847564458847046e-09,8.670613169670105e-07,True,32,-0.40940648996401713,small
cit,pi,211.0,0.4797733975574374,1.0,False,31,0.08965189187108503,negligible
cit,ptest_mc,164.0,0.062217178754508495,1.0,False,32,-0.08791955554605625,negligible
cit,ptest_rdc,253.0,0.8464598199352622,1.0,False,32,0.019033357530680875,negligible
cit,r_cforest,37.0,1.0609626770019531e-05,0.0008063316345214844,True,30,0.3832574690751462,small
cit,r_ctree,37.0,1.0609626770019531e-05,0.0008063316345214844,True,30,0.466246711323883,small
cit,rf,38.0,3.061257302761078e-06,0.00024183932691812515,True,32,-0.3704579688194159,small
cit,rfe,2.0,1.3969838619232178e-09,1.4668330550193787e-07,True,32,-0.35786967999447356,small
cit,xgb,49.0,1.2635253369808197e-05,0.0009097382426261902,True,32,-0.3195727067199246,small
cpi,et,13.0,8.195638656616211e-08,7.539987564086914e-06,True,31,-0.6015284465242884,medium
cpi,lgbm,15.0,1.2759119272232056e-07,1.148320734500885e-05,True,31,-0.6933046871518236,medium
cpi,pi,28.0,4.174619343439776e-05,0.002630010186367059,True,31,-0.26129164445087505,small
cpi,ptest_mc,67.0,0.000177089124917984,0.010448258370161057,True,31,-0.37281722389268057,small
cpi,ptest_rdc,112.0,0.0066398633643984795,0.2523148078471422,False,31,-0.28284217332742134,small
cpi,r_cforest,210.0,0.6554384250193834,1.0,False,30,-0.01718597714735879,negligible
cpi,r_ctree,205.0,0.583757072687149,1.0,False,30,0.03795856543718955,negligible
cpi,rf,3.0,4.6566128730773926e-09,4.6100467443466187e-07,True,31,-0.6431613581365314,medium
cpi,rfe,24.0,7.096678018569946e-07,5.961209535598755e-05,True,31,-0.6618354862410726,medium
cpi,xgb,50.0,2.8248876333236694e-05,0.0019209235906600952,True,31,-0.618798918545859,medium
et,lgbm,177.5,0.10577176733938302,1.0,False,32,-0.08994737560447798,negligible
et,pi,71.0,0.00026073306798934937,0.014861784875392914,True,31,0.36016056325625406,small
et,ptest_mc,59.0,3.949552774429321e-05,0.002606704831123352,True,32,0.2393345620945502,small
et,ptest_rdc,53.0,2.0234379917383194e-05,0.0013961722142994404,True,32,0.3459834572782581,small
et,r_cforest,28.0,2.7623027563095093e-06,0.00022374652326107025,True,30,0.6437055109070797,medium
et,r_ctree,14.0,2.0489096641540527e-07,1.7620623111724854e-05,True,30,0.7467533342068364,medium
et,rf,162.0,0.09193015160628144,1.0,False,32,-0.05158920971163686,negligible
et,rfe,219.0,0.4104635491967201,1.0,False,32,-0.03755542408068484,negligible
et,xgb,217.0,0.3896126742474735,1.0,False,32,0.006945921108152701,negligible
lgbm,pi,44.0,1.3524666428565979e-05,0.0009602513164281845,True,31,0.4607319382937556,small
lgbm,ptest_mc,65.0,7.404014468193054e-05,0.004516448825597763,True,32,0.3258997379379184,small
lgbm,ptest_rdc,20.0,1.7276033759117126e-07,1.50301493704319e-05,True,32,0.4309702700638099,small
lgbm,r_cforest,18.0,4.7124922275543213e-07,4.005618393421173e-05,True,30,0.7489090412070988,medium
lgbm,r_ctree,1.0,3.725290298461914e-09,3.8370490074157715e-07,True,30,0.8609110542295471,large
lgbm,rf,235.0,0.5987727888859808,1.0,False,32,0.03727211682430761,negligible
lgbm,rfe,220.0,0.4211259800940752,1.0,False,32,0.05153834074952056,negligible
lgbm,xgb,44.0,6.794929504394531e-06,0.0005300045013427734,True,32,0.09737011527427258,negligible
pi,ptest_mc,171.0,0.13531039096415043,1.0,False,31,-0.11685430521323759,negligible
pi,ptest_rdc,246.0,0.9768865816295147,1.0,False,31,-0.022825244387804762,negligible
pi,r_cforest,54.0,8.856505155563354e-05,0.005313903093338013,True,30,0.2665812933033789,small
pi,r_ctree,84.0,0.0015832837671041489,0.08074747212231159,False,30,0.34016600998151203,small
pi,rf,33.0,2.989545464515686e-06,0.00023916363716125488,True,31,-0.40720060116174905,small
pi,rfe,53.0,4.005245864391327e-05,0.002606704831123352,True,31,-0.4263006454391125,small
pi,xgb,92.0,0.001587800681591034,0.08074747212231159,False,31,-0.37781993893404275,small
ptest_mc,ptest_rdc,185.0,0.1437781504355371,1.0,False,32,0.10757684707198806,negligible
ptest_mc,r_cforest,78.0,0.0009517744183540344,0.05139581859111786,False,30,0.3796491988676422,small
ptest_mc,r_ctree,71.0,0.0005054883658885956,0.028307348489761353,True,30,0.461119044260881,small
