method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,74.0,0.0001777801662683487,0.010489029809832573,True,32,-0.3422377101092688,small
boruta,cif,211.0,0.33092476380988955,1.0,False,32,-0.12477111684535847,negligible
boruta,cit,204.0,0.269905602093786,1.0,False,32,0.104369398502853,negligible
boruta,cpi,102.0,0.0033502401784062386,0.14406032767146826,False,31,0.41202307165757646,small
boruta,et,116.0,0.004710245877504349,0.1931200809776783,False,32,-0.23702703416853135,small
boruta,lgbm,93.0,0.0009061265736818314,0.0462124552577734,True,32,-0.346490363107817,small
boruta,pi,184.0,0.21665488090366125,1.0,False,31,0.14461527219731188,negligible
boruta,ptest_mc,255.0,0.8754460029304028,1.0,False,32,0.017215554571455436,negligible
boruta,ptest_rdc,177.0,0.10643770126625896,1.0,False,32,0.11866819635100175,negligible
boruta,r_cforest,109.0,0.00993151031434536,0.3674658816307783,False,30,0.3964996693006882,small
boruta,r_ctree,80.0,0.0029472179607470846,0.12967759027287173,False,30,0.48646592538140754,small
boruta,rf,116.0,0.004710245877504349,0.1931200809776783,False,32,-0.2909675920964542,small
boruta,rfe,138.0,0.017460348084568977,0.5761914867907763,False,32,-0.28785403462007664,small
boruta,xgb,148.0,0.02941882098093629,0.9414022713899612,False,32,-0.24702740951946905,small
cat,cif,74.0,0.0006501081161352272,0.03445573015516704,True,32,0.20202398914233932,small
cat,cit,8.0,1.1641532182693481e-08,1.1292286217212677e-06,True,32,0.41790677477336047,small
cat,cpi,15.0,1.2759119272232056e-07,1.148320734500885e-05,True,31,0.7087848849401512,medium
cat,et,129.0,0.010509172920137644,0.37291060388088226,False,32,0.10481977395004521,negligible
cat,lgbm,246.0,0.7468255525454879,1.0,False,32,-0.0055800162232610044,negligible
cat,pi,36.0,4.6193599700927734e-06,0.0003695487976074219,True,31,0.47153475684703783,small
cat,ptest_mc,53.0,2.0234379917383194e-05,0.0014366409741342068,True,32,0.34280634513907227,small
cat,ptest_rdc,10.0,2.0023435354232788e-08,1.9222497940063477e-06,True,32,0.4361371830264123,small
cat,r_cforest,16.0,3.1478703022003174e-07,2.738647162914276e-05,True,30,0.7449729587821616,medium
cat,r_ctree,1.0,3.725290298461914e-09,3.8370490074157715e-07,True,30,0.8596904708845095,large
cat,rf,183.0,0.20274301595257616,1.0,False,32,0.04744791317895527,negligible
cat,rfe,259.0,0.9338707919232547,1.0,False,32,0.04913590687190207,negligible
cat,xgb,103.0,0.0019289571791887283,0.0887320302426815,False,32,0.09503107317924561,negligible
cif,cit,63.0,6.0301274061203e-05,0.003979884088039398,True,32,0.2163871270316692,small
cif,cpi,51.0,3.177858889102936e-05,0.0021927226334810257,True,31,0.5504021488780694,medium
cif,et,174.0,0.09454415086656809,1.0,False,32,-0.10203308527316707,negligible
cif,lgbm,80.0,0.00030640000477433205,0.017464800272136927,True,32,-0.20658607218387573,small
cif,pi,119.0,0.010358627885580063,0.37291060388088226,False,31,0.30038666320748925,small
cif,ptest_mc,149.0,0.030921863857656717,0.9585777795873582,False,32,0.1360680423585774,negligible
cif,ptest_rdc,159.0,0.04976938618347049,1.0,False,32,0.2313931511663479,small
cif,r_cforest,6.0,2.60770320892334e-08,2.477318048477173e-06,True,30,0.602195581430197,medium
cif,r_ctree,1.0,3.725290298461914e-09,3.8370490074157715e-07,True,30,0.7044480725272465,medium
cif,rf,103.0,0.004490198841436046,0.18858835134031393,False,32,-0.15471746341831236,negligible
cif,rfe,93.0,0.0009061265736818314,0.0462124552577734,True,32,-0.1522915452849421,negligible
cif,xgb,166.0,0.06784779019653797,1.0,False,32,-0.11148774525134807,negligible
cit,cpi,93.0,0.0017160577699542046,0.08065471518784761,False,31,0.3651596594196518,small
cit,et,72.0,0.00014727748930454254,0.008983926847577095,True,32,-0.3220162095804461,small
cit,lgbm,5.0,4.6566128730773926e-09,4.6566128730773926e-07,True,32,-0.42165437054345795,small
cit,pi,199.0,0.34684528410434723,1.0,False,31,0.1005456446013428,negligible
cit,ptest_mc,167.0,0.07081170193850994,1.0,False,32,-0.08448583968488,negligible
cit,ptest_rdc,252.0,0.8320396803319454,1.0,False,32,0.012279369633719122,negligible
cit,r_cforest,39.0,1.3966113328933716e-05,0.0010474584996700287,True,30,0.3830755744817094,small
cit,r_ctree,36.0,9.220093488693237e-06,0.0007099471986293793,True,30,0.46938273776374245,small
cit,rf,50.0,1.4242250472307205e-05,0.0010539265349507332,True,32,-0.370841423838354,small
cit,rfe,2.0,1.3969838619232178e-09,1.4668330550193787e-07,True,32,-0.36783521817381115,small
cit,xgb,52.0,1.802295446395874e-05,0.0012976527214050293,True,32,-0.33117784617457585,small
cpi,et,18.0,2.3562461137771606e-07,2.0734965801239014e-05,True,31,-0.6144927404383381,medium
cpi,lgbm,13.0,8.195638656616211e-08,7.539987564086914e-06,True,31,-0.716541182417882,medium
cpi,pi,23.0,2.602607678823061e-05,0.0018218253751761428,True,31,-0.26814283376823894,small
cpi,ptest_mc,62.0,0.00010677427053451538,0.006620004773139954,True,31,-0.3791555314930328,small
cpi,ptest_rdc,109.0,0.005441642366349697,0.2122240522876382,False,31,-0.29351029412783586,small
cpi,r_cforest,228.0,0.935398668050766,1.0,False,30,-0.04440305072693096,negligible
cpi,r_ctree,215.0,0.7303419969975948,1.0,False,30,0.012632076071074715,negligible
cpi,rf,9.0,3.073364496231079e-08,2.8889626264572144e-06,True,31,-0.6596837774522735,medium
cpi,rfe,21.0,4.163011908531189e-07,3.5385601222515106e-05,True,31,-0.6787659279048643,medium
cpi,xgb,46.0,1.7393380403518677e-05,0.0012697167694568634,True,31,-0.6401330155319717,medium
et,lgbm,160.0,0.05208174558356404,1.0,False,32,-0.10995552323085911,negligible
et,pi,80.0,0.0005905693396925926,0.032481313683092594,True,31,0.36735319402178396,small
et,ptest_mc,79.0,0.00028040027245879173,0.01626321580260992,True,32,0.24306200214863444,small
et,ptest_rdc,67.0,9.054644033312798e-05,0.0057044257409870625,True,32,0.33895117197662555,small
et,r_cforest,27.0,2.348795533180237e-06,0.00019260123372077942,True,30,0.643345473721486,medium
et,r_ctree,17.0,3.855675458908081e-07,3.31588089466095e-05,True,30,0.7501553648213044,medium
et,rf,166.0,0.06784779019653797,1.0,False,32,-0.05617312599135769,negligible
et,rfe,208.0,0.30378718534484506,1.0,False,32,-0.05401872373563608,negligible
et,xgb,233.0,0.573302308563143,1.0,False,32,-0.009846823526764633,negligible
lgbm,pi,40.0,8.019618690013885e-06,0.0006255302578210831,True,31,0.4804454381784216,small
lgbm,ptest_mc,63.0,6.0301274061203e-05,0.003979884088039398,True,32,0.34689136119460834,small
lgbm,ptest_rdc,17.0,9.639188647270203e-08,8.771661669015884e-06,True,32,0.439867369362243,small
lgbm,r_cforest,19.0,5.718320608139038e-07,4.803389310836792e-05,True,30,0.762628050178659,medium
lgbm,r_ctree,1.0,3.725290298461914e-09,3.8370490074157715e-07,True,30,0.8785554809326576,large
lgbm,rf,217.0,0.3896126742474735,1.0,False,32,0.05276154813572754,negligible
lgbm,rfe,216.0,0.37942655524238944,1.0,False,32,0.05441885059353873,negligible
lgbm,xgb,44.0,6.794929504394531e-06,0.000536799430847168,True,32,0.10020963204882564,negligible
pi,ptest_mc,164.0,0.10233690217137337,1.0,False,31,-0.11712824203353076,negligible
pi,ptest_rdc,243.0,0.9307350646704435,1.0,False,31,-0.028619473133446555,negligible
pi,r_cforest,60.0,0.00016989745199680328,0.010193847119808197,True,30,0.25032387117687727,small
pi,r_ctree,91.0,0.0027663204818964005,0.12448442168533802,False,30,0.32647183857322537,small
pi,rf,43.0,1.1898577213287354e-05,0.0009042918682098389,True,31,-0.41858022897722985,small
pi,rfe,52.0,3.570038825273514e-05,0.0024276264011859894,True,31,-0.43924913031167007,small
pi,xgb,90.0,0.0013564806431531906,0.06511107087135315,False,31,-0.3949596377543333,small
ptest_mc,ptest_rdc,193.0,0.1900944379158318,1.0,False,32,0.09800280335195194,negligible
ptest_mc,r_cforest,79.0,0.001038169488310814,0.05087030492722988,False,30,0.36447707378339905,small
ptest_mc,r_ctree,72.0,0.0005548261106014252,0.03107026219367981,True,30,0.4481795037291147,small
ptest_mc,rf,63.0,6.0301274061203e-05,0.003979884088039398,True,32,-0.29435258821494725,small
ptest_mc,rfe,92.0,0.000837184488773346,0.04353359341621399,True,32,-0.29143778638141893,small
ptest_mc,xgb,126.0,0.008798165712505579,0.334330297075212,False,32,-0.25255483325236305,small
ptest_rdc,r_cforest,130.0,0.034536734223365784,1.0,False,30,0.2748642027127557,small
ptest_rdc,r_ctree,117.0,0.016431212425231934,0.5586612224578857,False,30,0.3517699105681957,small
ptest_rdc,rf,38.0,3.061257302761078e-06,0.0002479618415236473,True,32,-0.3882493048997564,small
ptest_rdc,rfe,88.0,0.0006058444269001484,0.03271559905260801,True,32,-0.3851343509230457,small
