method,avg_rank,std_rank,cd
lgbm,4.033333333333333,2.7746871695542343,3.791510720927508
cat,4.2,2.3860706890897707,3.791510720927508
rfe,4.3,3.287856444554719,3.791510720927508
rf,4.666666666666667,2.745703714694812,3.791510720927508
et,5.866666666666666,2.857543622686372,3.791510720927508
cif,6.866666666666666,2.2910453703252776,3.791510720927508
xgb,6.9,3.2181775380899467,3.791510720927508
boruta,8.283333333333333,4.989461115413389,3.791510720927508
ptest_mc,8.9,3.608785575970583,3.791510720927508
pi,9.5,3.3516165253998453,3.791510720927508
ptest_rdc,10.066666666666666,3.586394041683404,3.791510720927508
cit,10.1,2.687625966040166,3.791510720927508
r_cforest,11.733333333333333,3.1615748537011674,3.791510720927508
cpi,11.8,3.4268547289509277,3.791510720927508
r_ctree,12.783333333333333,2.874263190608837,3.791510720927508
