method,avg_rank,std_rank,cd
lgbm,4.166666666666667,3.0120129850686603,3.791510720927508
cat,4.3,2.3115651263447745,3.791510720927508
rfe,4.6,3.272104317815474,3.791510720927508
rf,4.683333333333334,2.3326784795356796,3.791510720927508
et,5.683333333333334,2.570613848005094,3.791510720927508
cif,6.5,2.4460853078609777,3.791510720927508
xgb,6.9,3.1659648345067475,3.791510720927508
boruta,8.15,4.98857026945931,3.791510720927508
ptest_mc,9.0,3.696845502136472,3.791510720927508
pi,9.033333333333333,4.0185680147148055,3.791510720927508
ptest_rdc,10.2,3.4292856398964497,3.791510720927508
cit,10.366666666666667,2.6138519893487127,3.791510720927508
cpi,11.666666666666666,3.406692759195574,3.791510720927508
r_cforest,12.0,3.0767948691238205,3.791510720927508
r_ctree,12.75,2.830635970943632,3.791510720927508
