method,avg_rank,std_rank,cd
lgbm,4.166666666666667,3.034065845619629,3.791510720927508
cat,4.4,2.563851269737255,3.791510720927508
rfe,4.433333333333334,3.252520390234147,3.791510720927508
rf,4.866666666666666,2.7414513593269447,3.791510720927508
et,5.866666666666666,3.0411985941218784,3.791510720927508
cif,6.666666666666667,2.4540216425741286,3.791510720927508
xgb,6.9,3.23882694814033,3.791510720927508
boruta,8.216666666666667,4.992800372091353,3.791510720927508
ptest_mc,8.866666666666667,3.5282982993064644,3.791510720927508
pi,9.2,3.6710579764785334,3.791510720927508
ptest_rdc,10.0,3.5870136139505613,3.791510720927508
cit,10.1,2.7,3.791510720927508
cpi,11.733333333333333,3.4320385908216258,3.791510720927508
r_cforest,11.833333333333334,3.1207192903061443,3.791510720927508
r_ctree,12.75,2.8540906315906183,3.791510720927508
