method,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,accuracy_formatted,f1_macro_mean,f1_macro_ci_lo,f1_macro_ci_hi,f1_macro_formatted,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,balanced_accuracy_formatted
boruta,0.8052136992745084,0.7619848207853789,0.8467705767041631,"0.805 [0.762, 0.847]",0.7830381974298316,0.7384040686832017,0.8246291323476552,"0.783 [0.738, 0.825]",0.798485483280839,0.7556514477699474,0.8382545169501803,"0.798 [0.756, 0.838]"
cat,0.8444025448195744,0.8070831994999275,0.879510069459106,"0.844 [0.807, 0.880]",0.8234135635533395,0.7846288235327802,0.8610130555537914,"0.823 [0.785, 0.861]",0.8373493835060118,0.801442741465869,0.8718042717402711,"0.837 [0.801, 0.872]"
cif,0.8222924275510002,0.7775635934901713,0.8624438921855119,"0.822 [0.778, 0.862]",0.7989105978306008,0.7524084813454924,0.844340851064836,"0.799 [0.752, 0.844]",0.8144018207258304,0.7720569688576945,0.8558736661544603,"0.814 [0.772, 0.856]"
cit,0.7958498389901358,0.7501106783596111,0.8400803575182608,"0.796 [0.750, 0.840]",0.7688303315698455,0.7175248876645989,0.8189823961797222,"0.769 [0.718, 0.819]",0.7855821872030633,0.7391568811132371,0.8319411847713821,"0.786 [0.739, 0.832]"
cpi,0.7442650327168989,0.6859883171334573,0.8034997728833477,"0.744 [0.686, 0.803]",0.7217350552578745,0.6636981551875903,0.7838173977002224,"0.722 [0.664, 0.784]",0.7414997532862507,0.6842873822489176,0.800261278966093,"0.741 [0.684, 0.800]"
et,0.8310542678033332,0.7901901686351399,0.8696977321397468,"0.831 [0.790, 0.870]",0.8114910587527069,0.7706015096320513,0.8517370554275124,"0.811 [0.771, 0.852]",0.8264510954787634,0.7873419777433006,0.8634023665800001,"0.826 [0.787, 0.863]"
lgbm,0.8450415870628407,0.8062636647612504,0.8798646777739183,"0.845 [0.806, 0.880]",0.8240381649100866,0.7846191789962699,0.8622238208351986,"0.824 [0.785, 0.862]",0.8363072251171035,0.799308870535178,0.8708726125511935,"0.836 [0.799, 0.871]"
pi,0.7844076528241265,0.7352823177022239,0.8337257208650779,"0.784 [0.735, 0.834]",0.7651823507309576,0.7172584346848333,0.8158934008077988,"0.765 [0.717, 0.816]",0.7823317956280049,0.7349684795378784,0.8297327173617424,"0.782 [0.735, 0.830]"
ptest_mc,0.8020837939961574,0.7537356066413095,0.8506037983472441,"0.802 [0.754, 0.851]",0.7807984622920497,0.7337211902586545,0.8271777948879446,"0.781 [0.734, 0.827]",0.7974024508242349,0.7525370339865637,0.8421364217764505,"0.797 [0.753, 0.842]"
ptest_rdc,0.7907322145602638,0.7412425727741648,0.8396403833667243,"0.791 [0.741, 0.840]",0.7670372754818852,0.7163293120262842,0.8156997107483909,"0.767 [0.716, 0.816]",0.7829480214395281,0.7357303598855084,0.8288736894959589,"0.783 [0.736, 0.829]"
r_cforest,0.7499182451597843,0.6962840081716299,0.8023375467516574,"0.750 [0.696, 0.802]",0.7309667467923859,0.67948859945107,0.780940865406661,"0.731 [0.679, 0.781]",0.7456239511626119,0.692466848794979,0.7967673342178905,"0.746 [0.692, 0.797]"
r_ctree,0.7411150035427327,0.692603841442637,0.7891256170193017,"0.741 [0.693, 0.789]",0.7217018240783702,0.6762231461063934,0.7689137091679024,"0.722 [0.676, 0.769]",0.7369742052733896,0.6900784126625069,0.7838378546060438,"0.737 [0.690, 0.784]"
rf,0.8373432930784845,0.7967246196749088,0.875165996258353,"0.837 [0.797, 0.875]",0.8180092733574795,0.7761475361851592,0.8581488635072471,"0.818 [0.776, 0.858]",0.8322201052401237,0.7930620739697873,0.8689001750084635,"0.832 [0.793, 0.869]"
rfe,0.8413677199542365,0.8026530644466128,0.8780938863575027,"0.841 [0.803, 0.878]",0.8177892460489957,0.7764706927258246,0.8589514222234437,"0.818 [0.776, 0.859]",0.8306528318117314,0.7920907822398926,0.8685731343029901,"0.831 [0.792, 0.869]"
xgb,0.8350680722755164,0.7958075284491062,0.8704039644923836,"0.835 [0.796, 0.870]",0.8126295943889205,0.7714744439083236,0.8517958916589455,"0.813 [0.771, 0.852]",0.8256776989512462,0.7872172184072427,0.8630253211264323,"0.826 [0.787, 0.863]"
