dataset,n_samples,n_features,task,source,family,dtype
gamma,19020,9,classification,real,other,real
glass,214,10,classification,real,other,real
page-blocks,5473,10,classification,real,other,real
vowel-context,990,10,classification,real,other,real
wine,178,13,classification,real,other,real
letter,20000,16,classification,real,other,real
pendigits,10992,16,classification,real,other,real
synthetic_redundant20,1000,50,classification,synthetic,redundant,redundant
spam,4601,57,classification,real,other,real
synthetic_bias_noise50_levels500,1000,100,classification,synthetic,bias,bias
synthetic_nonlinear_p100_n1000,1000,100,classification,synthetic,nonlinear,nonlinear
synthetic_p100_k10_n1000_sep2.0,1000,100,classification,synthetic,standard,standard
synthetic_toeplitz_p100_k10_n1000_r0.95,1000,100,classification,synthetic,toeplitz,toeplitz
synthetic_weak_p100_k10_n1000_sep0.1_flip0.1,1000,100,classification,synthetic,weak_signal,weak_signal
synthetic_corr_noise_p100_k10_n1000_noise20_r0.9,1000,120,classification,synthetic,confounder,confounder
musk,6597,166,classification,real,other,real
madelon,2000,500,classification,real,other,real
isolet,7797,616,classification,real,other,real
synthetic_p1000_k5_n200_sep0.5,200,1000,classification,synthetic,standard,standard
ORL,400,1024,classification,real,other,real
Yale,165,1024,classification,real,other,real
warpAR10P,130,2400,classification,real,other,real
warpPIE10P,210,2420,classification,real,other,real
gisette,6000,5000,classification,real,other,real
TOX_171,171,5748,classification,real,other,real
ALLAML,72,7129,classification,real,other,real
arcene,100,10000,classification,real,other,real
pixraw10P,100,10000,classification,real,other,real
orlraws10P,100,10304,classification,real,other,real
CLL_SUB_111,111,11340,classification,real,other,real
dexter,300,20000,classification,real,other,real
dorothea,800,100000,classification,real,other,real
facebook,500,21,regression,real,other,
synthetic_heteroscedastic_scale4.0_noise5.0,1000,50,regression,synthetic,heteroscedastic,
synthetic_redundant20,1000,50,regression,synthetic,redundant,
imports-85,205,76,regression,real,other,
synthetic_friedman1_p100_n1000_noise1.0,1000,100,regression,synthetic,friedman,
synthetic_p100_k10_n1000_noise1.0,1000,100,regression,synthetic,standard,
synthetic_toeplitz_p100_k10_n1000_r0.95,1000,100,regression,synthetic,toeplitz,
synthetic_weak_p100_k10_n1000_noise50.0,1000,100,regression,synthetic,weak_signal,
residential,372,107,regression,real,other,
synthetic_corr_noise_p100_k10_n1000_noise20_r0.9,1000,120,regression,synthetic,confounder,
synthetic_p500_k5_n200_noise10.0,200,500,regression,synthetic,standard,
community_crime,1994,1954,regression,real,other,
comm_violence,2215,2210,regression,real,other,
coepra2,76,5144,regression,real,other,
coepra1,89,5787,regression,real,other,
coepra3,133,5787,regression,real,other,
