task,downstream_model,dataset,method_base,n_k,supported_k,start_k,end_k,start_rank,end_rank,delta_rank,mean_rank,best_rank,worst_rank,start_score,end_score,delta_score,mean_score
classification,knn,ALLAML,boruta,5,"5,10,25,50,100",5,100,7.0,2.5,-4.5,3.4,1.5,7.0,0.8882222222222222,0.9491111111111111,0.06088888888888888,0.9312444444444445
classification,knn,ALLAML,cat,5,"5,10,25,50,100",5,100,4.0,7.0,3.0,6.6,4.0,8.0,0.9179999999999999,0.8953333333333333,-0.022666666666666613,0.9109333333333332
classification,knn,ALLAML,cif,5,"5,10,25,50,100",5,100,10.0,2.5,-7.5,7.3,2.5,10.0,0.8642222222222222,0.9491111111111111,0.0848888888888889,0.9061333333333333
classification,knn,ALLAML,cit,5,"5,10,25,50,100",5,100,11.0,11.0,0.0,11.0,11.0,11.0,0.8504444444444446,0.762,-0.08844444444444455,0.7590222222222223
classification,knn,ALLAML,cpi,5,"5,10,25,50,100",5,100,14.0,15.0,1.0,14.2,13.0,15.0,0.532,0.6048888888888889,0.07288888888888889,0.6034222222222222
classification,knn,ALLAML,et,5,"5,10,25,50,100",5,100,9.0,1.0,-8.0,4.6,1.0,9.0,0.8751111111111111,0.9675555555555556,0.09244444444444455,0.9293777777777776
classification,knn,ALLAML,lgbm,5,"5,10,25,50,100",5,100,3.0,8.0,5.0,5.0,3.0,8.0,0.9242222222222222,0.8640000000000001,-0.060222222222222066,0.9101777777777779
classification,knn,ALLAML,pi,5,"5,10,25,50,100",5,100,12.0,14.0,2.0,13.0,12.0,14.0,0.6033333333333334,0.6555555555555556,0.05222222222222217,0.6491555555555555
classification,knn,ALLAML,ptest_mc,5,"5,10,25,50,100",5,100,8.0,6.0,-2.0,7.2,6.0,9.0,0.8802222222222222,0.9251111111111111,0.04488888888888887,0.9076888888888888
classification,knn,ALLAML,ptest_rdc,5,"5,10,25,50,100",5,100,1.0,4.0,3.0,4.0,1.0,6.0,0.9466666666666668,0.9471111111111111,0.0004444444444443585,0.9363555555555555
classification,knn,ALLAML,r_cforest,5,"5,10,25,50,100",5,100,13.0,12.0,-1.0,12.8,12.0,14.0,0.5986666666666667,0.7088888888888889,0.11022222222222222,0.6603111111111112
classification,knn,ALLAML,r_ctree,5,"5,10,25,50,100",5,100,15.0,13.0,-2.0,14.0,12.0,15.0,0.522,0.6902222222222223,0.16822222222222227,0.6137777777777778
classification,knn,ALLAML,rf,5,"5,10,25,50,100",5,100,6.0,5.0,-1.0,2.9,1.0,6.0,0.894,0.945111111111111,0.051111111111110996,0.9371555555555556
classification,knn,ALLAML,rfe,5,"5,10,25,50,100",5,100,5.0,9.0,4.0,6.5,4.0,9.5,0.9066666666666667,0.8473333333333334,-0.05933333333333335,0.8978222222222223
classification,knn,ALLAML,xgb,5,"5,10,25,50,100",5,100,2.0,10.0,8.0,7.5,2.0,10.0,0.9404444444444444,0.8117777777777778,-0.1286666666666666,0.8902666666666667
