dataset,cif_rank,median_rank,cif_advantage,n_features,n_samples,effective_rank,mean_abs_corr,p
ALLAML,6.0,8.0,2.0,7129,72,40.546699711649154,0.16250370191133892,7130
CLL_SUB_111,9.0,8.0,-1.0,11340,111,53.882683773763745,0.14939037671151228,11341
ORL,5.0,8.0,3.0,1024,400,32.356043533225986,0.2602267887708476,1025
TOX_171,8.0,8.0,0.0,5748,171,59.22332953171636,0.14593064427132194,5749
Yale,4.0,8.0,4.0,1024,165,29.163055133920125,0.2262878475614579,1025
arcene,11.0,8.0,-3.0,10000,100,35.548754173885946,0.18357885758392942,10001
dexter,11.0,7.0,-4.0,20000,300,147.72974413300014,0.012740429166476127,20001
gisette,12.0,8.0,-4.0,5000,6000,346.22536427961774,0.022624808072972208,5001
isolet,5.0,8.0,3.0,616,7797,60.80206870975261,0.17291608008847864,617
madelon,6.0,8.0,2.0,500,2000,420.50692075424536,0.018184768673265243,501
musk,4.0,8.0,4.0,166,6597,18.90554692527646,0.2655083059751752,167
orlraws10P,4.0,8.0,4.0,10304,100,24.847222537542926,0.24171578292220786,10305
pixraw10P,6.0,8.5,2.5,10000,100,14.712062492774967,0.2912249682190431,10001
spam,7.0,8.0,1.0,57,4601,44.70723568600838,0.06323447668476648,58
synthetic_bias_noise50_levels500,3.0,8.0,5.0,100,1000,93.60171912090736,0.027073298853708717,101
synthetic_corr_noise_p100_k10_n1000_noise20_r0.9,4.0,8.5,4.5,120,1000,86.07067269535615,0.03736348418067246,121
synthetic_nonlinear_p100_n1000,10.0,8.0,-2.0,100,1000,95.5211792867203,0.025287745553162502,101
synthetic_p1000_k5_n200_sep0.5,9.0,8.0,-1.0,1000,200,180.1505017239806,0.056622273351994726,1001
synthetic_p100_k10_n1000_sep2.0,5.0,8.0,3.0,100,1000,90.88719329893623,0.028307014352511484,101
synthetic_redundant20,4.0,8.0,4.0,50,1000,24.80101470756551,0.0964513573983528,51
synthetic_toeplitz_p100_k10_n1000_r0.95,8.0,8.0,0.0,100,1000,10.661385551814748,0.3042685062970133,101
synthetic_weak_p100_k10_n1000_sep0.1_flip0.1,7.0,8.0,1.0,100,1000,94.74498156274909,0.026367711610638982,101
warpAR10P,6.0,8.0,2.0,2400,130,15.73653290390129,0.31089937043158977,2401
warpPIE10P,5.0,8.0,3.0,2420,210,9.234222767207937,0.4067700583246158,2421
