metric,chi_square,p_value,n_datasets,n_methods,significant
precision@5,24.093802345058645,0.08747567551231294,3,17,False
recall@5,24.093802345058645,0.08747567551231294,3,17,False
f1@5,24.093802345058645,0.08747567551231294,3,17,False
precision_ir@5,28.37180062864842,0.028532853010095106,3,17,True
recall_ir@5,28.37180062864842,0.028532853010095106,3,17,True
f1_ir@5,28.37180062864842,0.028532853010095106,3,17,True
precision@10,24.25997531879884,0.0839781231110933,3,17,False
recall@10,24.25997531879884,0.0839781231110933,3,17,False
f1@10,24.15131578947368,0.08625129250278409,3,17,False
precision_ir@10,25.59435626102294,0.06000985664502876,3,17,False
recall_ir@10,25.59435626102294,0.06000985664502876,3,17,False
f1_ir@10,25.505509034817106,0.061395367951659376,3,17,False
precision@20,33.24097884695147,0.006865331237095037,3,17,True
recall@20,33.24097884695147,0.006865331237095037,3,17,True
f1@20,33.24097884695147,0.006865331237095037,3,17,True
precision_ir@20,35.09912899211945,0.0038520021870695207,3,17,True
recall_ir@20,35.09912899211945,0.0038520021870695207,3,17,True
f1_ir@20,35.09912899211945,0.0038520021870695207,3,17,True
