task,method_base,method_id,expected_jobs,ranking_jobs,metric_jobs,missing_ranking_jobs,missing_metric_jobs,expected_datasets,ranking_complete_datasets,metric_complete_datasets,ranking_partial_datasets,metric_partial_datasets,missing_ranking_cells,missing_metric_cells
classification,boruta,boruta__7f986516a1727870,155,155,155,0,0,31,31,31,0,0,,
classification,cat,cat__024a0842d4337711,155,155,155,0,0,31,31,31,0,0,,
classification,cif,cif__0e3eeca79b93fdaa,155,155,155,0,0,31,31,31,0,0,,
classification,cif,cif__46bf14ac07a4daa4,155,155,155,0,0,31,31,31,0,0,,
classification,cif,cif__4ee6725d43ec8e5a,155,155,155,0,0,31,31,31,0,0,,
classification,cif,cif__6556bbc3e830b25a,155,155,155,0,0,31,31,31,0,0,,
classification,cit,cit__2f00ba06d3fd6444,151,151,151,0,0,31,31,31,0,0,,
classification,cit,cit__43b7bdcb1c91e9ad,155,155,155,0,0,31,31,31,0,0,,
classification,cit,cit__bc8d0ddbb26c15b5,155,155,155,0,0,31,31,31,0,0,,
classification,cit,cit__f79ebf6949fbb266,155,155,155,0,0,31,31,31,0,0,,
classification,cpi,cpi__6e89acc5e72da5a8,155,155,155,0,0,31,31,31,0,0,,
classification,et,et__f5580a1865f967c8,155,155,155,0,0,31,31,31,0,0,,
classification,lgbm,lgbm__3de1e81aa7b72795,155,155,155,0,0,31,31,31,0,0,,
classification,lgbm,lgbm__71ba9ba402678146,155,155,155,0,0,31,31,31,0,0,,
classification,pi,pi__6e89acc5e72da5a8,155,155,155,0,0,31,31,31,0,0,,
classification,ptest_mc,ptest_mc__307d6fc3284c28e2,155,155,155,0,0,31,31,31,0,0,,
classification,ptest_rdc,ptest_rdc__307d6fc3284c28e2,155,155,155,0,0,31,31,31,0,0,,
classification,r_cforest,r_cforest__2ceb10303a012721,150,150,150,0,0,30,30,30,0,0,,
classification,r_cforest,r_cforest__37be32340835a93b,150,150,150,0,0,30,30,30,0,0,,
classification,r_cforest,r_cforest__5c2653de657569d8,150,150,150,0,0,30,30,30,0,0,,
classification,r_cforest,r_cforest__fb88a07ec8f619b0,150,150,150,0,0,30,30,30,0,0,,
classification,r_ctree,r_ctree__9d1ca9c27dfc7f5e,150,150,150,0,0,30,30,30,0,0,,
classification,r_ctree,r_ctree__b6e09ceb0eb26367,147,147,147,0,0,30,30,30,0,0,,
classification,rf,rf__27caa3a0a3b84fd9,155,155,155,0,0,31,31,31,0,0,,
classification,rfe,rfe__99914b932bd37a50,155,155,155,0,0,31,31,31,0,0,,
classification,xgb,xgb__1c62fadfc5e2988f,155,155,155,0,0,31,31,31,0,0,,
classification,xgb,xgb__25fa52189eed6675,155,155,155,0,0,31,31,31,0,0,,
classification,xgb,xgb__71ba9ba402678146,155,155,155,0,0,31,31,31,0,0,,
classification,xgb,xgb__c019cf602a5db652,155,155,155,0,0,31,31,31,0,0,,
classification,xgb,xgb__c2661145d45caaf6,155,155,155,0,0,31,31,31,0,0,,
regression,boruta,boruta__7f986516a1727870,80,80,80,0,0,16,16,16,0,0,,
regression,cat,cat__024a0842d4337711,80,80,80,0,0,16,16,16,0,0,,
regression,cif,cif__2dd11a912cc98703,80,80,80,0,0,16,16,16,0,0,,
regression,cif,cif__40426895fc45caef,80,80,80,0,0,16,16,16,0,0,,
regression,cif,cif__a01a3672a449d400,80,80,80,0,0,16,16,16,0,0,,
regression,cif,cif__f996d20e25e412cc,80,80,80,0,0,16,16,16,0,0,,
regression,cit,cit__2416a5074f8a84c3,80,80,80,0,0,16,16,16,0,0,,
regression,cit,cit__2cd925b5323e9208,80,80,80,0,0,16,16,16,0,0,,
regression,cit,cit__bd4437cf99705bab,80,80,80,0,0,16,16,16,0,0,,
regression,cit,cit__f1d3d418e5d1e316,80,80,80,0,0,16,16,16,0,0,,
regression,cpi,cpi__6e89acc5e72da5a8,80,80,80,0,0,16,16,16,0,0,,
regression,et,et__f09eb85fc7f75870,80,80,80,0,0,16,16,16,0,0,,
regression,lgbm,lgbm__3de1e81aa7b72795,80,80,80,0,0,16,16,16,0,0,,
regression,lgbm,lgbm__71ba9ba402678146,80,80,80,0,0,16,16,16,0,0,,
regression,pi,pi__6e89acc5e72da5a8,80,80,80,0,0,16,16,16,0,0,,
regression,ptest_dc,ptest_dc__307d6fc3284c28e2,80,80,80,0,0,16,16,16,0,0,,
regression,ptest_pc,ptest_pc__307d6fc3284c28e2,80,80,80,0,0,16,16,16,0,0,,
regression,ptest_rdc,ptest_rdc__307d6fc3284c28e2,80,80,80,0,0,16,16,16,0,0,,
regression,r_cforest,r_cforest__2ceb10303a012721,80,80,80,0,0,16,16,16,0,0,,
regression,r_cforest,r_cforest__37be32340835a93b,80,80,80,0,0,16,16,16,0,0,,
regression,r_cforest,r_cforest__5c2653de657569d8,80,80,80,0,0,16,16,16,0,0,,
regression,r_cforest,r_cforest__fb88a07ec8f619b0,80,80,80,0,0,16,16,16,0,0,,
regression,r_ctree,r_ctree__9d1ca9c27dfc7f5e,80,80,80,0,0,16,16,16,0,0,,
regression,r_ctree,r_ctree__b6e09ceb0eb26367,80,80,80,0,0,16,16,16,0,0,,
regression,rf,rf__aed17443e3db937d,80,80,80,0,0,16,16,16,0,0,,
regression,rfe,rfe__99914b932bd37a50,80,80,80,0,0,16,16,16,0,0,,
regression,xgb,xgb__1c62fadfc5e2988f,80,80,80,0,0,16,16,16,0,0,,
regression,xgb,xgb__25fa52189eed6675,80,80,80,0,0,16,16,16,0,0,,
regression,xgb,xgb__71ba9ba402678146,80,80,80,0,0,16,16,16,0,0,,
regression,xgb,xgb__c019cf602a5db652,80,80,80,0,0,16,16,16,0,0,,
regression,xgb,xgb__c2661145d45caaf6,80,80,80,0,0,16,16,16,0,0,,
