task,method_base,method_id,dataset,expected_seeds,ranking_seeds,metric_seeds,missing_ranking_seeds,missing_metric_seeds
classification,boruta,boruta__7f986516a1727870,ALLAML,5,5,5,,
classification,boruta,boruta__7f986516a1727870,CLL_SUB_111,5,5,5,,
classification,boruta,boruta__7f986516a1727870,ORL,5,5,5,,
classification,boruta,boruta__7f986516a1727870,TOX_171,5,5,5,,
classification,boruta,boruta__7f986516a1727870,Yale,5,5,5,,
classification,boruta,boruta__7f986516a1727870,arcene,5,5,5,,
classification,boruta,boruta__7f986516a1727870,dexter,5,5,5,,
classification,boruta,boruta__7f986516a1727870,gamma,5,5,5,,
classification,boruta,boruta__7f986516a1727870,gisette,5,5,5,,
classification,boruta,boruta__7f986516a1727870,glass,5,5,5,,
classification,boruta,boruta__7f986516a1727870,isolet,5,5,5,,
classification,boruta,boruta__7f986516a1727870,letter,5,5,5,,
classification,boruta,boruta__7f986516a1727870,madelon,5,5,5,,
classification,boruta,boruta__7f986516a1727870,musk,5,5,5,,
classification,boruta,boruta__7f986516a1727870,orlraws10P,5,5,5,,
classification,boruta,boruta__7f986516a1727870,page-blocks,5,5,5,,
classification,boruta,boruta__7f986516a1727870,pendigits,5,5,5,,
classification,boruta,boruta__7f986516a1727870,pixraw10P,5,5,5,,
classification,boruta,boruta__7f986516a1727870,spam,5,5,5,,
classification,boruta,boruta__7f986516a1727870,synthetic_bias_noise50_levels500,5,5,5,,
classification,boruta,boruta__7f986516a1727870,synthetic_corr_noise_p100_k10_n1000_noise20_r0.9,5,5,5,,
classification,boruta,boruta__7f986516a1727870,synthetic_nonlinear_p100_n1000,5,5,5,,
classification,boruta,boruta__7f986516a1727870,synthetic_p1000_k5_n200_sep0.5,5,5,5,,
classification,boruta,boruta__7f986516a1727870,synthetic_p100_k10_n1000_sep2.0,5,5,5,,
classification,boruta,boruta__7f986516a1727870,synthetic_redundant20,5,5,5,,
classification,boruta,boruta__7f986516a1727870,synthetic_toeplitz_p100_k10_n1000_r0.95,5,5,5,,
classification,boruta,boruta__7f986516a1727870,synthetic_weak_p100_k10_n1000_sep0.1_flip0.1,5,5,5,,
classification,boruta,boruta__7f986516a1727870,vowel-context,5,5,5,,
classification,boruta,boruta__7f986516a1727870,warpAR10P,5,5,5,,
classification,boruta,boruta__7f986516a1727870,warpPIE10P,5,5,5,,
classification,boruta,boruta__7f986516a1727870,wine,5,5,5,,
classification,cat,cat__024a0842d4337711,ALLAML,5,5,5,,
classification,cat,cat__024a0842d4337711,CLL_SUB_111,5,5,5,,
classification,cat,cat__024a0842d4337711,ORL,5,5,5,,
classification,cat,cat__024a0842d4337711,TOX_171,5,5,5,,
classification,cat,cat__024a0842d4337711,Yale,5,5,5,,
classification,cat,cat__024a0842d4337711,arcene,5,5,5,,
classification,cat,cat__024a0842d4337711,dexter,5,5,5,,
classification,cat,cat__024a0842d4337711,gamma,5,5,5,,
classification,cat,cat__024a0842d4337711,gisette,5,5,5,,
classification,cat,cat__024a0842d4337711,glass,5,5,5,,
classification,cat,cat__024a0842d4337711,isolet,5,5,5,,
