experiment,method,base_dataset,p_noise,p_total,n_samples,n_informative,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std
noise_injection,cif,easy,0,50,1000,10,0.96,0.04898979485566354,0.96,0.04898979485566354,0.96,0.04898979485566354,0.4326530612244898,0.31309075772677725,0.900624053098622,0.07683513100411637,0.9824074742082101,0.006275872484186175,32.0810900704,7.275380183264339
noise_injection,cif,easy,10,60,1000,10,0.96,0.04898979485566354,0.96,0.04898979485566354,0.96,0.04898979485566354,0.27796610169491526,0.16100802829881922,0.9028196618810572,0.07148341965526483,0.983608686241974,0.005235906224667967,29.643908818199996,2.360855055044674
noise_injection,cif,easy,50,100,1000,10,0.8800000000000001,0.07483314773547882,0.8800000000000001,0.07483314773547882,0.8800000000000001,0.07483314773547876,0.5414141414141415,0.3508760008356981,0.9024216626986992,0.07248793418339096,0.979803044513383,0.007725116163170524,30.4672775172,4.789642650570582
noise_injection,cif,easy,100,150,1000,10,0.8,0.14142135623730953,0.8,0.14142135623730953,0.8,0.14142135623730953,0.4469798657718121,0.3268284107197555,0.8984188250006012,0.07465261981882414,0.9710133948969532,0.01911890040558497,31.92518774059995,4.241482679339703
noise_injection,cif,easy,500,550,1000,10,0.68,0.17204650534085253,0.68,0.17204650534085253,0.68,0.17204650534085253,0.794535519125683,0.11225722013091777,0.8984188250006012,0.07175826598369892,0.941793521390953,0.06476474371699233,30.716889799799947,3.5405147644183574
noise_injection,cif,easy,1000,1050,1000,10,0.68,0.11661903789690603,0.68,0.11661903789690603,0.68,0.11661903789690607,0.6175405147759772,0.22879758485242213,0.8938219945650868,0.07453401129968805,0.947402784791862,0.03990202637566983,30.697979367000062,2.7282578638751924
noise_injection,rf,easy,0,50,1000,10,1.0,0.0,1.0,0.0,1.0,0.0,0.1836734693877551,0.0,0.9038224755308659,0.07212650715492529,0.983603876584181,0.0052364595636691215,0.17411273719994824,0.006049999603085021
noise_injection,rf,easy,10,60,1000,10,1.0,0.0,1.0,0.0,1.0,0.0,0.15254237288135594,0.0,0.9038224755308659,0.07212650715492529,0.983603876584181,0.0052364595636691215,0.16287725559996033,0.0031205763290199223
noise_injection,rf,easy,50,100,1000,10,1.0,0.0,1.0,0.0,1.0,0.0,0.09090909090909091,0.0,0.9038224755308659,0.07212650715492529,0.983603876584181,0.0052364595636691215,0.17096423860002688,0.005111314413535002
noise_injection,rf,easy,100,150,1000,10,1.0,0.0,1.0,0.0,1.0,0.0,0.06040268456375839,0.0,0.9038224755308659,0.07212650715492529,0.983603876584181,0.0052364595636691215,0.16832907259995408,0.0063410788253818835
noise_injection,rf,easy,500,550,1000,10,0.9800000000000001,0.039999999999999994,0.9800000000000001,0.039999999999999994,0.9800000000000001,0.039999999999999994,0.1715846994535519,0.3103825136612022,0.9030216675083569,0.07150652943826263,0.9824026645504172,0.0052328725896603,0.17611850499997672,0.005327059215211322
noise_injection,rf,easy,1000,1050,1000,10,0.8800000000000001,0.0748331477354788,0.8800000000000001,0.0748331477354788,0.8800000000000001,0.07483314773547876,0.422878932316492,0.31029199044997147,0.9002104225284372,0.07389196134057002,0.9766022172522424,0.015056483922086387,0.18783379780006726,0.0064107403899841845
noise_injection,et,easy,0,50,1000,10,1.0,0.0,1.0,0.0,1.0,0.0,0.1836734693877551,0.0,0.9038224755308659,0.07212650715492529,0.983603876584181,0.0052364595636691215,0.11981757399994422,0.0020347629971336724
noise_injection,et,easy,10,60,1000,10,1.0,0.0,1.0,0.0,1.0,0.0,0.15254237288135594,0.0,0.9038224755308659,0.07212650715492529,0.983603876584181,0.0052364595636691215,0.12297590140001376,0.004148941427893145
noise_injection,et,easy,50,100,1000,10,1.0,0.0,1.0,0.0,1.0,0.0,0.09090909090909091,0.0,0.9038224755308659,0.07212650715492529,0.983603876584181,0.0052364595636691215,0.11936121799994907,0.005438128614990254
noise_injection,et,easy,100,150,1000,10,1.0,0.0,1.0,0.0,1.0,0.0,0.06040268456375839,0.0,0.9038224755308659,0.07212650715492529,0.983603876584181,0.0052364595636691215,0.13529058280000755,0.021808427222984043
noise_injection,et,easy,500,550,1000,10,0.96,0.04898979485566354,0.96,0.04898979485566354,0.96,0.04898979485566354,0.06557377049180328,0.061673095093069535,0.900221244258471,0.07773815959847956,0.9828066758050167,0.0073548590850949875,0.12791878799998813,0.005643136708407932
noise_injection,et,easy,1000,1050,1000,10,0.8,0.0632455532033676,0.8,0.0632455532033676,0.8,0.0632455532033676,0.5691134413727359,0.21572317881859246,0.8968196137844793,0.06931537539264362,0.9697989563042588,0.014503363675289297,0.12716746120004246,0.0035511527513837514
noise_injection,cif,moderate,0,50,1000,10,0.8800000000000001,0.0748331477354788,0.8800000000000001,0.0748331477354788,0.8800000000000001,0.07483314773547876,0.6816326530612244,0.26090541737954104,0.6862191280090422,0.053318720346558914,0.853204434504485,0.031030113390866677,28.110397932999966,2.078650561805038
noise_injection,cif,moderate,10,60,1000,10,0.86,0.12000000000000001,0.86,0.12000000000000001,0.8600000000000001,0.11999999999999998,0.4915254237288136,0.2978424764269667,0.6834223120025011,0.052508401871040805,0.8594052858139143,0.042546787416019326,30.004313899599946,2.4386832019901292
noise_injection,cif,moderate,50,100,1000,10,0.8,0.10954451150103324,0.8,0.10954451150103324,0.8,0.10954451150103324,0.5212121212121212,0.3248444645210793,0.6818243032008272,0.046421390435548014,0.8422083543755863,0.0380840675982525,29.598862970799974,1.8201345989026967
noise_injection,cif,moderate,100,150,1000,10,0.78,0.14696938456699069,0.78,0.14696938456699069,0.78,0.1469693845669907,0.6,0.2343272035479408,0.6864271457085828,0.05189177584645045,0.8080477599018832,0.08401170730149315,28.663152018599977,1.9478168620807528
