competitor,CIF_rank,competitor_rank,rank_diff,CI_lo,CI_hi,p_value,sig,n_datasets
R-cforest,6.434782608695652,12.391304347826088,-5.956521739130435,-7.0,-4.868478260869582,2.941159163688329e-05,***,23
CPI,6.625,12.5625,-5.9375,-7.604166666666667,-4.020833333333333,0.00013221822547540536,***,24
R-ctree,6.434782608695652,12.26086956521739,-5.826086956521739,-7.391304347826087,-4.260869565217392,4.5064410300917666e-05,***,23
PI,6.625,10.395833333333334,-3.7708333333333335,-5.520833333333333,-1.875,0.0016357687264641802,**,24
CIT,6.76,9.88,-3.12,-4.72,-1.32,0.0026070759252802686,**,25
RDC-ptest,6.76,9.18,-2.42,-4.46,-0.2,0.02883759853872121,*,25
MC-ptest,6.76,8.42,-1.66,-3.74,0.64,0.2250633773536993,,25
Boruta,6.76,7.14,-0.38,-2.38,1.7,0.5620414841406112,,25
XGBoost,6.76,6.24,0.52,-1.12,2.16,0.5981748200798194,,25
RFE,6.76,5.24,1.52,0.3,2.7,0.029520079753200423,*,25
LightGBM,6.76,4.86,1.9,0.2795000000000002,3.5204999999999926,0.035188209269966346,*,25
ExtraTrees,6.76,4.84,1.92,0.46,3.36,0.021006783088850983,*,25
CatBoost,6.76,4.7,2.06,0.22,3.8,0.04461203964726584,*,25
RF,6.76,4.7,2.06,0.9395000000000001,3.2,0.0023615389691907006,**,25
