task,focus_method,baseline,n_datasets,mean_delta,median_delta,wins,losses,ties,datasets,metric,refit_top10_agreement_mean,refit_top10_jaccard_mean,refit_folds_compared
classification,cif_oobperm,r_cforest,20,0.012119564245193554,0.006206372813682585,15,5,0,ALLAML;CLL_SUB_111;ORL;TOX_171;Yale;arcene;dexter;gamma;glass;madelon;musk;orlraws10P;page-blocks;pendigits;pixraw10P;spam;vowel-context;warpAR10P;warpPIE10P;wine,balanced_accuracy,0.13443322109988778,0.3778616565041182,495
classification,cif_oobperm,cif,20,0.0011532688704831136,-0.0012095382523715466,8,12,0,ALLAML;CLL_SUB_111;ORL;TOX_171;Yale;arcene;dexter;gamma;glass;madelon;musk;orlraws10P;page-blocks;pendigits;pixraw10P;spam;vowel-context;warpAR10P;warpPIE10P;wine,balanced_accuracy,0.13443322109988778,0.3778616565041182,495
classification,cif_perm,r_cforest,16,-0.10045781770213696,-0.05544920634920637,6,10,0,ALLAML;CLL_SUB_111;ORL;TOX_171;Yale;dexter;gamma;glass;musk;orlraws10P;page-blocks;pixraw10P;spam;vowel-context;warpAR10P;warpPIE10P,balanced_accuracy,0.13443322109988778,0.3778616565041182,495
classification,cif_perm,cif,16,-0.1167763422281074,-0.07535687830687829,1,14,1,ALLAML;CLL_SUB_111;ORL;TOX_171;Yale;dexter;gamma;glass;musk;orlraws10P;page-blocks;pixraw10P;spam;vowel-context;warpAR10P;warpPIE10P,balanced_accuracy,0.13443322109988778,0.3778616565041182,495
classification,cif,r_cforest,20,0.01096629537471044,0.0081147555085291,16,4,0,ALLAML;CLL_SUB_111;ORL;TOX_171;Yale;arcene;dexter;gamma;glass;madelon;musk;orlraws10P;page-blocks;pendigits;pixraw10P;spam;vowel-context;warpAR10P;warpPIE10P;wine,balanced_accuracy,0.13443322109988778,0.3778616565041182,495
regression,cif_oobperm,r_cforest,8,-0.11523123322773107,0.0056864666265619,6,2,0,coepra1;coepra2;coepra3;comm_violence;community_crime;facebook;imports-85;residential,r2,0.2305,0.49365246810293245,200
regression,cif_oobperm,cif,8,-0.13639573677390665,-0.0020681285939181384,4,4,0,coepra1;coepra2;coepra3;comm_violence;community_crime;facebook;imports-85;residential,r2,0.2305,0.49365246810293245,200
regression,cif_perm,r_cforest,6,-0.015630689920833232,0.005767654400884587,4,2,0,coepra1;coepra2;coepra3;comm_violence;facebook;residential,r2,0.2305,0.49365246810293245,200
regression,cif_perm,cif,6,-0.04094270757294993,-0.00027264681239743565,3,3,0,coepra1;coepra2;coepra3;comm_violence;facebook;residential,r2,0.2305,0.49365246810293245,200
regression,cif,r_cforest,8,0.02116450354617557,0.00872196122835223,6,2,0,coepra1;coepra2;coepra3;comm_violence;community_crime;facebook;imports-85;residential,r2,0.2305,0.49365246810293245,200
