task,dataset_source,variant,runtime_ratio_scope,n_dataset_types,n_runs,n_success,runtime_ratio_vs_default_median,runtime_ratio_vs_default_p25,runtime_ratio_vs_default_p75,runtime_ratio_vs_default_mean,runtime_speedup_vs_default_median,runtime_speedup_vs_default_mean,n_pairs_faster_5pct,n_pairs_near_default,n_pairs_slower_5pct,mean_depth,mean_max_depth,mean_features_used,mean_importance_nonzero_count,mean_precision_at_10,mean_recall_at_10,mean_f1_at_10,changes_statistical_rule,delta_mean_depth,delta_mean_features_used,delta_mean_importance_nonzero_count,delta_mean_precision_at_10,delta_mean_recall_at_10,delta_mean_f1_at_10
classification,real,cit_default,paired_seed_dataset_vs_cit_default,7,35,35,1.0,1.0,1.0,1.0,1.0,1.0,0,35,0,7.485714285714286,7.485714285714286,13.085714285714285,13.085714285714285,,,,False,0.0,0.0,0.0,,,
classification,real,cit_no_adaptive,paired_seed_dataset_vs_cit_default,7,35,35,0.9881091384181516,0.16753033409089035,2.4060744659639304,4.007805895987955,1.012033955683159,4.328686610272309,17,1,17,11.857142857142858,11.857142857142858,19.114285714285714,19.114285714285714,,,,False,4.371428571428572,6.0285714285714285,6.0285714285714285,,,
classification,real,cit_no_feature_scan,paired_seed_dataset_vs_cit_default,7,35,35,1.0469051743936353,0.5654208374983711,2.278356302752666,1.8274877559409777,0.9551963486847769,1.3526439388868134,15,3,17,8.657142857142857,8.657142857142857,17.285714285714285,17.285714285714285,,,,False,1.1714285714285708,4.199999999999999,4.199999999999999,,,
classification,real,cit_no_threshold_scan,paired_seed_dataset_vs_cit_default,7,35,35,1.0258849798999032,0.46746030840895014,1.687263551316395,1.399672412692185,0.9747681461303499,1.812861623112745,17,1,17,10.228571428571428,10.228571428571428,14.657142857142857,14.657142857142857,,,,False,2.742857142857142,1.5714285714285712,1.5714285714285712,,,
classification,real,cit_no_feature_mute,paired_seed_dataset_vs_cit_default,7,35,35,0.999573526276639,0.9966249593028967,1.0046295624865333,0.9328074989605958,1.0004266556807977,1.82693359027974,5,27,3,7.542857142857143,7.542857142857143,13.2,13.2,,,,False,0.05714285714285694,0.11428571428571388,0.11428571428571388,,,
classification,real,cit_exact_thresholds,paired_seed_dataset_vs_cit_default,7,35,35,0.9822235807218737,0.9244485221344082,1.2064110322219093,1.3701075856829776,1.0180981393921145,1.2221512083073995,15,7,13,7.628571428571429,7.628571428571429,12.8,12.8,,,,False,0.14285714285714324,-0.2857142857142847,-0.2857142857142847,,,
classification,real,cit_no_bonferroni,paired_seed_dataset_vs_cit_default,7,35,35,0.0301774807386498,0.00888381444835937,0.1034490543783931,0.06396439784611684,33.137292296213786,61.774859430601296,35,0,0,10.542857142857143,10.542857142857143,34.68571428571428,34.68571428571428,,,,True,3.057142857142857,21.599999999999998,21.599999999999998,,,
classification,synthetic,cit_default,paired_seed_dataset_vs_cit_default,8,40,40,1.0,1.0,1.0,1.0,1.0,1.0,0,40,0,5.025,5.025,4.7,4.7,0.41500000000000004,0.48,0.43666666666666665,False,0.0,0.0,0.0,0.0,0.0,0.0
classification,synthetic,cit_no_adaptive,paired_seed_dataset_vs_cit_default,8,40,40,0.1798304954648762,0.14412885659928001,0.29227934955246543,0.2543875499223176,5.561793104574258,8.179893392341958,39,0,1,7.25,7.25,6.275,6.275,0.4125,0.475,0.4333333333333333,False,2.2249999999999996,1.5750000000000002,1.5750000000000002,-0.0025000000000000577,-0.0050000000000000044,-0.003333333333333355
classification,synthetic,cit_no_feature_scan,paired_seed_dataset_vs_cit_default,8,40,40,0.9273889162688493,0.6077084106116305,1.0202300124162886,0.8797082368489008,1.0795029877348905,1.3581701349723498,20,10,10,5.175,5.175,5.225,5.225,0.4,0.45999999999999996,0.42000000000000004,False,0.14999999999999947,0.5249999999999995,0.5249999999999995,-0.015000000000000013,-0.020000000000000018,-0.016666666666666607
classification,synthetic,cit_no_threshold_scan,paired_seed_dataset_vs_cit_default,8,40,40,0.6586607993580509,0.4907714368417368,1.002762714043778,0.7755886169187798,1.5186022410511735,1.7923690189577157,26,7,7,7.775,7.775,5.275,5.275,0.4125,0.485,0.4366666666666667,False,2.75,0.5750000000000002,0.5750000000000002,-0.0025000000000000577,0.0050000000000000044,5.551115123125783e-17
classification,synthetic,cit_no_feature_mute,paired_seed_dataset_vs_cit_default,8,40,40,0.9976226983696956,0.9859655771484181,1.0017193966908304,0.9340310513433325,1.002382966663855,1.1708423441631806,8,32,0,5.025,5.025,4.7,4.7,0.41500000000000004,0.48,0.43666666666666665,False,0.0,0.0,0.0,0.0,0.0,0.0
classification,synthetic,cit_exact_thresholds,paired_seed_dataset_vs_cit_default,8,40,40,1.3364391323190632,1.0011437303379225,1.7561609561236873,1.5114621695028183,0.7482570485344593,0.8540607129880179,6,8,26,5.2,5.2,4.9,4.9,0.40750000000000003,0.475,0.43,False,0.17499999999999982,0.20000000000000018,0.20000000000000018,-0.007500000000000007,-0.0050000000000000044,-0.006666666666666654
classification,synthetic,cit_no_bonferroni,paired_seed_dataset_vs_cit_default,8,40,40,0.01317518806637271,0.008289205705011307,0.016356805113118163,0.04087781100653683,75.97441931881875,107.13714595057877,40,0,0,9.825,9.825,22.925,22.925,0.4,0.46749999999999997,0.4225,True,4.799999999999999,18.225,18.225,-0.015000000000000013,-0.012500000000000011,-0.01416666666666666
regression,real,cit_default,paired_seed_dataset_vs_cit_default,2,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0,10,0,6.7,6.7,5.2,5.2,,,,False,0.0,0.0,0.0,,,
regression,real,cit_no_adaptive,paired_seed_dataset_vs_cit_default,2,10,10,1.136820873867234,0.3967263334777925,2.3922666561627666,1.4198907147868343,1.148313184709373,1.4784466399344778,5,0,5,8.9,8.9,4.8,4.8,,,,False,2.2,-0.40000000000000036,-0.40000000000000036,,,
regression,real,cit_no_feature_scan,paired_seed_dataset_vs_cit_default,2,10,10,1.4627643940711565,1.1500251073200356,3.087634162334017,2.0967310786012012,0.6914820366575586,0.6882998549240609,2,0,8,7.0,7.0,6.0,6.0,,,,False,0.2999999999999998,0.7999999999999998,0.7999999999999998,,,
regression,real,cit_no_threshold_scan,paired_seed_dataset_vs_cit_default,2,10,10,0.7776600086666494,0.5170275927714117,5.003376030143901,2.461740346895042,1.3133203008998469,1.642068881011443,6,0,4,8.7,8.7,4.9,4.9,,,,False,1.9999999999999991,-0.2999999999999998,-0.2999999999999998,,,
regression,real,cit_no_feature_mute,paired_seed_dataset_vs_cit_default,2,10,10,0.998160533467621,0.9939215535505908,1.0003496840475536,0.9052844308505211,1.0018433669932927,2.3864000822189366,1,9,0,6.7,6.7,5.2,5.2,,,,False,0.0,0.0,0.0,,,
regression,real,cit_exact_thresholds,paired_seed_dataset_vs_cit_default,2,10,10,2.509353392221404,0.886795008248564,4.259833332790192,2.4935433689519333,0.6385733597777672,1.0692297426891053,4,1,5,6.6,6.6,4.6,4.6,,,,False,-0.10000000000000053,-0.6000000000000005,-0.6000000000000005,,,
regression,real,cit_no_bonferroni,paired_seed_dataset_vs_cit_default,2,10,10,0.01237708713798099,0.011771702668526179,0.15617532496013786,0.0765364339042966,80.79701964464056,53.05049058591226,10,0,0,9.0,9.0,8.6,8.6,,,,True,2.3,3.3999999999999995,3.3999999999999995,,,
regression,synthetic,cit_default,paired_seed_dataset_vs_cit_default,6,30,30,1.0,1.0,1.0,1.0,1.0,1.0,0,30,0,6.733333333333333,6.733333333333333,6.433333333333334,6.433333333333334,0.47,0.5766666666666667,0.5055555555555555,False,0.0,0.0,0.0,0.0,0.0,0.0
regression,synthetic,cit_no_adaptive,paired_seed_dataset_vs_cit_default,6,30,30,0.1821702102612111,0.11639059821747291,0.2748704912220297,0.22109398096898908,5.529777644373549,20.028487051756013,30,0,0,7.9,7.9,7.233333333333333,7.233333333333333,0.4966666666666667,0.6,0.5311111111111111,False,1.166666666666667,0.7999999999999998,0.7999999999999998,0.026666666666666727,0.023333333333333317,0.025555555555555554
regression,synthetic,cit_no_feature_scan,paired_seed_dataset_vs_cit_default,6,30,30,0.6928344839068465,0.3841224030634338,1.1145881187032833,0.7836737302769994,1.444038936378365,2.4675383831346362,19,1,10,6.933333333333334,6.933333333333334,7.633333333333334,7.633333333333334,0.4766666666666667,0.5733333333333334,0.508888888888889,False,0.20000000000000018,1.2000000000000002,1.2000000000000002,0.00666666666666671,-0.0033333333333332993,0.0033333333333334103
regression,synthetic,cit_no_threshold_scan,paired_seed_dataset_vs_cit_default,6,30,30,1.192674548667469,1.0777349949021127,1.283540868500039,1.217213588429212,0.838477515990192,0.8817631754722698,4,3,23,8.1,8.1,6.1,6.1,0.4533333333333333,0.5633333333333332,0.49,False,1.3666666666666663,-0.3333333333333339,-0.3333333333333339,-0.016666666666666663,-0.01333333333333342,-0.015555555555555545
regression,synthetic,cit_no_feature_mute,paired_seed_dataset_vs_cit_default,6,30,30,1.000530515651548,0.9933666801526285,1.0024071404589465,0.9634264493300653,0.9994697776272317,1.0465919657290934,5,25,0,6.733333333333333,6.733333333333333,6.433333333333334,6.433333333333334,0.47,0.5766666666666667,0.5055555555555555,False,0.0,0.0,0.0,0.0,0.0,0.0
regression,synthetic,cit_exact_thresholds,paired_seed_dataset_vs_cit_default,6,30,30,1.0556027166366593,0.9163562197844735,1.1871588402535442,1.0893383486783605,0.9473391300090497,0.987395466460475,11,3,16,6.933333333333334,6.933333333333334,6.066666666666666,6.066666666666666,0.4766666666666667,0.5866666666666667,0.5133333333333333,False,0.20000000000000018,-0.36666666666666714,-0.36666666666666714,0.00666666666666671,0.010000000000000009,0.007777777777777772
