kind,dataset,n,p,signal,citrees,citrees_maxt,citrees_splitgate_nobonf,partykit_sqrt_1,partykit_sqrt_32
real,gamma,19020.0,9.0,real,44.185,21.060000000000002,1.26,323.065,15.16
real,gisette,6000.0,5000.0,real,18.58,17.4,15.01,2419.42,141.71
real,isolet,7797.0,616.0,real,17.8,9.08,2.96,3019.54,183.34
real,letter,20000.0,16.0,real,2.96,2.74,1.56,1222.54,69.66
real,madelon,2000.0,500.0,real,21.36,2.585,1.8450000000000002,193.66,10.649999999999999
real,musk,6597.0,166.0,real,8.52,7.16,1.225,478.54,21.725
real,page-blocks,5473.0,10.0,real,5.665,4.145,0.375,152.91500000000002,7.635
real,pendigits,10992.0,16.0,real,6.7,5.154999999999999,0.785,393.61,20.51
real,spam,4601.0,57.0,real,3.3049999999999997,2.4800000000000004,0.545,205.85500000000002,9.41
real,vowel-context,990.0,10.0,real,1.5550000000000002,1.1749999999999998,0.20500000000000002,40.905,2.18
synthetic,syn,500.0,20.0,strong,9.51,0.475,0.175,13.07,0.76
synthetic,syn,500.0,20.0,weak,9.575,0.435,0.165,12.365,0.67
synthetic,syn,500.0,100.0,strong,10.57,0.39,0.22,21.075,1.2650000000000001
synthetic,syn,500.0,100.0,weak,8.86,0.41,0.225,20.665,1.34
synthetic,syn,500.0,500.0,strong,9.825,0.935,0.74,46.035,2.79
synthetic,syn,500.0,500.0,weak,9.57,0.925,0.73,49.475,3.24
synthetic,syn,2000.0,20.0,strong,31.67,2.43,0.28500000000000003,49.89,2.625
synthetic,syn,2000.0,20.0,weak,36.379999999999995,1.6549999999999998,0.28500000000000003,50.995000000000005,2.64
synthetic,syn,2000.0,100.0,strong,37.685,2.28,0.51,78.075,4.54
synthetic,syn,2000.0,100.0,weak,38.785,1.835,0.575,73.6,3.955
synthetic,syn,2000.0,500.0,strong,37.185,2.8449999999999998,1.93,181.92000000000002,11.375
synthetic,syn,2000.0,500.0,weak,32.94,2.8449999999999998,2.03,186.99,10.86
synthetic,syn,8000.0,20.0,strong,138.165,6.71,0.78,200.86,9.5
synthetic,syn,8000.0,20.0,weak,82.955,6.585,0.76,201.055,9.69
synthetic,syn,8000.0,100.0,strong,151.515,6.18,1.595,298.15,17.335
synthetic,syn,8000.0,100.0,weak,97.37,6.195,1.6949999999999998,307.645,14.684999999999999
synthetic,syn,32000.0,20.0,strong,607.8050000000001,25.395,3.005,793.7850000000001,41.92
synthetic,syn,32000.0,20.0,weak,665.8800000000001,31.15,2.935,809.415,42.195
synthetic,syn,32000.0,100.0,strong,592.765,20.564999999999998,5.965,1232.885,77.26
synthetic,syn,32000.0,100.0,weak,665.49,18.665,6.175,1221.21,76.63
