kind,dataset,n,p,signal,config,median,count
real,gamma,19020,9,real,citrees,45.33,2
real,gamma,19020,9,real,citrees_maxt,22.355,2
real,gamma,19020,9,real,citrees_splitgate_nobonf,3.4050000000000002,2
real,gamma,19020,9,real,partykit_sqrt_1,323.805,2
real,gamma,19020,9,real,partykit_sqrt_32,15.175,2
real,gamma,19020,9,real,sklearn_rf,0.225,2
real,gisette,6000,5000,real,citrees,20.01,1
real,gisette,6000,5000,real,citrees_maxt,18.54,1
real,gisette,6000,5000,real,citrees_splitgate_nobonf,16.52,1
real,gisette,6000,5000,real,partykit_sqrt_1,2433.96,1
real,gisette,6000,5000,real,partykit_sqrt_32,143.0,1
real,gisette,6000,5000,real,sklearn_rf,0.22,1
real,isolet,7797,616,real,citrees,19.37,1
real,isolet,7797,616,real,citrees_maxt,10.88,1
real,isolet,7797,616,real,citrees_splitgate_nobonf,4.92,1
real,isolet,7797,616,real,partykit_sqrt_1,3017.7,1
real,isolet,7797,616,real,partykit_sqrt_32,171.52,1
real,isolet,7797,616,real,sklearn_rf,0.3,1
real,letter,20000,16,real,citrees,5.01,1
real,letter,20000,16,real,citrees_maxt,4.79,1
real,letter,20000,16,real,citrees_splitgate_nobonf,3.67,1
real,letter,20000,16,real,partykit_sqrt_1,1219.72,1
real,letter,20000,16,real,partykit_sqrt_32,71.76,1
real,letter,20000,16,real,sklearn_rf,0.21,1
real,madelon,2000,500,real,citrees,23.965,2
real,madelon,2000,500,real,citrees_maxt,4.825,2
real,madelon,2000,500,real,citrees_splitgate_nobonf,4.055,2
real,madelon,2000,500,real,partykit_sqrt_1,194.235,2
real,madelon,2000,500,real,partykit_sqrt_32,10.62,2
real,madelon,2000,500,real,sklearn_rf,0.16999999999999998,2
real,musk,6597,166,real,citrees,10.594999999999999,2
real,musk,6597,166,real,citrees_maxt,9.065,2
real,musk,6597,166,real,citrees_splitgate_nobonf,3.375,2
real,musk,6597,166,real,partykit_sqrt_1,478.615,2
real,musk,6597,166,real,partykit_sqrt_32,21.71,2
real,musk,6597,166,real,sklearn_rf,0.19,2
real,page-blocks,5473,10,real,citrees,7.765,2
real,page-blocks,5473,10,real,citrees_maxt,6.405,2
real,page-blocks,5473,10,real,citrees_splitgate_nobonf,2.625,2
real,page-blocks,5473,10,real,partykit_sqrt_1,152.955,2
real,page-blocks,5473,10,real,partykit_sqrt_32,7.595,2
real,page-blocks,5473,10,real,sklearn_rf,0.185,2
real,pendigits,10992,16,real,citrees,8.815000000000001,2
real,pendigits,10992,16,real,citrees_maxt,6.895,2
real,pendigits,10992,16,real,citrees_splitgate_nobonf,3.045,2
real,pendigits,10992,16,real,partykit_sqrt_1,395.18,2
real,pendigits,10992,16,real,partykit_sqrt_32,20.505000000000003,2
real,pendigits,10992,16,real,sklearn_rf,0.2,2
real,spam,4601,57,real,citrees,5.465,2
real,spam,4601,57,real,citrees_maxt,4.73,2
real,spam,4601,57,real,citrees_splitgate_nobonf,2.775,2
real,spam,4601,57,real,partykit_sqrt_1,218.735,2
real,spam,4601,57,real,partykit_sqrt_32,9.4,2
