task,metric,dataset,method_base,method_id,n_cells,mean_rank,median_rank,best_rank,worst_rank,mean_score,median_score,n_methods,dataset_rank_position,top_half_cutoff,is_top_half,support_type,leader_method,leader_method_id,leader_mean_rank,leader_mean_score,leader_rank_position,rank_gap_to_leader,score_gap_to_leader
classification,balanced_accuracy,Yale,cif,cif__6556bbc3e830b25a,15,2.0,2.0,1.0,4.0,0.6240592592592592,0.6364444444444444,15,1.0,8,True,dataset_mean_over_all_complete_case_downstream_k,cif,cif__6556bbc3e830b25a,2.0,0.6240592592592592,1.0,0.0,0.0
classification,balanced_accuracy,warpAR10P,cif,cif__6556bbc3e830b25a,15,2.2,2.0,1.0,7.0,0.8047555555555556,0.83,15,1.0,8,True,dataset_mean_over_all_complete_case_downstream_k,cif,cif__6556bbc3e830b25a,2.2,0.8047555555555556,1.0,0.0,0.0
classification,balanced_accuracy,wine,cif,cif__6556bbc3e830b25a,6,2.8333333333333335,2.0,1.5,6.0,0.9783860830527497,0.9785873015873017,15,1.0,8,True,dataset_mean_over_all_complete_case_downstream_k,cif,cif__6556bbc3e830b25a,2.8333333333333335,0.9783860830527497,1.0,0.0,0.0
classification,balanced_accuracy,gamma,cif,cif__6556bbc3e830b25a,3,3.6666666666666665,4.0,3.0,4.0,0.7978512683633069,0.807547354585202,15,3.0,8,True,dataset_mean_over_all_complete_case_downstream_k,cat,cat__024a0842d4337711,3.6666666666666665,0.7978512683633069,3.0,0.0,0.0
classification,balanced_accuracy,warpPIE10P,cif,cif__6556bbc3e830b25a,15,4.333333333333333,4.0,2.0,7.0,0.9063066666666667,0.9514,15,3.0,8,True,dataset_mean_over_all_complete_case_downstream_k,cat,cat__024a0842d4337711,2.2,0.9187866666666668,1.0,2.133333333333333,-0.012480000000000047
classification,balanced_accuracy,spam,cif,cif__6556bbc3e830b25a,12,4.416666666666667,3.0,1.0,11.0,0.8900473627089799,0.9116752554362574,15,3.0,8,True,dataset_mean_over_all_complete_case_downstream_k,xgb,xgb__1c62fadfc5e2988f,3.0,0.9061815048690752,1.0,1.416666666666667,-0.016134142160095344
classification,balanced_accuracy,pendigits,cif,cif__6556bbc3e830b25a,6,4.833333333333333,4.0,3.0,10.0,0.8929350800481766,0.8982318539705426,15,3.0,8,True,dataset_mean_over_all_complete_case_downstream_k,pi,pi__6e89acc5e72da5a8,2.5,0.9093896588098218,1.0,2.333333333333333,-0.016454578761645244
classification,balanced_accuracy,glass,cif,cif__6556bbc3e830b25a,6,6.0,6.5,3.0,8.0,0.8469775132275132,0.8531686507936509,15,3.5,8,True,dataset_mean_over_all_complete_case_downstream_k,r_cforest,r_cforest__37be32340835a93b,5.166666666666667,0.8490218253968255,1.0,0.833333333333333,-0.0020443121693122235
classification,balanced_accuracy,ORL,cif,cif__6556bbc3e830b25a,15,4.233333333333333,4.0,1.0,7.0,0.7695666666666666,0.84,15,4.0,8,True,dataset_mean_over_all_complete_case_downstream_k,xgb,xgb__1c62fadfc5e2988f,1.6666666666666667,0.7992666666666666,1.0,2.5666666666666664,-0.02969999999999995
classification,balanced_accuracy,gisette,cif,cif__6556bbc3e830b25a,15,5.933333333333334,6.0,4.0,8.0,0.9159844444444444,0.9265666666666666,15,4.5,8,True,dataset_mean_over_all_complete_case_downstream_k,lgbm,lgbm__71ba9ba402678146,1.7333333333333334,0.93904,1.0,4.2,-0.023055555555555607
classification,balanced_accuracy,letter,cif,cif__6556bbc3e830b25a,6,6.166666666666667,6.5,1.0,11.0,0.7712312974364672,0.7791199303399625,15,5.0,8,True,dataset_mean_over_all_complete_case_downstream_k,lgbm,lgbm__71ba9ba402678146,3.5833333333333335,0.7800560546831045,1.0,2.5833333333333335,-0.008824757246637227
classification,balanced_accuracy,orlraws10P,cif,cif__6556bbc3e830b25a,15,6.266666666666667,6.0,3.0,9.0,0.8658666666666667,0.9,15,5.0,8,True,dataset_mean_over_all_complete_case_downstream_k,lgbm,lgbm__71ba9ba402678146,1.7666666666666666,0.9130666666666667,1.0,4.5,-0.04720000000000002
classification,balanced_accuracy,musk,cif,cif__6556bbc3e830b25a,15,6.733333333333333,6.0,1.0,13.0,0.8799608956919016,0.8834019862980379,15,5.0,8,True,dataset_mean_over_all_complete_case_downstream_k,cat,cat__024a0842d4337711,4.466666666666667,0.8778426314915806,1.0,2.2666666666666666,0.0021182642003210184
classification,balanced_accuracy,page-blocks,cif,cif__6556bbc3e830b25a,6,6.75,7.0,3.0,12.5,0.8655878975500721,0.8779435026084252,15,5.0,8,True,dataset_mean_over_all_complete_case_downstream_k,et,et__f5580a1865f967c8,4.666666666666667,0.8690259686583209,1.0,2.083333333333333,-0.003438071108248786
classification,balanced_accuracy,vowel-context,cif,cif__6556bbc3e830b25a,6,6.833333333333333,8.0,2.0,10.0,0.8088552188552188,0.8606060606060606,15,5.0,8,True,dataset_mean_over_all_complete_case_downstream_k,boruta,boruta__7f986516a1727870,5.666666666666667,0.8103367003367005,1.0,1.166666666666666,-0.001481481481481639
classification,balanced_accuracy,arcene,cif,cif__6556bbc3e830b25a,15,5.733333333333333,6.0,2.0,8.0,0.7245589225589225,0.7274242424242423,15,6.0,8,True,dataset_mean_over_all_complete_case_downstream_k,cat,cat__024a0842d4337711,2.8666666666666667,0.7419074074074073,1.0,2.8666666666666667,-0.017348484848484835
classification,balanced_accuracy,pixraw10P,cif,cif__6556bbc3e830b25a,15,5.733333333333333,5.5,2.5,10.5,0.9378666666666666,0.9520000000000001,15,6.0,8,True,dataset_mean_over_all_complete_case_downstream_k,lgbm,lgbm__71ba9ba402678146,3.466666666666667,0.9493333333333334,1.0,2.2666666666666666,-0.011466666666666736
classification,balanced_accuracy,CLL_SUB_111,cif,cif__6556bbc3e830b25a,15,6.266666666666667,7.0,2.0,10.0,0.7339573512906845,0.7236632996632997,15,6.0,8,True,dataset_mean_over_all_complete_case_downstream_k,boruta,boruta__7f986516a1727870,2.3333333333333335,0.8000969696969698,1.0,3.933333333333333,-0.06613961840628524
classification,balanced_accuracy,isolet,cif,cif__6556bbc3e830b25a,15,7.2,7.0,4.0,10.0,0.6942801680428798,0.835315949587136,15,7.0,8,True,dataset_mean_over_all_complete_case_downstream_k,cat,cat__024a0842d4337711,2.1333333333333333,0.7720178183398523,1.0,5.066666666666666,-0.07773765029697244
classification,balanced_accuracy,ALLAML,cif,cif__6556bbc3e830b25a,15,6.7,7.0,2.5,11.0,0.9224740740740741,0.9271111111111111,15,8.0,8,True,dataset_mean_over_all_complete_case_downstream_k,ptest_rdc,ptest_rdc__307d6fc3284c28e2,3.2333333333333334,0.9452148148148148,1.0,3.466666666666667,-0.022740740740740728
classification,balanced_accuracy,madelon,cif,cif__6556bbc3e830b25a,15,7.333333333333333,9.0,2.0,10.0,0.68454,0.6937000000000001,15,8.0,8,True,dataset_mean_over_all_complete_case_downstream_k,r_cforest,r_cforest__37be32340835a93b,4.8,0.6979266666666667,1.0,2.533333333333333,-0.013386666666666658
