task,focus_method,baseline,n_datasets,mean_dataset_cells,mean_delta,q25_delta,median_delta,q75_delta,wins,losses,ties,win_share,nonloss_share,mean_cell_win_share,mean_cell_nonloss_share,support_type
classification,cif,cpi,22,11.863636363636363,0.13032387730877684,0.010229418521185129,0.11270710415761262,0.1952169696969697,20,2,0,0.9090909090909091,0.9090909090909091,0.8409090909090909,0.9015151515151515,dataset_mean_over_all_complete_case_downstream_k
classification,cif,r_ctree,22,11.863636363636363,0.08761555539055678,0.036294198375391426,0.059032010756262826,0.13257861255973322,22,0,0,1.0,1.0,0.8181818181818182,0.8787878787878788,dataset_mean_over_all_complete_case_downstream_k
classification,cif,r_cforest,22,11.863636363636363,0.0715057597109638,0.0031666879689396937,0.027744734173547746,0.11465667989417988,19,3,0,0.8636363636363636,0.8636363636363636,0.7772727272727273,0.8378787878787879,dataset_mean_over_all_complete_case_downstream_k
classification,cif,ptest_rdc,22,11.863636363636363,0.07062560597861736,0.009202544727248841,0.033767706858074405,0.12386043892007914,20,2,0,0.9090909090909091,0.9090909090909091,0.8196969696969698,0.8803030303030304,dataset_mean_over_all_complete_case_downstream_k
classification,cif,pi,22,11.863636363636363,0.06870757454270784,9.826862365662029e-05,0.03828666666666668,0.11585777777777778,16,6,0,0.7272727272727273,0.7272727272727273,0.7454545454545454,0.8060606060606061,dataset_mean_over_all_complete_case_downstream_k
classification,cif,boruta,22,11.863636363636363,0.061477466509270655,-0.0008979869448551466,0.039715078770513765,0.09323841901201341,16,6,0,0.7272727272727273,0.7272727272727273,0.6765151515151515,0.7401515151515151,dataset_mean_over_all_complete_case_downstream_k
classification,cif,ptest_mc,22,11.863636363636363,0.045278514536804655,0.005691812878323736,0.019654291777522873,0.05786397306397309,21,1,0,0.9545454545454546,0.9545454545454546,0.775,0.8507575757575757,dataset_mean_over_all_complete_case_downstream_k
classification,cif,rt,22,11.863636363636363,0.031466232330834995,0.004628126503126504,0.013841828948238065,0.055218518518518535,20,2,0,0.9090909090909091,0.9090909090909091,0.7318181818181819,0.7954545454545454,dataset_mean_over_all_complete_case_downstream_k
classification,cif,cit,22,11.863636363636363,0.03014217797585452,0.013669041606541648,0.021071061501528723,0.04815616722783391,21,1,0,0.9545454545454546,0.9545454545454546,0.7386363636363636,0.8068181818181818,dataset_mean_over_all_complete_case_downstream_k
classification,cif,dt,22,11.863636363636363,0.015723652239381266,-0.006730771280879844,0.003006691605171345,0.033521969696969675,13,9,0,0.5909090909090909,0.5909090909090909,0.5833333333333334,0.6666666666666666,dataset_mean_over_all_complete_case_downstream_k
classification,cif,et,22,11.863636363636363,0.006339233600172207,-0.004159517777062206,0.0012392856936545755,0.006625264550264555,13,9,0,0.5909090909090909,0.5909090909090909,0.618939393939394,0.6916666666666667,dataset_mean_over_all_complete_case_downstream_k
classification,cif,rfe,22,11.863636363636363,0.00177948184322562,-0.002970935378350677,0.0015440273161692608,0.010466666666666678,15,7,0,0.6818181818181818,0.6818181818181818,0.5424242424242425,0.6166666666666667,dataset_mean_over_all_complete_case_downstream_k
classification,cif,rf,22,11.863636363636363,-0.003035886722720939,-0.009953709569478376,-0.0013793794016610313,0.003249494949494962,7,14,1,0.3181818181818182,0.36363636363636365,0.48787878787878786,0.5969696969696969,dataset_mean_over_all_complete_case_downstream_k
classification,cif,cat,22,11.863636363636363,-0.0038426596546081594,-0.012810000000000007,-0.0030121231181258106,0.002701283221797398,8,13,1,0.36363636363636365,0.4090909090909091,0.3977272727272727,0.5143939393939394,dataset_mean_over_all_complete_case_downstream_k
classification,cif,xgb,22,11.863636363636363,-0.008561651638128144,-0.021714999999999984,1.850371707708594e-17,0.006390933140933151,11,10,1,0.5,0.5454545454545454,0.3893939393939394,0.5121212121212121,dataset_mean_over_all_complete_case_downstream_k
classification,cif,lgbm,22,11.863636363636363,-0.010550016256238704,-0.022164999999999976,-0.006493860104800118,0.007330471269057143,9,12,1,0.4090909090909091,0.45454545454545453,0.3409090909090909,0.45454545454545453,dataset_mean_over_all_complete_case_downstream_k
regression,cif,r_cforest,8,13.5,0.7210891504938549,0.007610608210432202,0.03086076616468212,0.3066276605384253,7,1,0,0.875,0.875,0.7791666666666667,0.7791666666666667,dataset_mean_over_all_complete_case_downstream_k
regression,cif,cpi,8,13.5,0.6197618572220619,0.02122802593940119,0.04710117919665204,0.23365998766718543,7,1,0,0.875,0.875,0.875,0.875,dataset_mean_over_all_complete_case_downstream_k
regression,cif,cit,8,13.5,0.35977859520500866,0.00029392377283157323,0.008074584890847631,0.17104965540060307,6,2,0,0.75,0.75,0.55625,0.55625,dataset_mean_over_all_complete_case_downstream_k
regression,cif,lgbm,8,13.5,0.35764335283337156,-0.0026005791215754524,0.014543268934665296,0.1669607877448224,5,3,0,0.625,0.625,0.5645833333333333,0.5645833333333333,dataset_mean_over_all_complete_case_downstream_k
regression,cif,r_ctree,8,13.5,0.2264531427873672,0.026999768418934478,0.16143639791954092,0.29677806906831056,7,1,0,0.875,0.875,0.875,0.875,dataset_mean_over_all_complete_case_downstream_k
regression,cif,ptest_rdc,8,13.5,0.2256504911125887,-0.0029917366476073003,0.00893128460018629,0.2975706299993136,5,3,0,0.625,0.625,0.5770833333333334,0.5770833333333334,dataset_mean_over_all_complete_case_downstream_k
regression,cif,pi,8,13.5,0.2240252845386969,0.00493345141143604,0.023001286449415237,0.17783981872841942,6,2,0,0.75,0.75,0.6958333333333333,0.6958333333333333,dataset_mean_over_all_complete_case_downstream_k
regression,cif,ptest_dc,8,13.5,0.20376296890872353,0.0015762373413019714,0.01118409533369724,0.2884130233297137,6,2,0,0.75,0.75,0.6375,0.6375,dataset_mean_over_all_complete_case_downstream_k
regression,cif,ptest_pc,8,13.5,0.12229351729429568,0.0007561536513602334,0.006165480264817969,0.22044624901444157,6,2,0,0.75,0.75,0.6270833333333333,0.6270833333333333,dataset_mean_over_all_complete_case_downstream_k
regression,cif,boruta,8,13.5,0.11615130619569186,0.0079159332338914,0.02839829695653591,0.08901368081054509,8,0,0,1.0,1.0,0.6895833333333333,0.6895833333333333,dataset_mean_over_all_complete_case_downstream_k
regression,cif,rfe,8,13.5,0.1152140351608777,0.005748761094789022,0.03856486686652988,0.06564279519210799,8,0,0,1.0,1.0,0.7395833333333334,0.7395833333333334,dataset_mean_over_all_complete_case_downstream_k
regression,cif,dt,8,13.5,0.10469034706299046,-0.0004640700825833716,0.006445395446045658,0.1040181781687001,6,2,0,0.75,0.75,0.5645833333333333,0.5645833333333333,dataset_mean_over_all_complete_case_downstream_k
regression,cif,xgb,8,13.5,0.05977283739480149,0.019811120161241185,0.035220938126330925,0.06924431489285215,7,1,0,0.875,0.875,0.6375,0.6375,dataset_mean_over_all_complete_case_downstream_k
regression,cif,cat,8,13.5,0.02509152168296845,-0.010865302956997534,0.002620130551560282,0.030430070269856307,4,4,0,0.5,0.5,0.475,0.475,dataset_mean_over_all_complete_case_downstream_k
regression,cif,rf,8,13.5,0.0026415857685575528,-0.0091551867697921,0.004580665257605406,0.014069784885364426,5,3,0,0.625,0.625,0.6083333333333334,0.6083333333333334,dataset_mean_over_all_complete_case_downstream_k
regression,cif,rt,8,13.5,-0.000654783549919543,-0.005999945180098322,0.009652689890731961,0.0198449669226946,5,3,0,0.625,0.625,0.5979166666666667,0.5979166666666667,dataset_mean_over_all_complete_case_downstream_k
regression,cif,et,8,13.5,-0.023840261559656187,-0.02818923558142631,-0.011022773074985628,0.004610915930231985,3,5,0,0.375,0.375,0.43125,0.43125,dataset_mean_over_all_complete_case_downstream_k
