task,focus_method,baseline,dataset,n_cells,mean_delta,median_delta,min_delta,max_delta,win_share,nonloss_share
classification,cif,boruta,letter,6,0.32460190392851707,0.2637921785771764,0.13248402903186296,0.5914836579594129,1.0,1.0
classification,cif,boruta,isolet,15,0.23930650441836882,0.2212885701868752,0.09842329421990442,0.4054654498044328,1.0,1.0
classification,cif,boruta,ORL,15,0.1723,0.17900000000000005,0.08199999999999996,0.22750000000000004,1.0,1.0
classification,cif,boruta,Yale,15,0.10059259259259261,0.10888888888888892,0.00666666666666671,0.18622222222222223,1.0,1.0
classification,cif,boruta,warpAR10P,15,0.09884444444444444,0.09533333333333327,0.02399999999999991,0.1833333333333334,1.0,1.0
classification,cif,boruta,gamma,3,0.09772059830172208,0.08123168366123901,0.07973859437377306,0.13219151687015418,1.0,1.0
classification,cif,boruta,pendigits,6,0.07979188114288736,0.0911380449096506,0.017427086328562935,0.13633445292707036,1.0,1.0
classification,cif,boruta,warpPIE10P,15,0.07927999999999999,0.05399999999999994,0.0020000000000000018,0.21519999999999995,1.0,1.0
classification,cif,boruta,wine,6,0.07911960878627551,0.08037469937469943,0.012163540163540154,0.14408658008658015,1.0,1.0
classification,cif,boruta,gisette,15,0.06927111111111112,0.04260000000000008,0.0011999999999998678,0.19079999999999997,1.0,1.0
classification,cif,boruta,orlraws10P,15,0.0430666666666667,0.028000000000000025,-0.0040000000000000036,0.1279999999999999,0.9333333333333333,0.9333333333333333
classification,cif,boruta,spam,12,0.03636349087436083,0.022052576620402664,-0.0007521897470632588,0.11381325632704709,0.9166666666666666,0.9166666666666666
classification,cif,boruta,pixraw10P,15,0.034666666666666665,0.02399999999999991,-0.010000000000000009,0.10999999999999999,0.9333333333333333,0.9333333333333333
classification,cif,boruta,glass,6,0.024496031746031766,0.01197817460317463,0.0,0.06242460317460319,0.5,1.0
classification,cif,boruta,musk,15,0.023371789027475342,0.01277629110670031,-0.02413410322733922,0.10349195631201291,0.6,0.6
classification,cif,boruta,page-blocks,6,0.0008524966650238311,0.0,-0.004336222521721278,0.009370633105925119,0.3333333333333333,0.6666666666666666
classification,cif,boruta,vowel-context,6,-0.0014814814814814725,-0.001010101010100961,-0.004040404040404066,0.0,0.0,0.5
classification,cif,boruta,ALLAML,15,-0.014237037037037032,-0.01822222222222225,-0.04933333333333334,0.009777777777777663,0.13333333333333333,0.2
classification,cif,boruta,madelon,15,-0.017373333333333314,-0.005199999999999871,-0.08779999999999988,0.007800000000000029,0.3333333333333333,0.3333333333333333
classification,cif,boruta,arcene,15,-0.021037037037037038,-0.02356060606060617,-0.04414141414141404,0.006287878787878842,0.13333333333333333,0.13333333333333333
classification,cif,boruta,TOX_171,15,-0.030873015873015882,-0.02547619047619043,-0.055674603174603154,-0.016726190476190506,0.0,0.0
classification,cif,boruta,CLL_SUB_111,15,-0.06613961840628507,-0.06855218855218859,-0.13450505050505057,0.005117845117845077,0.06666666666666667,0.06666666666666667
classification,cif,cat,warpAR10P,15,0.07928888888888891,0.08799999999999997,-2.220446049250313e-16,0.13733333333333342,0.9333333333333333,0.9333333333333333
classification,cif,cat,Yale,15,0.03786666666666669,0.04355555555555546,-0.016888888888888953,0.08133333333333337,0.8666666666666667,0.8666666666666667
classification,cif,cat,page-blocks,6,0.012589223653841223,0.007486658872533414,0.0,0.04328234129240671,0.5,1.0
classification,cif,cat,ORL,15,0.007933333333333329,0.0019999999999998908,-0.039999999999999925,0.07450000000000001,0.5333333333333333,0.5333333333333333
classification,cif,cat,glass,6,0.0054014550264550225,0.001984126984126977,0.0,0.015869047619047616,0.5,1.0
classification,cif,cat,vowel-context,6,0.002895622895622877,0.0,-0.00666666666666671,0.021010101010101034,0.3333333333333333,0.8333333333333334
classification,cif,cat,musk,15,0.002118264200320959,-0.0038922552183636716,-0.02221905571980265,0.04267165646846205,0.3333333333333333,0.3333333333333333
classification,cif,cat,wine,6,0.0016200096200096326,0.001860028860028895,-0.0011111111111111738,0.003809523809523818,0.8333333333333334,0.8333333333333334
classification,cif,cat,gamma,3,0.0,0.0,0.0,0.0,0.0,1.0
classification,cif,cat,orlraws10P,15,-0.0027999999999999653,-0.0039999999999998925,-0.051999999999999935,0.040000000000000036,0.4,0.4
classification,cif,cat,pendigits,6,-0.002824246236251604,0.0028639489220441128,-0.04272737996287912,0.010767528197366594,0.8333333333333334,0.8333333333333334
classification,cif,cat,pixraw10P,15,-0.0032000000000000175,-0.008000000000000118,-0.030000000000000027,0.04399999999999993,0.2,0.26666666666666666
classification,cif,cat,letter,6,-0.00591137768899432,8.856496547321457e-05,-0.02904736815961706,0.0023804487717526968,0.5,0.5
classification,cif,cat,spam,12,-0.006387010945941685,0.00047116009505276946,-0.15119590908743763,0.06153980757976907,0.5833333333333334,0.5833333333333334
classification,cif,cat,ALLAML,15,-0.006637037037037019,0.0031111111111111756,-0.05888888888888888,0.05377777777777781,0.5333333333333333,0.5333333333333333
classification,cif,cat,warpPIE10P,15,-0.01248000000000001,-0.007600000000000051,-0.035800000000000054,0.0018000000000000238,0.06666666666666667,0.06666666666666667
classification,cif,cat,madelon,15,-0.012920000000000006,-0.0023999999999999577,-0.06729999999999992,0.017299999999999982,0.4,0.4
classification,cif,cat,arcene,15,-0.017348484848484867,-0.01931818181818179,-0.043585858585858506,0.007979797979797865,0.13333333333333333,0.13333333333333333
classification,cif,cat,gisette,15,-0.017795555555555526,-0.01766666666666672,-0.03183333333333327,-0.0068666666666665765,0.0,0.0
classification,cif,cat,CLL_SUB_111,15,-0.032633894500561166,-0.03797979797979789,-0.09012794612794606,0.04188552188552197,0.2,0.2
classification,cif,cat,TOX_171,15,-0.03557671957671961,-0.02932539682539681,-0.09486111111111117,0.0005952380952380931,0.06666666666666667,0.06666666666666667
classification,cif,cat,isolet,15,-0.07773765029697235,-0.016328987396784123,-0.20665884398087786,-0.005986527596697155,0.0,0.0
classification,cif,cit,warpAR10P,15,0.1313777777777778,0.13,-0.031333333333333324,0.30000000000000004,0.9333333333333333,0.9333333333333333
classification,cif,cit,ALLAML,15,0.08217777777777775,0.07977777777777773,-0.0384444444444445,0.19133333333333324,0.9333333333333333,0.9333333333333333
classification,cif,cit,arcene,15,0.056537037037037045,0.055707070707070705,0.008863636363636407,0.11797979797979785,1.0,1.0
classification,cif,cit,orlraws10P,15,0.05346666666666668,0.07400000000000007,-0.06799999999999995,0.18000000000000005,0.6,0.6
classification,cif,cit,Yale,15,0.052414814814814824,0.04222222222222216,-0.016888888888888953,0.11688888888888882,0.9333333333333333,0.9333333333333333
classification,cif,cit,madelon,15,0.048793333333333355,0.035700000000000065,-0.031100000000000017,0.15990000000000015,0.6,0.6
classification,cif,cit,CLL_SUB_111,15,0.04624466891133557,0.036646464646464594,-0.0801616161616161,0.22290909090909083,0.6666666666666666,0.6666666666666666
classification,cif,cit,warpPIE10P,15,0.029573333333333295,0.02740000000000009,-0.01539999999999997,0.06459999999999988,0.8666666666666667,0.8666666666666667
classification,cif,cit,glass,6,0.02596031746031746,0.019184523809523846,0.0,0.07737698412698413,0.5,1.0
classification,cif,cit,gisette,15,0.02296444444444444,0.028033333333333244,-0.029133333333333344,0.07583333333333331,0.7333333333333333,0.7333333333333333
classification,cif,cit,musk,15,0.022142123003057432,0.010050246829649723,-0.029549185537475764,0.12566396494090804,0.5333333333333333,0.5333333333333333
classification,cif,cit,pixraw10P,15,0.02000000000000001,0.019999999999999907,-0.017999999999999905,0.07000000000000006,0.7333333333333333,0.7333333333333333
classification,cif,cit,vowel-context,6,0.016936026936026933,0.006666666666666654,0.0,0.046666666666666634,0.5,1.0
classification,cif,cit,ORL,15,0.016833333333333343,0.02200000000000002,-0.04300000000000004,0.08900000000000002,0.7333333333333333,0.7333333333333333
classification,cif,cit,gamma,3,0.01602617637401375,0.012193889064076813,0.010870276026802128,0.025014364031162306,1.0,1.0
classification,cif,cit,TOX_171,15,0.013731481481481475,0.019265873015873014,-0.052202380952380945,0.07351190476190483,0.6666666666666666,0.6666666666666666
classification,cif,cit,wine,6,0.013648228314895039,0.016492063492063558,0.00029629629629646104,0.018952380952381054,1.0,1.0
classification,cif,cit,page-blocks,6,0.006531500185571082,0.00440883970281869,0.0,0.020365155037851523,0.5,1.0
classification,cif,cit,pendigits,6,0.00556259295737412,0.005801537666558276,-0.010017372867599517,0.019429692443327595,0.6666666666666666,0.6666666666666666
classification,cif,cit,letter,6,0.004279448023934725,0.003741720557671524,0.0019108105569697331,0.008820507111809484,1.0,1.0
classification,cif,cit,spam,12,0.004105972806836518,0.00413445354011116,-0.11378995149073412,0.045051395864911914,0.75,0.75
classification,cif,cit,isolet,15,-0.026179139504563225,-0.018077792264232895,-0.09256801390699693,0.04483094306823121,0.4,0.4
classification,cif,cpi,warpAR10P,15,0.3931111111111111,0.38399999999999995,0.2453333333333333,0.52,1.0,1.0
classification,cif,cpi,ORL,15,0.3784666666666667,0.37250000000000005,0.243,0.5110000000000001,1.0,1.0
classification,cif,cpi,Yale,15,0.32334814814814816,0.31777777777777777,0.2453333333333333,0.4248888888888889,1.0,1.0
classification,cif,cpi,ALLAML,15,0.28712592592592595,0.2957777777777778,0.18355555555555547,0.41466666666666674,1.0,1.0
classification,cif,cpi,orlraws10P,15,0.2676,0.29800000000000004,0.1060000000000001,0.4059999999999999,1.0,1.0
classification,cif,cpi,CLL_SUB_111,15,0.20389225589225587,0.202962962962963,0.09470707070707074,0.2764444444444445,1.0,1.0
classification,cif,cpi,gisette,15,0.16919111111111113,0.16636666666666666,0.06043333333333334,0.25936666666666675,1.0,1.0
classification,cif,cpi,pixraw10P,15,0.15973333333333334,0.18600000000000017,0.026000000000000023,0.258,1.0,1.0
classification,cif,cpi,madelon,15,0.15506,0.14760000000000006,0.0031999999999999806,0.32709999999999995,1.0,1.0
classification,cif,cpi,TOX_171,15,0.15495105820105817,0.17970238095238095,0.07644841269841263,0.2097222222222222,1.0,1.0
classification,cif,cpi,isolet,15,0.14445420831522524,0.1417453281182094,0.04715514993481096,0.29967101260321594,1.0,1.0
