task,focus_method,baseline,n_datasets,mean_dataset_cells,mean_delta,q25_delta,median_delta,q75_delta,wins,losses,ties,win_share,nonloss_share,mean_cell_win_share,mean_cell_nonloss_share,support_type
classification,cif,cpi,22,11.863636363636363,0.130268832072714,0.009797585421777355,0.11308932927712587,0.1941280808080808,20,2,0,0.9090909090909091,0.9090909090909091,0.8378787878787879,0.8984848484848484,dataset_mean_over_all_complete_case_downstream_k
classification,cif,r_ctree,22,11.863636363636363,0.08736787520149425,0.03556755101343535,0.059032010756262826,0.13257861255973322,22,0,0,1.0,1.0,0.8181818181818182,0.8787878787878788,dataset_mean_over_all_complete_case_downstream_k
classification,cif,r_cforest,22,11.863636363636363,0.07126105507598636,0.0031666879689396937,0.02769348109517602,0.11465667989417988,19,3,0,0.8636363636363636,0.8636363636363636,0.7712121212121211,0.8318181818181819,dataset_mean_over_all_complete_case_downstream_k
classification,cif,ptest_rdc,22,11.863636363636363,0.07037564998450069,0.008952477188277439,0.033057706858074395,0.12386043892007914,20,2,0,0.9090909090909091,0.9090909090909091,0.8166666666666665,0.8772727272727273,dataset_mean_over_all_complete_case_downstream_k
classification,cif,pi,22,11.863636363636363,0.06979024766216675,4.113633807741047e-05,0.03624222222222222,0.12193777777777778,16,6,0,0.7272727272727273,0.7272727272727273,0.743939393939394,0.8045454545454546,dataset_mean_over_all_complete_case_downstream_k
classification,cif,boruta,22,11.863636363636363,0.06122705524602543,-0.0008979869448551466,0.039715078770513765,0.09323841901201341,16,6,0,0.7272727272727273,0.7272727272727273,0.6674242424242425,0.731060606060606,dataset_mean_over_all_complete_case_downstream_k
classification,cif,ptest_mc,22,11.863636363636363,0.04502897856698803,0.0054495970910050425,0.019654291777522873,0.05786397306397309,21,1,0,0.9545454545454546,0.9545454545454546,0.7780303030303031,0.8537878787878789,dataset_mean_over_all_complete_case_downstream_k
classification,cif,cit,22,11.863636363636363,0.029892895157042777,0.013669041606541648,0.02058989843554751,0.047091167227833894,21,1,0,0.9545454545454546,0.9545454545454546,0.7386363636363636,0.8068181818181818,dataset_mean_over_all_complete_case_downstream_k
classification,cif,et,22,11.863636363636363,0.006088387216491863,-0.004159517777062206,0.0012392856936545755,0.006625264550264555,13,9,0,0.5909090909090909,0.5909090909090909,0.615909090909091,0.6886363636363636,dataset_mean_over_all_complete_case_downstream_k
classification,cif,rf,22,11.863636363636363,-0.003286528403680145,-0.01094586989748889,-0.0014175684151538322,0.003249494949494962,7,14,1,0.3181818181818182,0.36363636363636365,0.46666666666666673,0.5757575757575757,dataset_mean_over_all_complete_case_downstream_k
classification,cif,cat,22,11.863636363636363,-0.0040922468898486825,-0.01387500000000003,-0.0030121231181258106,0.002576719576719566,8,13,1,0.36363636363636365,0.4090909090909091,0.38863636363636367,0.5053030303030304,dataset_mean_over_all_complete_case_downstream_k
classification,cif,rfe,22,11.863636363636363,-0.006090611703513471,-0.011862812932062866,-0.00583790753618441,0.004170367330399923,10,12,0,0.45454545454545453,0.45454545454545453,0.4484848484848485,0.5257575757575758,dataset_mean_over_all_complete_case_downstream_k
