task,metric,dataset,method_base,method_id,n_cells,mean_rank,median_rank,best_rank,worst_rank,mean_score,median_score,n_methods,dataset_rank_position,top_half_cutoff,is_top_half,support_type
classification,balanced_accuracy,ALLAML,ptest_rdc,ptest_rdc__307d6fc3284c28e2,15,3.2333333333333334,4.0,1.0,6.0,0.9452148148148148,0.9471111111111111,15,1.0,8,True,dataset_mean_over_all_complete_case_downstream_k
classification,balanced_accuracy,ALLAML,rf,rf__27caa3a0a3b84fd9,15,3.6333333333333333,4.0,1.0,7.0,0.9407111111111112,0.9520000000000001,15,2.0,8,True,dataset_mean_over_all_complete_case_downstream_k
classification,balanced_accuracy,ALLAML,boruta,boruta__7f986516a1727870,15,4.0,4.0,1.0,9.0,0.936711111111111,0.9491111111111111,15,3.0,8,True,dataset_mean_over_all_complete_case_downstream_k
classification,balanced_accuracy,ALLAML,lgbm,lgbm__71ba9ba402678146,15,5.4,5.0,2.0,9.0,0.926637037037037,0.9311111111111111,15,4.0,8,True,dataset_mean_over_all_complete_case_downstream_k
classification,balanced_accuracy,ALLAML,et,et__f5580a1865f967c8,15,5.8,6.0,1.0,10.0,0.9308888888888889,0.9444444444444444,15,5.0,8,True,dataset_mean_over_all_complete_case_downstream_k
classification,balanced_accuracy,ALLAML,ptest_mc,ptest_mc__307d6fc3284c28e2,15,5.9,6.0,1.0,9.0,0.9255555555555556,0.9222222222222223,15,6.0,8,True,dataset_mean_over_all_complete_case_downstream_k
classification,balanced_accuracy,ALLAML,cat,cat__024a0842d4337711,15,6.133333333333334,7.0,2.0,9.0,0.9291111111111111,0.9322222222222223,15,7.0,8,True,dataset_mean_over_all_complete_case_downstream_k
classification,balanced_accuracy,ALLAML,cif,cif__6556bbc3e830b25a,15,6.7,7.0,2.5,11.0,0.9224740740740741,0.9271111111111111,15,8.0,8,True,dataset_mean_over_all_complete_case_downstream_k
classification,balanced_accuracy,ALLAML,xgb,xgb__1c62fadfc5e2988f,15,6.8,8.0,2.0,10.0,0.917362962962963,0.9304444444444444,15,9.0,8,False,dataset_mean_over_all_complete_case_downstream_k
classification,balanced_accuracy,ALLAML,rfe,rfe__99914b932bd37a50,15,7.8,9.0,2.0,11.0,0.910088888888889,0.9171111111111111,15,10.0,8,False,dataset_mean_over_all_complete_case_downstream_k
classification,balanced_accuracy,ALLAML,cit,cit__bc8d0ddbb26c15b5,15,10.6,11.0,6.0,11.0,0.8402962962962963,0.8666666666666667,15,11.0,8,False,dataset_mean_over_all_complete_case_downstream_k
classification,balanced_accuracy,ALLAML,r_cforest,r_cforest__37be32340835a93b,15,12.633333333333333,12.0,12.0,14.0,0.7069481481481482,0.7088888888888889,15,12.0,8,False,dataset_mean_over_all_complete_case_downstream_k
classification,balanced_accuracy,ALLAML,pi,pi__6e89acc5e72da5a8,15,12.766666666666667,13.0,12.0,14.0,0.7034518518518519,0.6897777777777777,15,13.0,8,False,dataset_mean_over_all_complete_case_downstream_k
classification,balanced_accuracy,ALLAML,r_ctree,r_ctree__b6e09ceb0eb26367,15,14.266666666666667,14.0,12.0,15.0,0.6500888888888888,0.6504444444444445,15,14.0,8,False,dataset_mean_over_all_complete_case_downstream_k
classification,balanced_accuracy,ALLAML,cpi,cpi__6e89acc5e72da5a8,15,14.333333333333334,15.0,13.0,15.0,0.6353481481481481,0.6313333333333333,15,15.0,8,False,dataset_mean_over_all_complete_case_downstream_k
