task,metric,dataset,leader_method,leader_mean_rank,runner_up_method,runner_up_mean_rank,focus_method,focus_rank_position,focus_mean_rank,focus_mean_score,focus_gap_to_leader_rank,focus_gap_to_leader_score,n_cells
classification,balanced_accuracy,warpAR10P,cif,2.4,rfe,2.7333333333333334,cif,1.0,2.4,0.8047555555555556,0.0,0.0,15
classification,balanced_accuracy,wine,cif,2.8333333333333335,rfe,4.666666666666667,cif,1.0,2.8333333333333335,0.9783860830527497,0.0,0.0,6
classification,balanced_accuracy,Yale,rfe,1.9333333333333333,cif,2.2,cif,2.0,2.2,0.6240592592592592,0.26666666666666683,-0.009362962962963017,15
classification,balanced_accuracy,gamma,cat,3.6666666666666665,cif,3.6666666666666665,cif,3.0,3.6666666666666665,0.7978512683633069,0.0,0.0,3
classification,balanced_accuracy,pendigits,pi,2.5,rfe,3.3333333333333335,cif,3.0,4.833333333333333,0.8929350800481766,2.333333333333333,-0.016454578761645244,6
classification,balanced_accuracy,spam,xgb,3.0,lgbm,3.25,cif,3.0,4.416666666666667,0.8900473627089799,1.416666666666667,-0.016134142160095344,12
classification,balanced_accuracy,ORL,xgb,2.0,rfe,2.1333333333333333,cif,4.0,4.566666666666666,0.7695666666666666,2.5666666666666664,-0.02969999999999995,15
classification,balanced_accuracy,glass,pi,5.0,r_cforest,5.333333333333333,cif,4.5,6.166666666666667,0.8469775132275132,1.166666666666667,-0.0024444444444443603,6
classification,balanced_accuracy,letter,lgbm,3.5833333333333335,cpi,3.9166666666666665,cif,5.0,6.166666666666667,0.7712312974364672,2.5833333333333335,-0.008824757246637227,6
classification,balanced_accuracy,musk,cat,4.333333333333333,xgb,5.733333333333333,cif,5.0,6.866666666666666,0.8789920325426268,2.533333333333333,0.0011583586818059155,15
classification,balanced_accuracy,page-blocks,et,4.666666666666667,rf,4.833333333333333,cif,5.0,6.75,0.8655878975500721,2.083333333333333,-0.003438071108248786,6
classification,balanced_accuracy,vowel-context,boruta,5.666666666666667,cpi,6.333333333333333,cif,5.0,6.833333333333333,0.8088552188552188,1.166666666666666,-0.001481481481481639,6
classification,balanced_accuracy,warpPIE10P,cat,2.6,xgb,3.3666666666666667,cif,5.0,4.8,0.9063066666666667,2.1999999999999997,-0.012480000000000047,15
classification,balanced_accuracy,CLL_SUB_111,boruta,2.3333333333333335,lgbm,2.7333333333333334,cif,6.0,6.266666666666667,0.7339573512906845,3.933333333333333,-0.06613961840628524,15
classification,balanced_accuracy,arcene,boruta,2.7666666666666666,cat,2.8,cif,6.0,6.066666666666666,0.7214377104377104,3.3,-0.024158249158249157,15
classification,balanced_accuracy,gisette,lgbm,1.7333333333333334,xgb,2.033333333333333,cif,6.0,6.4,0.9159844444444444,4.666666666666667,-0.023055555555555607,15
classification,balanced_accuracy,orlraws10P,lgbm,1.7666666666666666,xgb,2.3333333333333335,cif,6.0,6.333333333333333,0.8658666666666667,4.566666666666666,-0.04720000000000002,15
classification,balanced_accuracy,pixraw10P,lgbm,3.466666666666667,cat,3.566666666666667,cif,6.0,5.733333333333333,0.9378666666666666,2.2666666666666666,-0.011466666666666736,15
classification,balanced_accuracy,isolet,cat,2.1333333333333333,rfe,2.2666666666666666,cif,7.0,7.2,0.6943023902651021,5.066666666666666,-0.0777274518325366,15
classification,balanced_accuracy,ALLAML,ptest_rdc,3.3666666666666667,rf,3.7,cif,8.0,6.766666666666667,0.9224740740740741,3.4,-0.022740740740740728,15
classification,balanced_accuracy,TOX_171,lgbm,1.9333333333333333,xgb,2.0,cif,8.5,8.266666666666667,0.7101388888888889,6.333333333333334,-0.06931216931216932,15
classification,balanced_accuracy,madelon,xgb,4.8,r_cforest,4.966666666666667,cif,9.0,8.1,0.6831200000000001,3.3,-0.021466666666666523,15
regression,r2,coepra3,cif,4.066666666666666,lgbm,4.4,cif,1.0,4.066666666666666,-0.03808291759483503,0.0,0.0,15
regression,r2,imports-85,et,4.416666666666667,cif,4.75,cif,2.0,4.75,0.44012993390961913,0.33333333333333304,-0.014843459893737476,12
regression,r2,facebook,ptest_rdc,3.5,ptest_dc,3.6666666666666665,cif,4.0,6.166666666666667,0.6254273093097772,2.666666666666667,-0.0038511746565899063,6
regression,r2,coepra1,rfe,2.7333333333333334,et,4.6,cif,5.0,6.533333333333333,0.14947095041102926,3.8,-0.148803305754511,15
regression,r2,coepra2,rfe,2.8,et,3.2,cif,6.0,6.933333333333334,-0.31424554590387094,4.133333333333334,-0.3696994315190693,15
regression,r2,residential,ptest_rdc,2.6,ptest_pc,4.733333333333333,cif,7.0,7.466666666666667,0.5785984587908513,4.866666666666667,-0.01657879189817646,15
regression,r2,comm_violence,et,4.333333333333333,xgb,4.533333333333333,cif,8.0,7.866666666666666,0.5400235151168893,3.533333333333333,-0.019491255718949163,15
regression,r2,community_crime,rf,4.666666666666667,cat,4.933333333333334,cif,9.0,7.8,0.6095470432885752,3.133333333333333,-0.006980017736879396,15
