task,metric,method_base,method_id,n_datasets,mean_dataset_cells,mean_rank,median_rank,best_dataset_position,worst_dataset_position,top1_share,top3_share,top_half_share,mean_score,rank_position
classification,balanced_accuracy,lgbm,lgbm__71ba9ba402678146,22,11.863636363636363,4.680303030303031,4.0,1.0,12.0,0.18181818181818182,0.5454545454545454,0.8181818181818182,0.8299221956978642,1.0
classification,balanced_accuracy,xgb,xgb__1c62fadfc5e2988f,22,11.863636363636363,5.052272727272728,4.916666666666666,1.0,12.0,0.13636363636363635,0.5,0.7727272727272727,0.8279338310797537,2.0
classification,balanced_accuracy,cat,cat__024a0842d4337711,22,11.863636363636363,5.262878787878788,5.45,1.0,13.0,0.18181818181818182,0.4090909090909091,0.9545454545454546,0.8232148390962337,3.0
classification,balanced_accuracy,cif,cif__6556bbc3e830b25a,22,11.863636363636363,5.471212121212121,5.966666666666667,1.0,8.5,0.13636363636363635,0.3181818181818182,0.9545454545454546,0.8193721794416255,4.0
classification,balanced_accuracy,rf,rf__27caa3a0a3b84fd9,22,11.863636363636363,5.615151515151515,5.8,2.0,11.0,0.0,0.22727272727272727,0.9545454545454546,0.8224080661643464,5.0
classification,balanced_accuracy,rfe,rfe__99914b932bd37a50,22,11.863636363636363,6.294696969696969,6.516666666666667,2.0,11.0,0.0,0.2727272727272727,0.7272727272727273,0.8175926975983999,6.0
classification,balanced_accuracy,et,et__f5580a1865f967c8,22,11.863636363636363,6.621969696969697,6.25,1.0,11.0,0.045454545454545456,0.13636363636363635,0.7727272727272727,0.8130329458414534,7.0
classification,balanced_accuracy,cit,cit__bc8d0ddbb26c15b5,22,11.863636363636363,9.15530303030303,9.05,5.0,14.0,0.0,0.0,0.22727272727272727,0.789230001465771,8.0
classification,balanced_accuracy,boruta,boruta__7f986516a1727870,22,11.863636363636363,9.324242424242424,9.666666666666668,1.0,15.0,0.09090909090909091,0.22727272727272727,0.4090909090909091,0.7578947129323549,9.0
classification,balanced_accuracy,ptest_mc,ptest_mc__307d6fc3284c28e2,22,11.863636363636363,9.42878787878788,9.833333333333332,4.0,13.0,0.0,0.0,0.36363636363636365,0.7740936649048209,10.0
