task,dataset,downstream_model,first_best_k,method_base,method_id,first_best_score,endpoint_k,best_k_fraction_of_endpoint,first_best_under_100,first_best_at_100,first_best_intermediate,first_best_at_endpoint,best_k_bucket
classification,ALLAML,knn,100,cif,cif__6556bbc3e830b25a,0.9491111111111111,7129,0.014027212792818067,False,True,False,False,k100
classification,ALLAML,lr,3565,cif,cif__6556bbc3e830b25a,0.98,7129,0.5000701360639641,False,False,True,False,between_100_and_endpoint
classification,ALLAML,svm,100,cif,cif__6556bbc3e830b25a,0.96,7129,0.014027212792818067,False,True,False,False,k100
classification,CLL_SUB_111,knn,150,cif,cif__6556bbc3e830b25a,0.7406329966329966,11340,0.013227513227513227,False,False,True,False,between_100_and_endpoint
classification,CLL_SUB_111,lr,5670,cif,cif__6556bbc3e830b25a,0.8294141414141414,11340,0.5,False,False,True,False,between_100_and_endpoint
classification,CLL_SUB_111,svm,150,cif,cif__6556bbc3e830b25a,0.8334949494949495,11340,0.013227513227513227,False,False,True,False,between_100_and_endpoint
classification,ORL,knn,200,cif,cif__6556bbc3e830b25a,0.915,1024,0.1953125,False,False,True,False,between_100_and_endpoint
classification,ORL,lr,768,cif,cif__6556bbc3e830b25a,0.9795,1024,0.75,False,False,True,False,between_100_and_endpoint
classification,ORL,svm,256,cif,cif__6556bbc3e830b25a,0.9615,1024,0.25,False,False,True,False,between_100_and_endpoint
classification,TOX_171,knn,500,cif,cif__6556bbc3e830b25a,0.8146626984126983,5748,0.08698677800974251,False,False,True,False,between_100_and_endpoint
classification,TOX_171,lr,5748,cif,cif__6556bbc3e830b25a,0.9591666666666667,5748,1.0,False,False,False,True,endpoint
classification,TOX_171,svm,500,cif,cif__6556bbc3e830b25a,0.864186507936508,5748,0.08698677800974251,False,False,True,False,between_100_and_endpoint
classification,Yale,knn,500,cif,cif__6556bbc3e830b25a,0.6728888888888888,1024,0.48828125,False,False,True,False,between_100_and_endpoint
classification,Yale,lr,1000,cif,cif__6556bbc3e830b25a,0.8084444444444445,1024,0.9765625,False,False,True,False,between_100_and_endpoint
classification,Yale,svm,500,cif,cif__6556bbc3e830b25a,0.7484444444444444,1024,0.48828125,False,False,True,False,between_100_and_endpoint
classification,arcene,knn,1000,cif,cif__6556bbc3e830b25a,0.7648737373737374,10000,0.1,False,False,True,False,between_100_and_endpoint
classification,arcene,lr,2500,cif,cif__6556bbc3e830b25a,0.7973232323232324,10000,0.25,False,False,True,False,between_100_and_endpoint
classification,arcene,svm,50,cif,cif__6556bbc3e830b25a,0.7683585858585859,10000,0.005,True,False,False,False,under_100
classification,dexter,knn,50,cif,cif__6556bbc3e830b25a,0.8193333333333334,20000,0.0025,True,False,False,False,under_100
classification,dexter,lr,150,cif,cif__6556bbc3e830b25a,0.888,20000,0.0075,False,False,True,False,between_100_and_endpoint
classification,dexter,svm,100,cif,cif__6556bbc3e830b25a,0.8673333333333333,20000,0.005,False,True,False,False,k100
classification,gisette,knn,300,cif,cif__6556bbc3e830b25a,0.9642000000000001,5000,0.06,False,False,True,False,between_100_and_endpoint
classification,gisette,lr,5000,cif,cif__6556bbc3e830b25a,0.9749666666666666,5000,1.0,False,False,False,True,endpoint
classification,gisette,svm,500,cif,cif__6556bbc3e830b25a,0.9813666666666667,5000,0.1,False,False,True,False,between_100_and_endpoint
classification,isolet,knn,200,cif,cif__6556bbc3e830b25a,0.9340434593654932,616,0.3246753246753247,False,False,True,False,between_100_and_endpoint
classification,isolet,lr,462,cif,cif__6556bbc3e830b25a,0.9603893959148196,616,0.75,False,False,True,False,between_100_and_endpoint
classification,isolet,svm,462,cif,cif__6556bbc3e830b25a,0.9666536288570187,616,0.75,False,False,True,False,between_100_and_endpoint
classification,madelon,knn,10,cif,cif__6556bbc3e830b25a,0.8402,500,0.02,True,False,False,False,under_100
classification,madelon,lr,5,cif,cif__6556bbc3e830b25a,0.6121,500,0.01,True,False,False,False,under_100
classification,madelon,svm,10,cif,cif__6556bbc3e830b25a,0.7917000000000001,500,0.02,True,False,False,False,under_100
classification,musk,knn,166,cif,cif__6556bbc3e830b25a,0.9211160847089789,166,1.0,False,False,False,True,endpoint
classification,musk,lr,166,cif,cif__6556bbc3e830b25a,0.9241379718302207,166,1.0,False,False,False,True,endpoint
classification,musk,svm,166,cif,cif__6556bbc3e830b25a,0.9774955645455694,166,1.0,False,False,False,True,endpoint
classification,orlraws10P,knn,500,cif,cif__6556bbc3e830b25a,0.946,10304,0.048524844720496896,False,False,True,False,between_100_and_endpoint
classification,orlraws10P,lr,7728,cif,cif__6556bbc3e830b25a,0.988,10304,0.75,False,False,True,False,between_100_and_endpoint
classification,orlraws10P,svm,7728,cif,cif__6556bbc3e830b25a,0.978,10304,0.75,False,False,True,False,between_100_and_endpoint
classification,pixraw10P,knn,200,cif,cif__6556bbc3e830b25a,0.988,10000,0.02,False,False,True,False,between_100_and_endpoint
classification,pixraw10P,lr,2500,cif,cif__6556bbc3e830b25a,0.99,10000,0.25,False,False,True,False,between_100_and_endpoint
classification,pixraw10P,svm,200,cif,cif__6556bbc3e830b25a,0.99,10000,0.02,False,False,True,False,between_100_and_endpoint
classification,warpAR10P,knn,100,cif,cif__6556bbc3e830b25a,0.8606666666666666,2400,0.041666666666666664,False,True,False,False,k100
classification,warpAR10P,lr,1800,cif,cif__6556bbc3e830b25a,0.9913333333333333,2400,0.75,False,False,True,False,between_100_and_endpoint
classification,warpAR10P,svm,100,cif,cif__6556bbc3e830b25a,0.9206666666666666,2400,0.041666666666666664,False,True,False,False,k100
classification,warpPIE10P,knn,605,cif,cif__6556bbc3e830b25a,0.9862000000000001,2420,0.25,False,False,True,False,between_100_and_endpoint
classification,warpPIE10P,lr,1000,cif,cif__6556bbc3e830b25a,1.0,2420,0.4132231404958678,False,False,True,False,between_100_and_endpoint
classification,warpPIE10P,svm,1210,cif,cif__6556bbc3e830b25a,0.9942,2420,0.5,False,False,True,False,between_100_and_endpoint
regression,coepra1,knn,300,cif,cif__a01a3672a449d400,0.2870104309511749,5787,0.05184033177812338,False,False,True,False,between_100_and_endpoint
regression,coepra1,ridge,10,cif,cif__a01a3672a449d400,0.20975411237096794,5787,0.0017280110592707793,True,False,False,False,under_100
regression,coepra1,svr,4341,cif,cif__a01a3672a449d400,0.550288161078567,5787,0.7501296008294454,False,False,True,False,between_100_and_endpoint
regression,coepra2,knn,50,cif,cif__a01a3672a449d400,0.04256018013961088,5144,0.009720062208398134,True,False,False,False,under_100
regression,coepra2,ridge,5144,cif,cif__a01a3672a449d400,0.11205943731517305,5144,1.0,False,False,False,True,endpoint
regression,coepra2,svr,25,cif,cif__a01a3672a449d400,0.3326224576637514,5144,0.004860031104199067,True,False,False,False,under_100
regression,coepra3,knn,150,cif,cif__a01a3672a449d400,0.059618971183539496,5787,0.02592016588906169,False,False,True,False,between_100_and_endpoint
regression,coepra3,ridge,25,cif,cif__a01a3672a449d400,0.017387227298641804,5787,0.0043200276481769485,True,False,False,False,under_100
regression,coepra3,svr,4341,cif,cif__a01a3672a449d400,0.2936219342101497,5787,0.7501296008294454,False,False,True,False,between_100_and_endpoint
regression,comm_violence,knn,5,cif,cif__a01a3672a449d400,0.7929158395229443,2210,0.0022624434389140274,True,False,False,False,under_100
regression,comm_violence,ridge,100,cif,cif__a01a3672a449d400,0.8673130447219113,2210,0.04524886877828054,False,True,False,False,k100
regression,comm_violence,svr,5,cif,cif__a01a3672a449d400,0.08579822649757371,2210,0.0022624434389140274,True,False,False,False,under_100
regression,community_crime,knn,50,cif,cif__a01a3672a449d400,0.6066155886100554,1954,0.0255885363357216,True,False,False,False,under_100
regression,community_crime,ridge,100,cif,cif__a01a3672a449d400,0.6488896394030231,1954,0.0511770726714432,False,True,False,False,k100
regression,community_crime,svr,300,cif,cif__a01a3672a449d400,0.6362517275022812,1954,0.1535312180143296,False,False,True,False,between_100_and_endpoint
regression,residential,knn,5,cif,cif__a01a3672a449d400,0.9355711264579041,107,0.04672897196261682,True,False,False,False,under_100
regression,residential,ridge,107,cif,cif__a01a3672a449d400,0.9761570491512515,107,1.0,False,False,False,True,endpoint
regression,residential,svr,25,cif,cif__a01a3672a449d400,-0.06220280171253119,107,0.2336448598130841,True,False,False,False,under_100
