task,dataset,downstream_model,score_k100,endpoint_k,score_endpoint,score_endpoint_minus_k100,rank_k100,rank_endpoint,rank_change_endpoint_minus_k100,is_best_over_observed_k
classification,TOX_171,lr,0.8502182539682539,5748,0.9591666666666667,0.10894841269841282,8.0,8.5,0.5,True
classification,Yale,lr,0.7586666666666666,1024,0.8066666666666668,0.048000000000000154,2.0,8.5,6.5,False
classification,TOX_171,svm,0.8284126984126984,5748,0.857797619047619,0.029384920634920597,10.0,8.5,-1.5,False
classification,warpAR10P,lr,0.9619999999999999,2400,0.9913333333333333,0.029333333333333433,2.0,8.5,6.5,True
classification,isolet,lr,0.9294537157757498,616,0.9587744458930899,0.029320730117340155,7.0,8.5,1.5,False
classification,musk,svm,0.9482561530877311,166,0.9774955645455694,0.02923941145783826,15.0,9.0,-6.0,True
classification,orlraws10P,lr,0.9520000000000001,10304,0.978,0.025999999999999912,6.0,8.5,2.5,False
classification,isolet,svm,0.9407661886136462,616,0.9652425032594523,0.02447631464580602,7.0,8.5,1.5,False
classification,arcene,lr,0.7684343434343434,10000,0.7917424242424242,0.02330808080808089,2.0,8.5,6.5,False
classification,gisette,lr,0.9521333333333334,5000,0.9749666666666666,0.02283333333333326,5.0,8.0,3.0,True
classification,musk,lr,0.9013521466967913,166,0.9241379718302207,0.022785825133429416,7.0,5.0,-2.0,True
classification,orlraws10P,svm,0.9520000000000001,10304,0.9740000000000001,0.02200000000000002,5.0,8.5,3.5,False
classification,warpPIE10P,svm,0.973,2420,0.9914000000000001,0.018400000000000083,5.0,8.5,3.5,False
classification,pixraw10P,lr,0.976,10000,0.99,0.014000000000000012,5.5,9.5,4.0,True
classification,ALLAML,lr,0.9604444444444443,7129,0.9737777777777779,0.01333333333333353,6.0,8.5,2.5,False
classification,warpPIE10P,lr,0.9872,2420,1.0,0.012800000000000034,8.0,8.5,0.5,True
classification,musk,knn,0.9089560547594492,166,0.9211160847089789,0.012160029949529694,12.0,9.0,-3.0,True
classification,ORL,lr,0.966,1024,0.978,0.01200000000000001,3.0,8.5,5.5,False
classification,Yale,svm,0.723111111111111,1024,0.735111111111111,0.01200000000000001,4.0,8.5,4.5,False
classification,ORL,svm,0.9475,1024,0.9545,0.007000000000000006,4.5,8.5,4.0,False
