task,k,method_base,method_id,n_datasets,n_cells,mean_score_minus_endpoint,median_score_minus_endpoint,support_type
classification,5,boruta,boruta__7f986516a1727870,15,45,-0.2233826272000736,-0.238,dataset_downstream_mean_over_high_p_with_endpoint
classification,5,cat,cat__024a0842d4337711,15,45,-0.13786634172404982,-0.15685959183621934,dataset_downstream_mean_over_high_p_with_endpoint
classification,5,cif,cif__6556bbc3e830b25a,15,45,-0.1515802156417927,-0.1293333333333333,dataset_downstream_mean_over_high_p_with_endpoint
classification,5,cit,cit__bc8d0ddbb26c15b5,15,45,-0.15445942884981154,-0.122,dataset_downstream_mean_over_high_p_with_endpoint
classification,5,cpi,cpi__6e89acc5e72da5a8,15,45,-0.3381878853911957,-0.30000000000000004,dataset_downstream_mean_over_high_p_with_endpoint
classification,5,et,et__f5580a1865f967c8,15,45,-0.1602167328736858,-0.13111111111111118,dataset_downstream_mean_over_high_p_with_endpoint
classification,5,lgbm,lgbm__71ba9ba402678146,15,45,-0.1292442305899643,-0.11399999999999988,dataset_downstream_mean_over_high_p_with_endpoint
classification,5,pi,pi__6e89acc5e72da5a8,15,45,-0.2633217477225307,-0.25960000000000005,dataset_downstream_mean_over_high_p_with_endpoint
classification,5,ptest_mc,ptest_mc__307d6fc3284c28e2,15,45,-0.22348485278655192,-0.15533333333333343,dataset_downstream_mean_over_high_p_with_endpoint
classification,5,ptest_rdc,ptest_rdc__307d6fc3284c28e2,15,45,-0.24921275796848077,-0.22805555555555546,dataset_downstream_mean_over_high_p_with_endpoint
classification,5,r_cforest,r_cforest__37be32340835a93b,14,42,-0.25758704911040353,-0.21955555555555556,dataset_downstream_mean_over_high_p_with_endpoint
classification,5,r_ctree,r_ctree__b6e09ceb0eb26367,14,42,-0.28006414307018934,-0.24519557300820938,dataset_downstream_mean_over_high_p_with_endpoint
classification,5,rf,rf__27caa3a0a3b84fd9,15,45,-0.14035224614855876,-0.11533333333333329,dataset_downstream_mean_over_high_p_with_endpoint
classification,5,rfe,rfe__99914b932bd37a50,15,45,-0.13604153713002354,-0.122,dataset_downstream_mean_over_high_p_with_endpoint
classification,5,xgb,xgb__1c62fadfc5e2988f,15,45,-0.12425506227109355,-0.10733333333333328,dataset_downstream_mean_over_high_p_with_endpoint
classification,10,boruta,boruta__7f986516a1727870,15,45,-0.14092536155970603,-0.1324603174603174,dataset_downstream_mean_over_high_p_with_endpoint
classification,10,cat,cat__024a0842d4337711,15,45,-0.058992051760842955,-0.07899999999999996,dataset_downstream_mean_over_high_p_with_endpoint
classification,10,cif,cif__6556bbc3e830b25a,15,45,-0.07940769777613649,-0.08999999999999997,dataset_downstream_mean_over_high_p_with_endpoint
classification,10,cit,cit__bc8d0ddbb26c15b5,15,45,-0.09804968620992115,-0.09599999999999997,dataset_downstream_mean_over_high_p_with_endpoint
classification,10,cpi,cpi__6e89acc5e72da5a8,15,45,-0.31512941492810026,-0.30059999999999987,dataset_downstream_mean_over_high_p_with_endpoint
classification,10,et,et__f5580a1865f967c8,15,45,-0.0896565890538962,-0.07800000000000007,dataset_downstream_mean_over_high_p_with_endpoint
classification,10,lgbm,lgbm__71ba9ba402678146,15,45,-0.036873739095179145,-0.05999999999999994,dataset_downstream_mean_over_high_p_with_endpoint
classification,10,pi,pi__6e89acc5e72da5a8,15,45,-0.20578374061485413,-0.20044444444444448,dataset_downstream_mean_over_high_p_with_endpoint
classification,10,ptest_mc,ptest_mc__307d6fc3284c28e2,15,45,-0.14815182943556185,-0.12572379137693546,dataset_downstream_mean_over_high_p_with_endpoint
classification,10,ptest_rdc,ptest_rdc__307d6fc3284c28e2,15,45,-0.18621392404912102,-0.16837301587301579,dataset_downstream_mean_over_high_p_with_endpoint
classification,10,r_cforest,r_cforest__37be32340835a93b,14,42,-0.1790524198899291,-0.14813535353535345,dataset_downstream_mean_over_high_p_with_endpoint
classification,10,r_ctree,r_ctree__b6e09ceb0eb26367,14,42,-0.1873365822072142,-0.1550275962227035,dataset_downstream_mean_over_high_p_with_endpoint
classification,10,rf,rf__27caa3a0a3b84fd9,15,45,-0.06644822459056764,-0.08320000000000005,dataset_downstream_mean_over_high_p_with_endpoint
classification,10,rfe,rfe__99914b932bd37a50,15,45,-0.078966262682185,-0.0978,dataset_downstream_mean_over_high_p_with_endpoint
classification,10,xgb,xgb__1c62fadfc5e2988f,15,45,-0.04473238618640995,-0.06799999999999995,dataset_downstream_mean_over_high_p_with_endpoint
classification,25,boruta,boruta__7f986516a1727870,15,45,-0.053986946699284465,-0.05883333333333318,dataset_downstream_mean_over_high_p_with_endpoint
classification,25,cat,cat__024a0842d4337711,15,45,0.001407937704743789,-0.028799999999999937,dataset_downstream_mean_over_high_p_with_endpoint
classification,25,cif,cif__6556bbc3e830b25a,15,45,-0.008541046394259658,-0.03620000000000001,dataset_downstream_mean_over_high_p_with_endpoint
classification,25,cit,cit__bc8d0ddbb26c15b5,15,45,-0.05399114261271828,-0.06284175084175081,dataset_downstream_mean_over_high_p_with_endpoint
