task,metric,method_base,method_id,n_datasets,mean_dataset_cells,mean_rank,median_rank,mean_score,support_type,rank_position
classification,balanced_accuracy,xgb,xgb__1c62fadfc5e2988f,14,3.0,8.511904761904763,8.583333333333332,0.8497997926762191,dataset_mean_over_high_p_endpoint_complete_case,1.0
classification,balanced_accuracy,rfe,rfe__99914b932bd37a50,14,3.0,8.55952380952381,8.583333333333332,0.8497987388731042,dataset_mean_over_high_p_endpoint_complete_case,2.0
classification,balanced_accuracy,lgbm,lgbm__71ba9ba402678146,14,3.0,8.583333333333334,8.583333333333332,0.8497983117971292,dataset_mean_over_high_p_endpoint_complete_case,3.0
classification,balanced_accuracy,cif,cif__6556bbc3e830b25a,14,3.0,8.607142857142858,8.583333333333332,0.8497978739863016,dataset_mean_over_high_p_endpoint_complete_case,4.0
classification,balanced_accuracy,boruta,boruta__7f986516a1727870,14,3.0,8.630952380952381,8.583333333333332,0.8497970317152038,dataset_mean_over_high_p_endpoint_complete_case,5.0
classification,balanced_accuracy,pi,pi__6e89acc5e72da5a8,14,3.0,8.666666666666668,8.583333333333332,0.8497966054032288,dataset_mean_over_high_p_endpoint_complete_case,6.5
classification,balanced_accuracy,ptest_mc,ptest_mc__307d6fc3284c28e2,14,3.0,8.666666666666668,8.583333333333332,0.8497966054032288,dataset_mean_over_high_p_endpoint_complete_case,6.5
classification,balanced_accuracy,cpi,cpi__6e89acc5e72da5a8,14,3.0,8.702380952380953,8.75,0.8497955508361139,dataset_mean_over_high_p_endpoint_complete_case,8.0
classification,balanced_accuracy,et,et__f5580a1865f967c8,14,3.0,8.75,8.75,0.8497951130252864,dataset_mean_over_high_p_endpoint_complete_case,9.5
classification,balanced_accuracy,ptest_rdc,ptest_rdc__307d6fc3284c28e2,14,3.0,8.75,8.75,0.8497951130252864,dataset_mean_over_high_p_endpoint_complete_case,9.5
classification,balanced_accuracy,cit,cit__bc8d0ddbb26c15b5,14,3.0,8.797619047619047,8.75,0.8497946970661638,dataset_mean_over_high_p_endpoint_complete_case,11.0
classification,balanced_accuracy,cat,cat__024a0842d4337711,14,3.0,8.833333333333334,8.75,0.8497946863313113,dataset_mean_over_high_p_endpoint_complete_case,12.5
classification,balanced_accuracy,rt,rt__99914b932bd37a50,14,3.0,8.833333333333334,8.75,0.8497946863313113,dataset_mean_over_high_p_endpoint_complete_case,12.5
classification,balanced_accuracy,dt,dt__99914b932bd37a50,14,3.0,8.869047619047619,8.75,0.8497923520642712,dataset_mean_over_high_p_endpoint_complete_case,14.0
classification,balanced_accuracy,rf,rf__27caa3a0a3b84fd9,14,3.0,8.892857142857142,8.75,0.849791925370296,dataset_mean_over_high_p_endpoint_complete_case,15.0
classification,balanced_accuracy,r_ctree,r_ctree__b6e09ceb0eb26367,14,3.0,9.333333333333334,8.833333333333334,0.8497793840610071,dataset_mean_over_high_p_endpoint_complete_case,16.0
classification,balanced_accuracy,r_cforest,r_cforest__37be32340835a93b,14,3.0,13.011904761904761,11.666666666666666,0.8138429009956935,dataset_mean_over_high_p_endpoint_complete_case,17.0
regression,r2,ptest_dc,ptest_dc__307d6fc3284c28e2,6,3.0,8.027777777777777,7.583333333333333,-0.03862861695683728,dataset_mean_over_high_p_endpoint_complete_case,1.0
regression,r2,ptest_pc,ptest_pc__307d6fc3284c28e2,6,3.0,8.083333333333334,7.583333333333334,-0.03862861695684272,dataset_mean_over_high_p_endpoint_complete_case,2.0
regression,r2,r_cforest,r_cforest__37be32340835a93b,6,3.0,8.555555555555555,9.5,-0.8849501369333433,dataset_mean_over_high_p_endpoint_complete_case,3.0
