task,dataset,endpoint_k,n_methods,n_downstreams,n_method_downstream_cells,expected_methods,expected_downstreams,is_complete_endpoint_surface
classification,dexter,20000,15,3,45,17,3,False
classification,CLL_SUB_111,11340,17,3,51,17,3,True
classification,orlraws10P,10304,17,3,51,17,3,True
classification,arcene,10000,17,3,51,17,3,True
classification,pixraw10P,10000,17,3,51,17,3,True
classification,ALLAML,7129,17,3,51,17,3,True
classification,TOX_171,5748,17,3,51,17,3,True
classification,gisette,5000,17,3,51,17,3,True
classification,warpPIE10P,2420,17,3,51,17,3,True
classification,warpAR10P,2400,17,3,51,17,3,True
classification,ORL,1024,17,3,51,17,3,True
classification,Yale,1024,17,3,51,17,3,True
classification,isolet,616,17,3,51,17,3,True
classification,madelon,500,17,3,51,17,3,True
classification,musk,166,17,3,51,17,3,True
regression,coepra1,5787,18,3,54,18,3,True
regression,coepra3,5787,18,3,54,18,3,True
regression,coepra2,5144,18,3,54,18,3,True
regression,comm_violence,2210,18,3,54,18,3,True
regression,community_crime,1954,18,3,54,18,3,True
regression,residential,107,18,3,54,18,3,True
