task,metric,method_base,display_name,method_id,n_datasets,mean_dataset_cells,mean_rank,median_rank,mean_score,support_type,rank_position
classification,balanced_accuracy,rfe,RF-RFE,rfe__f0ef53dcc6eb8440,21,11.714285714285714,4.523809523809524,2.0,0.8374841994089066,dataset_mean_over_all_complete_case_downstream_k,1.0
classification,balanced_accuracy,rf,RF,rf__27caa3a0a3b84fd9,21,11.714285714285714,6.238095238095238,5.0,0.8234799144336349,dataset_mean_over_all_complete_case_downstream_k,2.5
classification,balanced_accuracy,xgb,XGBoost,xgb__1c62fadfc5e2988f,21,11.714285714285714,6.238095238095238,5.0,0.8279401425933367,dataset_mean_over_all_complete_case_downstream_k,2.5
classification,balanced_accuracy,cif,CIF,cif__4ee6725d43ec8e5a,21,11.714285714285714,6.285714285714286,6.0,0.8216913694750371,dataset_mean_over_all_complete_case_downstream_k,4.0
classification,balanced_accuracy,lgbm,LightGBM,lgbm__71ba9ba402678146,21,11.714285714285714,6.428571428571429,5.0,0.829019361160102,dataset_mean_over_all_complete_case_downstream_k,5.0
classification,balanced_accuracy,cif_maxt,CIF (max-type),cif_maxt__19b65c92023416b0,21,11.714285714285714,6.880952380952381,7.0,0.8202236762286338,dataset_mean_over_all_complete_case_downstream_k,6.0
classification,balanced_accuracy,boruta,Boruta,boruta__7f986516a1727870,21,11.714285714285714,7.238095238095238,7.0,0.816038463455532,dataset_mean_over_all_complete_case_downstream_k,7.5
classification,balanced_accuracy,cat,CatBoost,cat__024a0842d4337711,21,11.714285714285714,7.238095238095238,7.0,0.8217115193508929,dataset_mean_over_all_complete_case_downstream_k,7.5
classification,balanced_accuracy,et,ExtraTrees,et__f5580a1865f967c8,21,11.714285714285714,7.904761904761905,9.0,0.8165447143096513,dataset_mean_over_all_complete_case_downstream_k,9.0
classification,balanced_accuracy,r_cforest,cforest,r_cforest__37be32340835a93b,21,11.714285714285714,9.142857142857142,8.0,0.8117362169134642,dataset_mean_over_all_complete_case_downstream_k,10.0
classification,balanced_accuracy,dt,DT,dt__99914b932bd37a50,21,11.714285714285714,9.619047619047619,10.0,0.7987579225878053,dataset_mean_over_all_complete_case_downstream_k,11.0
classification,balanced_accuracy,ptest_rdc,RDC filter,ptest_rdc__307d6fc3284c28e2,21,11.714285714285714,12.380952380952381,13.0,0.7940196856681425,dataset_mean_over_all_complete_case_downstream_k,12.0
classification,balanced_accuracy,pi,PI,pi__6e89acc5e72da5a8,21,11.714285714285714,13.119047619047619,16.0,0.7454687139616807,dataset_mean_over_all_complete_case_downstream_k,13.0
classification,balanced_accuracy,ptest_mc,MC filter,ptest_mc__307d6fc3284c28e2,21,11.714285714285714,13.285714285714286,14.0,0.7778221388899954,dataset_mean_over_all_complete_case_downstream_k,14.0
classification,balanced_accuracy,rt,RT,rt__99914b932bd37a50,21,11.714285714285714,14.238095238095237,15.0,0.7803152221182462,dataset_mean_over_all_complete_case_downstream_k,15.0
classification,balanced_accuracy,r_ctree,ctree,r_ctree__b6e09ceb0eb26367,21,11.714285714285714,14.285714285714286,16.0,0.7845048347851756,dataset_mean_over_all_complete_case_downstream_k,16.0
classification,balanced_accuracy,cit,CIT,cit__bc8d0ddbb26c15b5,21,11.714285714285714,14.571428571428571,15.0,0.787621809269629,dataset_mean_over_all_complete_case_downstream_k,17.5
classification,balanced_accuracy,cit_maxt,CIT (max-type),cit_maxt__a12ca44bd3b4f742,21,11.714285714285714,14.571428571428571,15.0,0.786590410585567,dataset_mean_over_all_complete_case_downstream_k,17.5
classification,balanced_accuracy,cpi,CPI,cpi__6e89acc5e72da5a8,21,11.714285714285714,15.80952380952381,19.0,0.6944432725725527,dataset_mean_over_all_complete_case_downstream_k,19.0
regression,r2,et,ExtraTrees,et__f09eb85fc7f75870,8,13.5,5.625,4.0,0.35328782801914826,dataset_mean_over_all_complete_case_downstream_k,1.0
regression,r2,cif,CIF,cif__40426895fc45caef,8,13.5,6.75,5.5,0.32343143526091256,dataset_mean_over_all_complete_case_downstream_k,2.0
regression,r2,rfe,RF-RFE,rfe__f0ef53dcc6eb8440,8,13.5,7.625,6.5,0.3821705408829191,dataset_mean_over_all_complete_case_downstream_k,3.0
regression,r2,cat,CatBoost,cat__024a0842d4337711,8,13.5,7.875,8.0,0.30435084938307666,dataset_mean_over_all_complete_case_downstream_k,4.0
regression,r2,cif_maxt,CIF (max-type),cif_maxt__f5bb611437935b7a,8,13.5,8.25,7.0,0.32332861103675925,dataset_mean_over_all_complete_case_downstream_k,5.0
regression,r2,rf,RF,rf__aed17443e3db937d,8,13.5,8.625,7.5,0.32680784724747375,dataset_mean_over_all_complete_case_downstream_k,6.0
regression,r2,rt,RT,rt__99914b932bd37a50,8,13.5,9.0,9.5,0.330099277246818,dataset_mean_over_all_complete_case_downstream_k,7.0
regression,r2,r_cforest,cforest,r_cforest__5c2653de657569d8,8,13.5,9.75,8.5,0.30226693171473695,dataset_mean_over_all_complete_case_downstream_k,8.0
regression,r2,dt,DT,dt__99914b932bd37a50,8,13.5,10.375,9.5,0.22475414663390797,dataset_mean_over_all_complete_case_downstream_k,9.0
regression,r2,boruta,Boruta,boruta__7f986516a1727870,8,13.5,10.625,10.5,0.22059190209682222,dataset_mean_over_all_complete_case_downstream_k,10.0
regression,r2,ptest_pc,PC filter,ptest_pc__307d6fc3284c28e2,8,13.5,10.75,12.5,0.20705644279263066,dataset_mean_over_all_complete_case_downstream_k,11.0
regression,r2,lgbm,LightGBM,lgbm__71ba9ba402678146,8,13.5,11.25,13.0,-0.028198859150671718,dataset_mean_over_all_complete_case_downstream_k,12.0
regression,r2,xgb,XGBoost,xgb__c2661145d45caaf6,8,13.5,11.375,11.5,0.2696716563020971,dataset_mean_over_all_complete_case_downstream_k,13.0
regression,r2,ptest_rdc,RDC filter,ptest_rdc__307d6fc3284c28e2,8,13.5,11.875,14.0,0.07134161075842858,dataset_mean_over_all_complete_case_downstream_k,14.0
regression,r2,cit,CIT,cit__bd4437cf99705bab,8,13.5,12.375,13.0,0.0894800616439611,dataset_mean_over_all_complete_case_downstream_k,15.5
regression,r2,cit_maxt,CIT (max-type),cit_maxt__6b6c19f731529961,8,13.5,12.375,13.5,0.0809805303854716,dataset_mean_over_all_complete_case_downstream_k,15.5
