study,dataset,seed,case,max_features,sampled_features_per_node,bootstrap,n_estimators,root_informative_coverage_probability,top1_feature,top1_hit,n_true_top2,n_true_top10,nonzero_features,nonzero_contains_true,informative_indices
candidate_set,easy_shuffled_classification,0,sqrt_bootstrap_1tree,sqrt,10,True,1,0.19090909090909092,99,0,0,0,0,0,"67,39"
candidate_set,easy_shuffled_classification,1,sqrt_bootstrap_1tree,sqrt,10,True,1,0.19090909090909092,99,0,0,0,0,0,"67,39"
candidate_set,easy_shuffled_classification,0,20_bootstrap_1tree,20,20,True,1,0.3616161616161616,99,0,0,0,0,0,"67,39"
candidate_set,easy_shuffled_classification,1,20_bootstrap_1tree,20,20,True,1,0.3616161616161616,39,1,1,1,2,1,"67,39"
candidate_set,easy_shuffled_classification,0,50_bootstrap_1tree,50,50,True,1,0.7525252525252525,99,0,0,0,0,0,"67,39"
candidate_set,easy_shuffled_classification,1,50_bootstrap_1tree,50,50,True,1,0.7525252525252525,39,1,1,1,2,1,"67,39"
candidate_set,easy_shuffled_classification,0,all_bootstrap_1tree,,100,True,1,1.0,39,1,1,1,1,1,"67,39"
candidate_set,easy_shuffled_classification,1,all_bootstrap_1tree,,100,True,1,1.0,39,1,1,1,1,1,"67,39"
candidate_set,easy_shuffled_classification,0,all_no_bootstrap_1tree,,100,False,1,1.0,39,1,1,1,1,1,"67,39"
candidate_set,easy_shuffled_classification,1,all_no_bootstrap_1tree,,100,False,1,1.0,39,1,1,1,1,1,"67,39"
candidate_set,easy_shuffled_classification,0,sqrt_bootstrap_5tree,sqrt,10,True,5,0.19090909090909092,25,0,0,0,1,0,"67,39"
candidate_set,easy_shuffled_classification,1,sqrt_bootstrap_5tree,sqrt,10,True,5,0.19090909090909092,25,0,0,0,2,0,"67,39"
candidate_set,easy_shuffled_classification,0,all_bootstrap_5tree,,100,True,5,1.0,39,1,1,1,1,1,"67,39"
candidate_set,easy_shuffled_classification,1,all_bootstrap_5tree,,100,True,5,1.0,39,1,1,1,1,1,"67,39"
