study,dataset,method,seed,informative_indices,top1_hit,n_true_top2,n_true_top10
false_feature_diffusion,easy_shuffled_classification,cit,0,"67,39",1,1,1
false_feature_diffusion,easy_shuffled_classification,cit,1,"67,39",1,1,1
false_feature_diffusion,easy_shuffled_classification,cit,2,"67,39",1,1,1
false_feature_diffusion,easy_shuffled_classification,cit,3,"67,39",1,1,1
false_feature_diffusion,easy_shuffled_classification,cif_all,0,"67,39",1,1,1
false_feature_diffusion,easy_shuffled_classification,cif_all,1,"67,39",1,1,1
false_feature_diffusion,easy_shuffled_classification,cif_all,2,"67,39",1,1,1
false_feature_diffusion,easy_shuffled_classification,cif_all,3,"67,39",1,1,1
false_feature_diffusion,easy_shuffled_classification,rf,0,"67,39",1,1,2
false_feature_diffusion,easy_shuffled_classification,rf,1,"67,39",1,1,2
false_feature_diffusion,easy_shuffled_classification,rf,2,"67,39",1,1,2
false_feature_diffusion,easy_shuffled_classification,rf,3,"67,39",1,1,1
false_feature_diffusion,easy_shuffled_classification,et,0,"67,39",1,1,1
false_feature_diffusion,easy_shuffled_classification,et,1,"67,39",1,1,1
false_feature_diffusion,easy_shuffled_classification,et,2,"67,39",1,1,2
false_feature_diffusion,easy_shuffled_classification,et,3,"67,39",1,1,2
false_feature_diffusion,symmetric_two_signal_gaussian,cit,0,"14,67",1,2,2
false_feature_diffusion,symmetric_two_signal_gaussian,cit,1,"14,67",1,2,2
false_feature_diffusion,symmetric_two_signal_gaussian,cit,2,"14,67",1,2,2
false_feature_diffusion,symmetric_two_signal_gaussian,cit,3,"14,67",1,2,2
false_feature_diffusion,symmetric_two_signal_gaussian,cif_all,0,"14,67",1,2,2
false_feature_diffusion,symmetric_two_signal_gaussian,cif_all,1,"14,67",1,2,2
false_feature_diffusion,symmetric_two_signal_gaussian,cif_all,2,"14,67",1,2,2
false_feature_diffusion,symmetric_two_signal_gaussian,cif_all,3,"14,67",1,2,2
false_feature_diffusion,symmetric_two_signal_gaussian,rf,0,"14,67",1,2,2
false_feature_diffusion,symmetric_two_signal_gaussian,rf,1,"14,67",1,2,2
false_feature_diffusion,symmetric_two_signal_gaussian,rf,2,"14,67",1,2,2
false_feature_diffusion,symmetric_two_signal_gaussian,rf,3,"14,67",1,2,2
false_feature_diffusion,symmetric_two_signal_gaussian,et,0,"14,67",1,2,2
false_feature_diffusion,symmetric_two_signal_gaussian,et,1,"14,67",1,2,2
false_feature_diffusion,symmetric_two_signal_gaussian,et,2,"14,67",1,2,2
false_feature_diffusion,symmetric_two_signal_gaussian,et,3,"14,67",1,2,2
