study,dataset,method,k,n_seeds,top1_hit_rate,mean_true_top2,mean_true_top10,distinct_false_features,max_false_selection_count,mean_false_selection_count,true_selection_counts
false_feature_diffusion,easy_shuffled_classification,cif_all,2,4,1.0,1.0,1.0,1,4,0.04081632653061224,"4,0"
false_feature_diffusion,easy_shuffled_classification,cit,2,4,1.0,1.0,1.0,1,4,0.04081632653061224,"4,0"
false_feature_diffusion,easy_shuffled_classification,et,2,4,1.0,1.0,1.5,4,1,0.04081632653061224,"4,0"
false_feature_diffusion,easy_shuffled_classification,rf,2,4,1.0,1.0,1.75,4,1,0.04081632653061224,"4,0"
false_feature_diffusion,easy_shuffled_classification,cif_all,10,4,1.0,1.0,1.0,9,4,0.3673469387755102,"4,0"
false_feature_diffusion,easy_shuffled_classification,cit,10,4,1.0,1.0,1.0,9,4,0.3673469387755102,"4,0"
false_feature_diffusion,easy_shuffled_classification,et,10,4,1.0,1.0,1.5,32,2,0.3469387755102041,"4,2"
false_feature_diffusion,easy_shuffled_classification,rf,10,4,1.0,1.0,1.75,32,2,0.336734693877551,"4,3"
false_feature_diffusion,symmetric_two_signal_gaussian,cif_all,2,4,1.0,2.0,2.0,0,0,0.0,"4,4"
false_feature_diffusion,symmetric_two_signal_gaussian,cit,2,4,1.0,2.0,2.0,0,0,0.0,"4,4"
false_feature_diffusion,symmetric_two_signal_gaussian,et,2,4,1.0,2.0,2.0,0,0,0.0,"4,4"
false_feature_diffusion,symmetric_two_signal_gaussian,rf,2,4,1.0,2.0,2.0,0,0,0.0,"4,4"
false_feature_diffusion,symmetric_two_signal_gaussian,cif_all,10,4,1.0,2.0,2.0,10,4,0.32653061224489793,"4,4"
false_feature_diffusion,symmetric_two_signal_gaussian,cit,10,4,1.0,2.0,2.0,8,4,0.32653061224489793,"4,4"
false_feature_diffusion,symmetric_two_signal_gaussian,et,10,4,1.0,2.0,2.0,29,2,0.32653061224489793,"4,4"
false_feature_diffusion,symmetric_two_signal_gaussian,rf,10,4,1.0,2.0,2.0,26,2,0.32653061224489793,"4,4"
