study,method,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,informative_feature_coverage_share,distinct_false_features_used
tree_classification,cit,2.216666666666667,2.216666666666667,0.0,1.0,0.6,0.0
tree_classification,dt,6.016666666666667,2.85,3.1666666666666665,0.6762639623750735,0.7083333333333334,10.333333333333334
tree_classification,rt,62.28333333333333,3.966666666666667,58.31666666666666,0.0608564518868604,0.875,191.0
forest_classification_1000trees,cif,964.7166666666668,334.7,630.0166666666667,0.3324541519726599,0.95,265.0833333333333
forest_classification_1000trees,cif_all,2379.883333333333,2076.9166666666665,302.96666666666664,0.9169472350908028,0.8583333333333334,93.41666666666669
forest_classification_1000trees,et,63394.95,4253.533333333334,59141.416666666664,0.0645040669131785,1.0,528.8333333333334
forest_classification_1000trees,rf,23264.5,1952.2,21312.3,0.0839395627645103,1.0,528.8333333333334
tree_regression,cit,12.700000000000001,12.116666666666667,0.5833333333333334,0.935166394323092,0.775,0.6666666666666666
tree_regression,dt,249.0,18.216666666666665,230.78333333333333,0.07315930388219542,0.9666666666666667,401.5
tree_regression,rt,249.0,20.849999999999998,228.15,0.08373493975903608,0.9916666666666667,411.8333333333333
forest_regression_1000trees,cif,1331.1,376.9,954.2,0.2781676767477773,1.0,367.6666666666667
forest_regression_1000trees,cif_all,26908.38333333333,11446.766666666668,15461.616666666669,0.4231424388647674,1.0,528.75
forest_regression_1000trees,et,249000.0,20931.116666666665,228068.88333333333,0.0840607095046853,1.0,528.8333333333334
forest_regression_1000trees,rf,157191.6,12117.633333333331,145073.96666666667,0.0770883007319305,1.0,528.8333333333334
