n_features,n_informative,cif_informative_split_share,cif_all_informative_split_share,split_share_gain,cif_coverage_share,cif_all_coverage_share,coverage_gain,cif_distinct_false_features,cif_all_distinct_false_features,false_feature_reduction
100,1,0.3333333333333333,1.0,0.6666666666666667,1.0,1.0,0.0,76.0,0.0,76.0
100,2,0.400396432111001,1.0,0.599603567888999,1.0,0.5,-0.5,70.0,0.0,70.0
100,5,0.6742173581063884,0.9250164798945286,0.25079912178814023,1.0,0.8,-0.19999999999999996,69.0,37.0,32.0
100,10,0.7493699243909269,0.8894623003073654,0.14009237591643853,1.0,1.0,0.0,81.0,89.0,-8.0
500,1,0.103860916685482,1.0,0.896139083314518,1.0,1.0,0.0,272.0,0.0,272.0
500,2,0.1215686274509803,0.9017132551848512,0.7801446277338709,1.0,0.5,-0.5,281.0,17.0,264.0
500,5,0.3588054457619675,0.923240291262136,0.5644348455001685,1.0,1.0,0.0,257.0,99.0,158.0
500,10,0.4763293072330973,0.7718330268071114,0.2955037195740141,1.0,1.0,0.0,308.0,230.0,78.0
1000,1,0.0988900100908173,1.0,0.9011099899091827,1.0,1.0,0.0,444.0,0.0,444.0
1000,2,0.0904494382022471,1.0,0.9095505617977528,0.5,0.5,0.0,439.0,0.0,439.0
1000,5,0.2856115107913669,0.8287869551965864,0.5431754444052195,1.0,1.0,0.0,413.0,135.0,278.0
1000,10,0.2966175195143105,0.7633145124370517,0.46669699292274125,0.9,1.0,0.09999999999999998,471.0,514.0,-43.0
