n_features,n_informative,score,cif,cif_all,rf,et,cif_false,cif_all_false
1000,1,5.422777483092428,0.0988900100908173,1.0,0.0227077544834554,0.0172225169075719,444.0,0.0
1000,2,5.370033311326856,0.0904494382022471,1.0,0.0265205031746301,0.0199666886731434,439.0,0.0
500,1,3.6939529229393737,0.103860916685482,1.0,0.0329685257983171,0.0260470770606264,272.0,0.0
1000,5,3.568395965366573,0.2856115107913669,0.8287869551965864,0.0607086057607351,0.040390989830013,413.0,135.0
500,2,3.5139628718395355,0.1215686274509803,0.9017132551848512,0.0366820913512192,0.0277503833453161,281.0,17.0
500,5,2.454784244301553,0.3588054457619675,0.923240291262136,0.0672459112149532,0.0484560469605832,257.0,99.0
100,1,1.6922612711915985,0.3333333333333333,1.0,0.0772859886254524,0.0677387288084015,76.0,0.0
100,2,1.623884690628716,0.400396432111001,1.0,0.0954740572152919,0.0761153093712839,70.0,0.0
500,10,1.47393096834297,0.4763293072330973,0.7718330268071114,0.1136365583475407,0.0779020584641413,308.0,230.0
100,5,1.102444248509763,0.6742173581063884,0.9250164798945286,0.1816546762589928,0.1425722313847657,69.0,37.0
100,10,0.6190501235255149,0.7493699243909269,0.8894623003073654,0.2341760900314584,0.1904121767818505,81.0,89.0
1000,10,0.29383991706660567,0.2966175195143105,0.7633145124370517,0.0582139909120779,0.0394745953704461,471.0,514.0
