study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,dataset_seed,method,seed,n_estimators,n_split_events,n_true_split_events,n_noise_split_events,distinct_noise_features_used,informative_indices,sweep_n_estimators
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,cif,0,100,31,13,18,13,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,cif,1,100,31,13,18,13,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,cif,2,100,31,13,18,13,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,cif,3,100,31,13,18,13,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,cif,4,100,31,13,18,13,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,cif_all,0,100,100,100,0,0,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,cif_all,1,100,100,100,0,0,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,cif_all,2,100,100,100,0,0,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,cif_all,3,100,100,100,0,0,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,cif_all,4,100,100,100,0,0,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,rf,0,100,2241,179,2062,99,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,rf,1,100,2141,163,1978,99,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,rf,2,100,2348,191,2157,99,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,rf,3,100,2009,166,1843,99,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,rf,4,100,2288,166,2122,99,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,et,0,100,6124,414,5710,99,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,et,1,100,6021,403,5618,99,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,et,2,100,6254,418,5836,99,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,et,3,100,5762,392,5370,99,91,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,et,4,100,5621,379,5242,99,91,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif,0,100,109,8,101,71,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif,1,100,111,8,103,71,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif,2,100,115,9,106,73,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif,3,100,112,9,103,70,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif,4,100,111,9,102,70,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif_all,0,100,100,100,0,0,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif_all,1,100,100,100,0,0,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif_all,2,100,100,100,0,0,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif_all,3,100,100,100,0,0,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cif_all,4,100,100,100,0,0,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,rf,0,100,2124,90,2034,488,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,rf,1,100,2428,79,2349,493,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,rf,2,100,2264,83,2181,493,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,rf,3,100,2404,73,2331,485,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,rf,4,100,2363,87,2276,489,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,et,0,100,6225,169,6056,499,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,et,1,100,6269,142,6127,499,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,et,2,100,6175,163,6012,499,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,et,3,100,6008,151,5857,499,338,100
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,et,4,100,5997,157,5840,499,338,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif,0,100,98,7,91,81,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif,1,100,98,7,91,81,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif,2,100,99,8,91,81,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif,3,100,99,9,90,80,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif,4,100,99,9,90,80,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif_all,0,100,100,100,0,0,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif_all,1,100,100,100,0,0,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif_all,2,100,100,100,0,0,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif_all,3,100,100,100,0,0,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cif_all,4,100,100,100,0,0,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,rf,0,100,2471,48,2423,892,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,rf,1,100,2485,46,2439,916,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,rf,2,100,2505,45,2460,902,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,rf,3,100,2282,56,2226,882,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,rf,4,100,2457,44,2413,908,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,et,0,100,5786,113,5673,996,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,et,1,100,5752,124,5628,993,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,et,2,100,6091,105,5986,994,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,et,3,100,5986,113,5873,997,742,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,et,4,100,6151,99,6052,997,742,100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif,0,100,43,17,26,16,"9,71",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif,1,100,45,18,27,17,"9,71",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif,2,100,45,18,27,17,"9,71",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif,3,100,45,18,27,17,"9,71",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif,4,100,47,18,29,18,"9,71",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif_all,0,100,100,100,0,0,"9,71",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif_all,1,100,100,100,0,0,"9,71",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif_all,2,100,100,100,0,0,"9,71",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif_all,3,100,100,100,0,0,"9,71",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,cif_all,4,100,100,100,0,0,"9,71",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,rf,0,100,2028,181,1847,98,"9,71",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,rf,1,100,2117,194,1923,98,"9,71",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,rf,2,100,2129,197,1932,98,"9,71",100
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,24818,rf,3,100,2126,206,1920,98,"9,71",100
