study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,method,n_fit_seeds,n_estimators_per_fit,total_trees,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,distinct_false_features_used,max_false_tree_use_count,mean_false_tree_use_count,true_split_counts,true_tree_use_counts,sweep_n_estimators
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,cif,5,100,500,98.6,8.0,90.6,0.08113590263691683,82,15,0.45345345345345345,40,40,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,cif_all,5,100,500,100.0,100.0,0.0,1.0,0,0,0.0,500,500,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,et,5,100,500,5953.2,110.8,5842.4,0.01861183901095209,999,73,28.35035035035035,554,353,100
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,rf,5,100,500,2440.0,47.8,2392.2,0.019590163934426228,999,40,11.845845845845846,239,212,100
ensemble_split_counts,make_classification_n250_p1000_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,10,0.01,cif,5,100,500,133.6,46.0,87.6,0.344311377245509,81,15,0.44242424242424244,"5,30,5,32,39,0,54,0,30,35","5,30,5,32,39,0,54,0,30,35",100
ensemble_split_counts,make_classification_n250_p1000_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,10,0.01,cif_all,5,100,500,549.8,397.8,152.0,0.7235358312113496,127,42,0.7626262626262627,"159,534,0,132,269,0,427,70,342,56","154,410,0,132,269,0,407,70,322,56",100
ensemble_split_counts,make_classification_n250_p1000_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,10,0.01,et,5,100,500,6356.8,246.6,6110.2,0.03879310344827586,990,66,29.931313131313132,"54,160,48,167,201,53,159,52,181,158","51,140,45,152,172,48,136,48,150,140",100
ensemble_split_counts,make_classification_n250_p1000_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,10,0.01,rf,5,100,500,2503.6,144.0,2359.6,0.057517175267614636,990,39,11.78989898989899,"19,137,20,103,110,23,90,19,105,94","19,127,19,96,102,23,83,18,101,93",100
ensemble_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,cif,5,100,500,116.8,9.6,107.2,0.0821917808219178,85,19,0.5370741482965932,"48,0","48,0",100
ensemble_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,cif_all,5,100,500,100.0,100.0,0.0,1.0,0,0,0.0,"500,0","500,0",100
ensemble_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,et,5,100,500,6043.6,116.0,5927.6,0.019193857965451054,998,73,28.779559118236474,"534,46","347,44",100
ensemble_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,rf,5,100,500,2294.0,62.8,2231.2,0.027375762859633827,998,38,11.037074148296593,"268,46","234,46",100
ensemble_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,cif,5,100,500,117.6,30.4,87.2,0.2585034013605442,82,15,0.4381909547738693,"25,33,20,20,54","25,33,20,20,54",100
ensemble_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,cif_all,5,100,500,278.0,224.6,53.4,0.8079136690647482,38,20,0.26834170854271355,"0,161,500,372,90","0,161,500,367,85",100
ensemble_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,et,5,100,500,6031.2,247.6,5783.6,0.041053190078259715,995,67,28.240201005025124,"201,178,409,248,202","168,154,304,205,164",100
ensemble_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,rf,5,100,500,2260.0,140.4,2119.6,0.062123893805309735,995,41,10.533668341708543,"137,97,239,112,117","127,93,210,107,109",100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,cif,5,100,500,31.0,13.0,18.0,0.41935483870967744,13,15,0.9090909090909091,65,65,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,cif_all,5,100,500,100.0,100.0,0.0,1.0,0,0,0.0,500,500,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,et,5,100,500,5956.4,401.2,5555.2,0.06735612114700154,99,250,207.55555555555554,2006,500,100
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,rf,5,100,500,2205.4,173.0,2032.4,0.0784438197152444,99,134,91.05050505050505,865,465,100
ensemble_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,cif,5,100,500,126.4,94.2,32.2,0.745253164556962,25,15,1.788888888888889,"23,83,60,5,85,50,58,25,82,0","23,83,60,5,85,50,58,25,82,0",100
ensemble_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,cif_all,5,100,500,537.4,479.0,58.4,0.8913286192780052,39,40,3.2444444444444445,"118,312,111,100,467,411,316,20,475,65","113,287,106,100,427,366,306,20,443,65",100
ensemble_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,et,5,100,500,7433.2,1416.0,6017.2,0.19049669052359683,90,299,242.87777777777777,"502,877,738,476,965,879,801,486,1002,354","327,437,412,300,440,429,421,311,449,249",100
ensemble_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,rf,5,100,500,2629.8,600.0,2029.8,0.22815423226100845,90,156,100.87777777777778,"213,376,312,173,444,397,371,160,451,103","178,289,249,149,328,310,294,135,335,95",100
