n_features,n_informative,cif_informative_split_share,cif_all_informative_split_share,split_share_gain,cif_distinct_false_features,cif_all_distinct_false_features,false_feature_reduction
100,1,0.3034383954154728,0.6013082573123872,0.29786986189691445,94.0,99.0,-5.0
100,2,0.3986988847583643,0.5875387857853756,0.18883990102701126,97.0,98.0,-1.0
100,5,0.5408059600406366,0.5659438164362656,0.025137856395628932,95.0,95.0,0.0
100,10,0.6225312934631433,0.5708044801784635,-0.05172681328467976,89.0,90.0,-1.0
500,1,0.1221401549270401,0.3111264870304993,0.18898633210345916,372.0,499.0,-127.0
500,2,0.1973615691720187,0.466739263939626,0.2693776947676073,372.0,498.0,-126.0
500,5,0.267601643292251,0.3369224500031346,0.06932080671088359,383.0,495.0,-112.0
500,10,0.3431142410015649,0.2906788247213779,-0.052435416280187,388.0,490.0,-102.0
1000,1,0.0770237121831561,0.4978245947801084,0.42080088259695225,582.0,998.0,-416.0
1000,2,0.1159420289855072,0.358851584797957,0.24290955581244977,620.0,998.0,-378.0
1000,5,0.1468284053575941,0.276073707299995,0.1292453019424009,658.0,995.0,-337.0
1000,10,0.2025258323765786,0.2138970140920189,0.011371181715440298,662.0,990.0,-328.0
