n_features,n_informative,score,cif,cif_all,rf,et,cif_false,cif_all_false
100,2,0.44924079381750415,0.3986988847583643,0.5875387857853756,0.1012713147521877,0.1282979919678714,97.0,98.0
100,1,0.44253556654933507,0.3034383954154728,0.6013082573123872,0.114338170741948,0.1087726907630522,94.0,99.0
100,5,0.43151249113506074,0.5408059600406366,0.5659438164362656,0.1147147811969596,0.1344313253012048,95.0,95.0
100,10,0.39643741190537124,0.6225312934631433,0.5708044801784635,0.1532435575437873,0.1643670682730923,89.0,90.0
500,10,-0.7821950708609514,0.3431142410015649,0.2906788247213779,0.0487825049175655,0.0528738955823293,388.0,490.0
500,5,-0.8408879917639338,0.267601643292251,0.3369224500031346,0.0516070833301525,0.0578104417670682,383.0,495.0
500,2,-0.8776069207993298,0.1973615691720187,0.466739263939626,0.0720305665188216,0.0843461847389558,372.0,498.0
500,1,-1.009717689676328,0.1221401549270401,0.3111264870304993,0.0477366475053374,0.0508441767068273,372.0,499.0
1000,10,-3.1021045923336836,0.2025258323765786,0.2138970140920189,0.0337969713394354,0.0360016064257028,662.0,990.0
1000,5,-3.139714244507234,0.1468284053575941,0.276073707299995,0.0425849727339119,0.0457879518072289,658.0,995.0
1000,2,-3.4860431943185084,0.1159420289855072,0.358851584797957,0.0546021543135892,0.0648947791164658,620.0,998.0
1000,1,-3.7424758068263175,0.0770237121831561,0.4978245947801084,0.0903508838894699,0.0803004016064257,582.0,998.0
