study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,method,n_fit_seeds,n_estimators_per_fit,total_trees,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,distinct_false_features_used,max_false_tree_use_count,mean_false_tree_use_count,true_split_counts,true_tree_use_counts,sweep_n_estimators
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,cif,5,100,500,130.8,9.0,121.8,0.06880733944954129,112,20,0.6096096096096096,45,45,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,cif_all,5,100,500,3614.4,1832.4,1782.0,0.5069721115537849,763,124,8.786786786786786,9162,500,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,et,5,100,500,24900.0,1990.2,22909.8,0.0799277108433735,999,170,102.47747747747748,9951,500,100
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,rf,5,100,500,15721.4,1419.4,14302.0,0.09028458025366698,999,112,66.73673673673673,7097,500,100
ensemble_split_counts,make_regression_n250_p1000_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,10,0.01,cif,5,100,500,178.8,32.0,146.8,0.1789709172259508,139,15,0.7414141414141414,"35,2,5,5,25,30,0,5,40,13","35,2,5,5,25,30,0,5,40,13",100
ensemble_split_counts,make_regression_n250_p1000_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,10,0.01,cif_all,5,100,500,2440.0,515.2,1924.8,0.21114754098360655,841,47,9.590909090909092,"231,154,61,30,182,698,0,5,638,577","220,139,56,30,169,495,0,5,485,463",100
ensemble_split_counts,make_regression_n250_p1000_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,10,0.01,et,5,100,500,24900.0,877.8,24022.2,0.03525301204819277,990,165,107.81919191919192,"399,348,168,132,485,954,132,158,942,671","309,272,136,119,349,483,111,136,487,429",100
ensemble_split_counts,make_regression_n250_p1000_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,10,0.01,rf,5,100,500,15721.4,540.2,15181.2,0.03436080756166754,990,105,71.21616161616161,"213,216,96,100,246,554,82,81,623,490","182,189,91,91,210,412,76,76,463,380",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,cif,5,100,500,132.8,14.2,118.6,0.10692771084337349,106,15,0.594188376753507,"25,46","25,41",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,cif_all,5,100,500,3148.6,1143.8,2004.8,0.36327256558470433,826,57,9.922845691382765,"2404,3315","500,500",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,et,5,100,500,24900.0,1622.4,23277.6,0.06515662650602409,998,152,103.81663326653306,"3227,4885","500,500",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,rf,5,100,500,15721.4,854.4,14867.0,0.054346305036447135,998,124,69.23547094188376,"1570,2702","500,500",100
ensemble_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,cif,5,100,500,157.4,27.0,130.4,0.17153748411689962,123,10,0.6552763819095477,"45,20,10,55,5","45,20,10,55,5",100
ensemble_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,cif_all,5,100,500,2713.0,777.8,1935.2,0.28669369701437525,823,62,9.549748743718594,"1481,594,136,1609,69","500,427,126,500,64",100
ensemble_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,et,5,100,500,24900.0,1146.6,23753.4,0.04604819277108434,995,183,106.24321608040201,"1944,849,350,2406,184","500,444,260,500,146",100
ensemble_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,rf,5,100,500,15721.4,669.8,15051.6,0.04260434821326345,995,137,70.32964824120603,"1180,466,153,1421,129","500,335,128,500,115",100
ensemble_split_counts,make_regression_n250_p100_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,1,0.01,cif,5,100,500,66.4,18.2,48.2,0.2740963855421687,34,15,2.4343434343434343,91,69,100
