n_features,n_informative,score,cit_share,dt_share,rt_share,dt_false,rt_false
1000,10,4.026261127596439,1.0,0.3857142857142857,0.0237388724035608,29.0,276.0
1000,5,3.8823926380368103,1.0,0.4285714285714285,0.0276073619631901,17.0,274.0
1000,2,3.6511320754716983,1.0,1.0,0.0188679245283018,0.0,267.0
1000,1,3.593606557377049,1.0,1.0,0.0163934426229508,0.0,261.0
500,10,3.4073684210526314,1.0,0.4333333333333333,0.0526315789473684,23.0,223.0
500,2,3.335975975975976,1.0,0.5,0.024024024024024,5.0,231.0
500,5,3.3255128205128206,1.0,0.5428571428571428,0.0544871794871794,12.0,226.0
500,1,2.8365271966527197,1.0,1.0,0.0334728033472803,0.0,187.0
100,5,1.9353541076487253,1.0,0.3555555555555555,0.1246458923512747,15.0,91.0
100,10,1.8884577114427863,1.0,0.4691358024691358,0.1915422885572139,23.0,85.0
100,2,1.8275862068965518,1.0,1.0,0.0724137931034482,0.0,90.0
100,1,1.7195477386934674,1.0,1.0,0.0904522613065326,0.0,81.0
