study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,dataset_seed,method,seed,n_splits,n_true_split_events,n_noise_split_events,distinct_noise_features_used,informative_indices
single_tree_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,cit,0,1,1,0,0,91
single_tree_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,cit,1,1,1,0,0,91
single_tree_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,cit,2,1,1,0,0,91
single_tree_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,cit,3,1,1,0,0,91
single_tree_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,cit,4,1,1,0,0,91
single_tree_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,dt,0,1,1,0,0,91
single_tree_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,dt,1,1,1,0,0,91
single_tree_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,dt,2,1,1,0,0,91
single_tree_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,dt,3,1,1,0,0,91
single_tree_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,dt,4,1,1,0,0,91
single_tree_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,rt,0,19,5,14,13,91
single_tree_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,rt,1,15,3,12,11,91
single_tree_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,rt,2,79,5,74,47,91
single_tree_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,rt,3,42,2,40,33,91
single_tree_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,14818,rt,4,44,3,41,34,91
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cit,0,1,1,0,0,338
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cit,1,1,1,0,0,338
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cit,2,1,1,0,0,338
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cit,3,1,1,0,0,338
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,cit,4,1,1,0,0,338
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,dt,0,1,1,0,0,338
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,dt,1,1,1,0,0,338
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,dt,2,1,1,0,0,338
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,dt,3,1,1,0,0,338
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,dt,4,1,1,0,0,338
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,rt,0,24,3,21,20,338
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,rt,1,67,3,64,58,338
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,rt,2,5,1,4,4,338
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,rt,3,68,0,68,66,338
single_tree_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,15218,rt,4,75,1,74,71,338
single_tree_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cit,0,1,1,0,0,742
single_tree_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cit,1,1,1,0,0,742
single_tree_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cit,2,1,1,0,0,742
single_tree_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cit,3,1,1,0,0,742
single_tree_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,cit,4,1,1,0,0,742
single_tree_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,dt,0,1,1,0,0,742
single_tree_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,dt,1,1,1,0,0,742
single_tree_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,15718,dt,2,1,1,0,0,742
