study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,method,n_seeds,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,distinct_false_features_used,max_false_tree_use_count,mean_false_tree_use_count,true_split_counts,true_tree_use_counts
single_tree_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,cit,5,1.0,1.0,0.0,1.0,0,0,0.0,5,5
single_tree_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,dt,5,1.0,1.0,0.0,1.0,0,0,0.0,5,5
single_tree_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,rt,5,61.0,1.0,60.0,0.01639344262295082,261,3,0.2932932932932933,5,2
single_tree_split_counts,make_classification_n250_p1000_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,10,0.01,cit,5,4.8,4.8,0.0,1.0,0,0,0.0,"5,6,0,0,5,0,5,0,3,0","5,5,0,0,5,0,5,0,3,0"
single_tree_split_counts,make_classification_n250_p1000_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,10,0.01,dt,5,14.0,5.4,8.6,0.38571428571428573,29,5,0.043434343434343436,"1,5,0,0,5,0,10,1,5,0","1,5,0,0,5,0,5,1,5,0"
single_tree_split_counts,make_classification_n250_p1000_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,10,0.01,rt,5,67.4,1.6,65.8,0.02373887240356083,276,3,0.32323232323232326,"1,1,0,1,0,0,2,0,1,2","1,1,0,1,0,0,1,0,1,2"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,cit,5,1.0,1.0,0.0,1.0,0,0,0.0,"5,0","5,0"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,dt,5,1.0,1.0,0.0,1.0,0,0,0.0,"5,0","5,0"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,rt,5,63.6,1.2,62.4,0.018867924528301886,267,3,0.30060120240480964,"5,1","3,1"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,cit,5,2.0,2.0,0.0,1.0,0,0,0.0,"0,0,5,5,0","0,0,5,5,0"
