n_features,n_informative,score,cit,dt,rt,dt_false,rt_false
1000,2,14.697510040160644,1.0,0.0449799196787148,0.0674698795180722,669.0,703.0
1000,10,14.550261044176708,0.7916666666666666,0.0449799196787148,0.0385542168674698,678.0,703.0
1000,1,14.44726907630522,1.0,0.0835341365461847,0.0843373493975903,656.0,697.0
1000,5,14.437510040160642,0.8,0.0337349397590361,0.0449799196787148,679.0,687.0
500,5,9.708955823293174,0.95,0.0570281124497992,0.053012048192771,436.0,446.0
500,1,9.695977954370674,0.9148936170212766,0.0409638554216867,0.053012048192771,441.0,440.0
500,2,9.650693258470776,0.9514563106796116,0.0891566265060241,0.0875502008032128,441.0,438.0
500,10,9.627961256791874,0.8529411764705882,0.0497991967871485,0.0546184738955823,436.0,446.0
100,1,2.9044979919678715,1.0,0.0931726907630522,0.1108433734939759,99.0,99.0
100,2,2.8672236999947844,0.961038961038961,0.0899598393574297,0.1261044176706827,98.0,98.0
100,5,2.7963855421686747,1.0,0.1180722891566265,0.1325301204819277,95.0,95.0
100,10,2.6867469879518073,1.0,0.1325301204819277,0.1518072289156626,90.0,90.0
