study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,method,n_seeds,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,distinct_false_features_used,max_false_tree_use_count,mean_false_tree_use_count,true_split_counts,true_tree_use_counts
single_tree_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,cit,5,20.2,20.2,0.0,1.0,0,0,0.0,101,5
single_tree_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,dt,5,249.0,20.8,228.2,0.08353413654618475,656,5,1.026026026026026,104,5
single_tree_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,rt,5,249.0,21.0,228.0,0.08433734939759036,697,4,1.025025025025025,105,5
single_tree_split_counts,make_regression_n250_p1000_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,10,0.01,cit,5,4.8,3.8,1.0,0.7916666666666666,1,5,0.005050505050505051,"0,0,0,0,0,5,0,0,9,5","0,0,0,0,0,5,0,0,5,5"
single_tree_split_counts,make_regression_n250_p1000_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,10,0.01,dt,5,249.0,11.2,237.8,0.04497991967871486,678,5,1.0656565656565657,"1,6,8,0,5,17,0,2,7,10","1,5,5,0,5,5,0,1,5,5"
single_tree_split_counts,make_regression_n250_p1000_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,10,0.01,rt,5,249.0,9.6,239.4,0.03855421686746988,703,4,1.082828282828283,"6,3,1,1,7,14,0,1,10,5","4,3,1,1,3,5,0,1,5,3"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,cit,5,13.0,13.0,0.0,1.0,0,0,0.0,"25,40","5,5"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,dt,5,249.0,11.2,237.8,0.04497991967871486,669,5,1.0581162324649298,"21,35","5,5"
single_tree_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,rt,5,249.0,16.8,232.2,0.06746987951807229,703,4,1.060120240480962,"38,46","5,5"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,cit,5,10.0,8.0,2.0,0.8,2,5,0.010050251256281407,"10,10,0,20,0","5,5,0,5,0"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,dt,5,249.0,8.4,240.6,0.033734939759036145,679,5,1.078391959798995,"16,5,1,20,0","5,5,1,5,0"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,rt,5,249.0,11.2,237.8,0.04497991967871486,687,5,1.042211055276382,"19,7,6,23,1","5,4,4,5,1"
single_tree_split_counts,make_regression_n250_p100_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,1,0.01,cit,5,20.0,20.0,0.0,1.0,0,0,0.0,100,5
single_tree_split_counts,make_regression_n250_p100_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,1,0.01,dt,5,249.0,23.2,225.8,0.09317269076305221,99,5,4.454545454545454,116,5
single_tree_split_counts,make_regression_n250_p100_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,1,0.01,rt,5,249.0,27.6,221.4,0.1108433734939759,99,5,4.575757575757576,138,5
single_tree_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,cit,5,8.0,8.0,0.0,1.0,0,0,0.0,"0,0,0,4,0,11,10,0,10,5","0,0,0,4,0,5,5,0,5,5"
