task,dataset_group,variant,n_dataset_types,n_dataset_variant_rows,runtime_ratio_vs_default_mean,runtime_ratio_vs_default_median,runtime_ratio_vs_default_p25,runtime_ratio_vs_default_p75,runtime_speedup_vs_default_mean,runtime_speedup_vs_default_median,n_dataset_types_faster_5pct,n_dataset_types_near_default,n_dataset_types_slower_5pct,mean_downstream_score,mean_precision_over_standard_k,mean_precision_at_10,mean_max_depth,mean_features_used,mean_estimators_actual,default_downstream_score,default_precision_over_standard_k,default_precision_at_10,default_max_depth,default_features_used,runtime_ratio_scope,delta_downstream_score,delta_precision_over_standard_k,delta_precision_at_10,delta_max_depth,delta_features_used
classification,real,cif_all_off,7,7,0.7445586256050961,0.9830951841003184,0.22935698741796084,1.131273187593966,13.641348269110711,1.0171955027072501,3,2,2,0.8755927610311278,,,23.428571428571427,48.141999999999996,100.0,0.8916994302843204,,,11.228571428571428,18.304857142857145,dataset_mean_vs_cif_default,-0.016106669253192596,,,12.2,29.83714285714285
classification,real,cif_default,7,7,1.0,1.0,1.0,1.0,1.0,1.0,0,7,0,0.8916994302843204,,,11.228571428571428,18.304857142857145,100.0,0.8916994302843204,,,11.228571428571428,18.304857142857145,dataset_mean_vs_cif_default,0.0,,,0.0,0.0
classification,real,cif_no_adaptive,7,7,489.10239471532856,482.66844341388753,199.46030522490548,710.5258201152678,0.12940976676656094,0.002071815577846885,0,0,7,0.8819068551326641,,,17.428571428571427,20.99885714285714,100.0,0.8916994302843204,,,11.228571428571428,18.304857142857145,dataset_mean_vs_cif_default,-0.009792575151656324,,,6.199999999999999,2.6939999999999955
classification,real,cif_no_bonferroni,7,7,0.20805696245737634,0.24643548455668968,0.017886499562680756,0.3015579380805922,58.76138384958085,4.057857178315412,7,0,0,0.8928809580504481,,,14.142857142857142,40.67057142857143,100.0,0.8916994302843204,,,11.228571428571428,18.304857142857145,dataset_mean_vs_cif_default,0.0011815277661276768,,,2.9142857142857146,22.365714285714283
classification,real,cif_no_bootstrap,7,7,1.3664408806668804,1.1686602348920456,0.9491128173924422,1.9688526796764092,1.0016931622351968,0.855680693278979,2,1,4,0.8948508269874313,,,10.285714285714286,16.181714285714285,100.0,0.8916994302843204,,,11.228571428571428,18.304857142857145,dataset_mean_vs_cif_default,0.0031513967031109313,,,-0.9428571428571413,-2.1231428571428594
classification,real,cif_no_mute,7,7,0.9478187855004566,0.9890529240316667,0.8767042090507555,1.025933396163742,1.0743429659459427,1.011068240841663,2,3,2,0.8936951481762316,,,11.514285714285714,18.346571428571426,100.0,0.8916994302843204,,,11.228571428571428,18.304857142857145,dataset_mean_vs_cif_default,0.0019957178919112195,,,0.2857142857142865,0.041714285714281374
classification,real,cif_no_scan,7,7,1.24705298134779,1.2128306280303145,1.0388035366757067,1.4698828325801367,0.8588317283936736,0.8245174362260623,2,0,5,0.8861010676147932,,,12.257142857142856,19.985714285714288,100.0,0.8916994302843204,,,11.228571428571428,18.304857142857145,dataset_mean_vs_cif_default,-0.005598362669527179,,,1.0285714285714285,1.6808571428571426
classification,real,cif_no_threshold_scan,7,7,1.0360459444156518,1.0471902527220802,0.9407712214711842,1.1874819113716062,1.0434071971055237,0.9549363140084495,2,2,3,0.8900551119633676,,,16.142857142857142,19.90542857142857,100.0,0.8916994302843204,,,11.228571428571428,18.304857142857145,dataset_mean_vs_cif_default,-0.0016443183209527978,,,4.914285714285715,1.600571428571424
classification,real,cit,7,7,0.22583172557627249,0.23922538337089685,0.07833470213996985,0.3488257573792103,7.964263552102674,4.180158417593974,7,0,0,0.880762886939393,,,8.371428571428572,17.54285714285714,1.0,0.8916994302843204,,,11.228571428571428,18.304857142857145,dataset_mean_vs_cif_default,-0.01093654334492744,,,-2.857142857142856,-0.762000000000004
classification,real,et,7,7,0.09943537459347969,0.013079664719639275,0.0033690525451537897,0.1038787268526787,1578.6812030733695,76.4545591523067,7,0,0,0.8902826967472581,,,0.0,81.25742857142858,100.0,0.8916994302843204,,,11.228571428571428,18.304857142857145,dataset_mean_vs_cif_default,-0.0014167335370622869,,,-11.228571428571428,62.95257142857143
classification,real,rf,7,7,0.1311911982048973,0.01743918995032696,0.004893108714172587,0.1382565135770864,976.112063225691,57.342112956413516,7,0,0,0.8914109000965647,,,0.0,54.04685714285714,100.0,0.8916994302843204,,,11.228571428571428,18.304857142857145,dataset_mean_vs_cif_default,-0.00028853018775576444,,,-11.228571428571428,35.742
classification,synthetic,cif_all_off,8,8,0.041990304519222935,0.017867252254077606,0.011858015197003713,0.021273128051348858,95.6549702273005,56.115138854495754,8,0,0,0.7594009825171776,0.3184,0.5,18.625,27.930500000000002,100.0,0.7801214404888653,0.33265,0.5075000000000001,8.0,4.2795000000000005,dataset_mean_vs_cif_default,-0.020720457971687756,-0.014249999999999985,-0.007500000000000062,10.625,23.651000000000003
classification,synthetic,cif_default,8,8,1.0,1.0,1.0,1.0,1.0,1.0,0,8,0,0.7801214404888653,0.33265,0.5075000000000001,8.0,4.2795000000000005,100.0,0.7801214404888653,0.33265,0.5075000000000001,8.0,4.2795000000000005,dataset_mean_vs_cif_default,0.0,0.0,0.0,0.0,0.0
classification,synthetic,cif_no_adaptive,8,8,25.70571867830085,6.115521959479213,4.4135633888110215,7.698103014923806,0.4162406857609608,0.16366856710412442,1,0,7,0.776656325761564,0.33045,0.505,11.075,5.593249999999999,100.0,0.7801214404888653,0.33265,0.5075000000000001,8.0,4.2795000000000005,dataset_mean_vs_cif_default,-0.003465114727301377,-0.0021999999999999797,-0.0025000000000000577,3.0749999999999993,1.3137499999999989
classification,synthetic,cif_no_bonferroni,8,8,0.005832446932622569,0.0025394837299925585,0.0013712590904807328,0.003911048713759348,473.1455134374689,394.15433866120816,8,0,0,0.7761897797932564,0.3351,0.515,13.4,19.21875,100.0,0.7801214404888653,0.33265,0.5075000000000001,8.0,4.2795000000000005,dataset_mean_vs_cif_default,-0.003931660695608907,0.0024500000000000077,0.007499999999999951,5.4,14.93925
classification,synthetic,cif_no_bootstrap,8,8,0.8454886216896065,0.6820720100415416,0.62713674045985,0.8355943689778214,1.346337269072076,1.4715273431629061,7,0,1,0.7711037495686297,0.33730000000000004,0.5375,5.7,2.5895,100.0,0.7801214404888653,0.33265,0.5075000000000001,8.0,4.2795000000000005,dataset_mean_vs_cif_default,-0.009017690920235633,0.004650000000000043,0.029999999999999916,-2.3,-1.6900000000000004
classification,synthetic,cif_no_mute,8,8,0.9922601873869247,0.9947358577436183,0.9896902587408449,0.9980055521868862,1.0078836159575817,1.005292133891337,0,8,0,0.7799542891076134,0.33355,0.51,8.125,4.281499999999999,100.0,0.7801214404888653,0.33265,0.5075000000000001,8.0,4.2795000000000005,dataset_mean_vs_cif_default,-0.00016715138125189544,0.0009000000000000119,0.0024999999999999467,0.125,0.0019999999999988916
classification,synthetic,cif_no_scan,8,8,1.2697236080037266,1.2488300427976262,1.131667231325328,1.3773261442951568,0.7992073397325549,0.8017067440101491,0,0,8,0.7785377300387194,0.3341,0.51,8.55,4.462,100.0,0.7801214404888653,0.33265,0.5075000000000001,8.0,4.2795000000000005,dataset_mean_vs_cif_default,-0.0015837104501459365,0.0014500000000000068,0.0024999999999999467,0.5500000000000007,0.18249999999999922
classification,synthetic,cif_no_threshold_scan,8,8,1.064725253305313,1.0149846843611594,0.9696962341049435,1.1674778542846533,0.9478567003713406,0.9853426639523966,0,5,3,0.774697629174243,0.333,0.5225000000000001,10.375,4.78,100.0,0.7801214404888653,0.33265,0.5075000000000001,8.0,4.2795000000000005,dataset_mean_vs_cif_default,-0.005423811314622329,0.00035000000000001696,0.015000000000000013,2.375,0.5004999999999997
classification,synthetic,cit,8,8,0.041970393796386694,0.0157103163679355,0.011222123649532482,0.02537198026070401,64.46294172702706,63.79019571611893,8,0,0,0.7596864872709983,0.2915,0.43,4.825,5.3,1.0,0.7801214404888653,0.33265,0.5075000000000001,8.0,4.2795000000000005,dataset_mean_vs_cif_default,-0.020434953217867036,-0.04115000000000002,-0.07750000000000007,-3.175,1.0204999999999993
classification,synthetic,et,8,8,0.0009778633925954393,0.0004989477750878569,0.0002454381411620712,0.0007674345799696068,3030.7233508103136,2010.682155995227,8,0,0,0.7968760304013607,0.3934,0.6375,0.0,85.56925,100.0,0.7801214404888653,0.33265,0.5075000000000001,8.0,4.2795000000000005,dataset_mean_vs_cif_default,0.016754589912495343,0.060750000000000026,0.1299999999999999,-8.0,81.28975
classification,synthetic,rf,8,8,0.001360287260581345,0.0007082268397943893,0.00039214814644489304,0.0010709532550751341,2151.67774281662,1417.6178323964155,8,0,0,0.7963870155089857,0.39195,0.6425,0.0,54.81275,100.0,0.7801214404888653,0.33265,0.5075000000000001,8.0,4.2795000000000005,dataset_mean_vs_cif_default,0.016265575020120382,0.05930000000000002,0.1349999999999999,-8.0,50.53325
regression,real,cif_all_off,2,2,0.5872850242743908,0.5872850242743908,0.42923691741268905,0.7453331311360925,2.397210071444702,2.397210071444702,2,0,0,0.5170676704247759,,,22.0,8.621,100.0,0.5120927966821894,,,12.0,6.258,dataset_mean_vs_cif_default,0.0049748737425864276,,,10.0,2.3630000000000004
regression,real,cif_default,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0,2,0,0.5120927966821894,,,12.0,6.258,100.0,0.5120927966821894,,,12.0,6.258,dataset_mean_vs_cif_default,0.0,,,0.0,0.0
regression,real,cif_no_adaptive,2,2,717.3761092188333,717.3761092188333,540.414418141494,894.3378002961725,0.0018424176216018582,0.0018424176216018582,0,0,2,0.5127186214429126,,,16.5,6.29,100.0,0.5120927966821894,,,12.0,6.258,dataset_mean_vs_cif_default,0.0006258247607231482,,,4.5,0.03200000000000003
regression,real,cif_no_bonferroni,2,2,0.09090587861881053,0.09090587861881053,0.05576679157791324,0.1260449656597078,27.341289626465525,27.341289626465525,2,0,0,0.5120927966821894,,,15.5,7.574,100.0,0.5120927966821894,,,12.0,6.258,dataset_mean_vs_cif_default,0.0,,,3.5,1.3159999999999998
regression,real,cif_no_bootstrap,2,2,1.3381351621573139,1.3381351621573139,1.2811738438324678,1.39509648048216,0.7527647264628033,0.7527647264628033,0,0,2,0.5120927966821894,,,9.5,5.073,100.0,0.5120927966821894,,,12.0,6.258,dataset_mean_vs_cif_default,0.0,,,-2.5,-1.1849999999999996
regression,real,cif_no_mute,2,2,0.9767614301150229,0.9767614301150229,0.9657529677790059,0.98776989245104,1.0243118865658767,1.0243118865658767,0,2,0,0.5120927966821894,,,11.5,6.243,100.0,0.5120927966821894,,,12.0,6.258,dataset_mean_vs_cif_default,0.0,,,-0.5,-0.01499999999999968
regression,real,cif_no_scan,2,2,4.186604632105095,4.186604632105095,2.6833616417662576,5.689847622443933,0.49319736096293576,0.49319736096293576,0,0,2,0.5120927966821894,,,11.5,6.132,100.0,0.5120927966821894,,,12.0,6.258,dataset_mean_vs_cif_default,0.0,,,-0.5,-0.12600000000000033
regression,real,cif_no_threshold_scan,2,2,1.2977081607096952,1.2977081607096952,1.2332748679094507,1.3621414535099396,0.7782638410792864,0.7782638410792864,0,0,2,0.5120927966821894,,,17.0,6.489,100.0,0.5120927966821894,,,12.0,6.258,dataset_mean_vs_cif_default,0.0,,,5.0,0.23099999999999987
regression,real,cit,2,2,0.14153063916493497,0.14153063916493497,0.1283792460594404,0.15468203227042956,7.31837298726119,7.31837298726119,2,0,0,0.5181936426566687,,,8.0,5.6,1.0,0.5120927966821894,,,12.0,6.258,dataset_mean_vs_cif_default,0.006100845974479241,,,-4.0,-0.6580000000000004
regression,real,et,2,2,0.038130044762650236,0.038130044762650236,0.020191615905778795,0.05606847361952168,228.66402375805637,228.66402375805637,2,0,0,0.5176646639545164,,,0.0,9.0,100.0,0.5120927966821894,,,12.0,6.258,dataset_mean_vs_cif_default,0.005571867272326947,,,-12.0,2.742
