draw,feature,cforest,cif,cif_noscreen,rf,rf_oobperm,kind,mean_diff,sd_diff,share_positive,folds
single_draw,age,3.9,5.94,6.66,6.7,4.52,mean_rank,,,,
single_draw,alcohol_freq,17.42,18.3,16.46,20.06,21.78,mean_rank,,,,
single_draw,alt,17.52,18.68,16.52,13.7,13.22,mean_rank,,,,
single_draw,bmi,7.98,7.68,8.5,4.52,2.36,mean_rank,,,,
single_draw,born_us,19.98,27.08,27.64,29.16,25.72,mean_rank,,,,
single_draw,creatinine,13.16,13.32,11.98,5.44,9.84,mean_rank,,,,
single_draw,dbp,19.7,16.68,16.44,14.02,16.02,mean_rank,,,,
single_draw,education,7.92,8.42,6.98,21.6,17.24,mean_rank,,,,
single_draw,ggt,13.46,14.58,16.98,9.52,13.4,mean_rank,,,,
single_draw,hdl,7.48,4.0,4.18,4.98,6.8,mean_rank,,,,
single_draw,heart_disease_dx,10.68,13.08,19.7,23.82,12.42,mean_rank,,,,
single_draw,high_chol_dx,2.98,5.46,7.88,20.48,4.82,mean_rank,,,,
single_draw,hypertension_dx,3.5,5.78,11.12,18.82,6.74,mean_rank,,,,
single_draw,income_ratio,10.6,11.1,10.16,11.58,16.1,mean_rank,,,,
single_draw,insured,24.5,28.6,29.82,29.84,24.52,mean_rank,,,,
single_draw,marital,23.6,24.02,22.8,24.98,25.14,mean_rank,,,,
single_draw,mec_weight,18.32,17.2,19.36,9.24,18.12,mean_rank,,,,
single_draw,race_eth,21.58,23.98,23.0,23.2,21.6,mean_rank,,,,
single_draw,sbp,19.88,20.26,18.5,13.72,12.84,mean_rank,,,,
single_draw,sedentary_min,24.94,22.02,20.98,18.42,23.34,mean_rank,,,,
single_draw,sex,23.2,23.16,21.74,27.02,18.08,mean_rank,,,,
single_draw,shuffled_age,26.92,21.34,20.44,15.58,26.7,mean_rank,,,,
single_draw,shuffled_mec_weight,26.42,23.04,23.06,12.08,25.48,mean_rank,,,,
single_draw,shuffled_sex,25.62,25.26,23.92,27.04,27.58,mean_rank,,,,
single_draw,sleep_hours,24.06,19.9,18.08,17.6,23.88,mean_rank,,,,
single_draw,smoked_100,23.94,24.38,23.82,26.94,25.82,mean_rank,,,,
single_draw,total_chol,2.26,1.86,1.36,1.14,2.9,mean_rank,,,,
single_draw,triglycerides,7.16,7.16,6.6,3.38,8.04,mean_rank,,,,
single_draw,uric_acid,13.94,10.76,7.68,8.54,8.98,mean_rank,,,,
single_draw,waist,2.38,1.96,2.64,1.88,1.0,mean_rank,,,,
single_draw,shuffled_mec_weight,,,,,,contrast_rf_minus_cif,-10.96,4.562312338885954,0.0,50.0
single_draw,shuffled_mec_weight,,,,,,contrast_rf_oobperm_minus_cif,2.44,6.145049442686464,0.62,50.0
single_draw,shuffled_mec_weight,,,,,,contrast_rf_minus_rf_oobperm,-13.4,3.907084094622098,0.0,50.0
single_draw,shuffled_mec_weight,,,,,,contrast_cif_noscreen_minus_cif,0.02,5.916045286907014,0.42,50.0
single_draw,shuffled_mec_weight,,,,,,contrast_cforest_minus_cif,3.38,6.050434290366338,0.66,50.0
redraw_per_repeat,age,3.82,6.1,6.32,6.62,4.74,mean_rank,,,,
redraw_per_repeat,alcohol_freq,19.18,19.0,16.8,19.88,21.1,mean_rank,,,,
redraw_per_repeat,alt,18.1,17.96,17.38,13.56,13.16,mean_rank,,,,
redraw_per_repeat,bmi,7.8,7.52,8.18,4.4,2.44,mean_rank,,,,
redraw_per_repeat,born_us,20.46,27.32,28.02,29.1,25.84,mean_rank,,,,
redraw_per_repeat,creatinine,13.06,14.44,11.92,5.52,10.22,mean_rank,,,,
redraw_per_repeat,dbp,20.12,17.22,16.3,14.12,15.18,mean_rank,,,,
redraw_per_repeat,education,7.84,8.32,7.24,21.6,16.84,mean_rank,,,,
redraw_per_repeat,ggt,13.52,15.0,16.06,9.44,14.08,mean_rank,,,,
redraw_per_repeat,hdl,7.76,4.32,4.44,5.02,6.42,mean_rank,,,,
redraw_per_repeat,heart_disease_dx,10.54,13.18,20.18,23.82,12.66,mean_rank,,,,
redraw_per_repeat,high_chol_dx,2.62,5.3,7.78,20.62,4.82,mean_rank,,,,
redraw_per_repeat,hypertension_dx,3.82,6.04,10.36,18.96,6.86,mean_rank,,,,
redraw_per_repeat,income_ratio,10.62,10.4,10.46,11.74,16.5,mean_rank,,,,
redraw_per_repeat,insured,25.28,28.78,29.72,29.9,25.56,mean_rank,,,,
redraw_per_repeat,marital,23.64,23.38,23.5,25.0,25.5,mean_rank,,,,
redraw_per_repeat,mec_weight,18.96,17.44,18.46,9.44,18.52,mean_rank,,,,
redraw_per_repeat,race_eth,21.58,24.1,23.32,23.18,21.52,mean_rank,,,,
redraw_per_repeat,sbp,20.16,20.0,19.2,13.9,12.76,mean_rank,,,,
redraw_per_repeat,sedentary_min,24.36,22.64,20.72,18.48,24.1,mean_rank,,,,
redraw_per_repeat,sex,23.08,23.66,22.8,26.92,17.68,mean_rank,,,,
redraw_per_repeat,shuffled_age,25.4,20.6,18.72,15.3,25.76,mean_rank,,,,
redraw_per_repeat,shuffled_mec_weight,25.94,21.1,21.44,11.32,26.72,mean_rank,,,,
redraw_per_repeat,shuffled_sex,25.84,25.48,23.48,27.02,26.3,mean_rank,,,,
redraw_per_repeat,sleep_hours,23.56,19.72,19.22,17.46,23.48,mean_rank,,,,
redraw_per_repeat,smoked_100,22.92,24.32,23.96,27.06,25.88,mean_rank,,,,
redraw_per_repeat,total_chol,2.26,1.68,1.66,1.16,2.78,mean_rank,,,,
redraw_per_repeat,triglycerides,6.96,7.3,7.14,3.52,7.68,mean_rank,,,,
redraw_per_repeat,uric_acid,13.3,10.66,7.7,9.1,8.9,mean_rank,,,,
redraw_per_repeat,waist,2.5,2.02,2.52,1.84,1.0,mean_rank,,,,
redraw_per_repeat,shuffled_mec_weight,,,,,,contrast_rf_minus_cif,-9.78,4.696025240692866,0.02,50.0
redraw_per_repeat,shuffled_mec_weight,,,,,,contrast_rf_oobperm_minus_cif,5.62,5.605718654432549,0.84,50.0
redraw_per_repeat,shuffled_mec_weight,,,,,,contrast_rf_minus_rf_oobperm,-15.4,3.440455593940656,0.0,50.0
redraw_per_repeat,shuffled_mec_weight,,,,,,contrast_cif_noscreen_minus_cif,0.34,6.393906537972426,0.56,50.0
redraw_per_repeat,shuffled_mec_weight,,,,,,contrast_cforest_minus_cif,4.84,5.704849351424539,0.72,50.0
