study,task,n,k,threshold_test,stopping,replicates,false_split_rate,ci_low,ci_high,seconds_per_fit
null_calibration,classification,100,16,bonferroni_unadjusted,adaptive,2000,0.042,0.0332087936663959,0.050791206333604,0.005046754404
null_calibration,classification,100,16,bonferroni_unadjusted,exhaustive,2000,0.0425,0.0336589279496205,0.0513410720503794,0.0020562644544999
null_calibration,classification,100,64,bonferroni_unadjusted,adaptive,2000,0.043,0.0341093959260351,0.0518906040739648,0.0015466225589999
null_calibration,classification,100,64,bonferroni_unadjusted,exhaustive,2000,0.0435,0.0345601920490426,0.0524398079509573,0.001610856139
null_calibration,classification,100,256,bonferroni_unadjusted,adaptive,2000,0.043,0.0341093959260351,0.0518906040739648,0.001550913355
null_calibration,classification,100,256,bonferroni_unadjusted,exhaustive,2000,0.0435,0.0345601920490426,0.0524398079509573,0.001621743272
null_calibration,classification,200,16,bonferroni_unadjusted,adaptive,2000,0.037,0.0287271513491421,0.0452728486508578,0.001747729303
null_calibration,classification,200,16,bonferroni_unadjusted,exhaustive,2000,0.0375,0.0291736037206964,0.0458263962793035,0.0018785797239999
null_calibration,classification,200,64,bonferroni_unadjusted,adaptive,2000,0.0385,0.0300676993530828,0.0469323006469171,0.0016782791385
null_calibration,classification,200,64,bonferroni_unadjusted,exhaustive,2000,0.039,0.0305153277494059,0.047484672250594,0.0018798147975
null_calibration,classification,200,256,bonferroni_unadjusted,adaptive,2000,0.0385,0.0300676993530828,0.0469323006469171,0.001720882566
null_calibration,classification,200,256,bonferroni_unadjusted,exhaustive,2000,0.039,0.0305153277494059,0.047484672250594,0.0019235526894999
null_calibration,classification,500,16,bonferroni_unadjusted,adaptive,2000,0.036,0.0278354765478933,0.0441645234521066,0.002097715077
null_calibration,classification,500,16,bonferroni_unadjusted,exhaustive,2000,0.0355,0.0273902705470527,0.0436097294529472,0.0023894580185
null_calibration,classification,500,64,bonferroni_unadjusted,adaptive,2000,0.036,0.0278354765478933,0.0441645234521066,0.0020276578204999
null_calibration,classification,500,64,bonferroni_unadjusted,exhaustive,2000,0.0355,0.0273902705470527,0.0436097294529472,0.0024079510374999
null_calibration,classification,500,256,bonferroni_unadjusted,adaptive,2000,0.036,0.0278354765478933,0.0441645234521066,0.0021061377104999
null_calibration,classification,500,256,bonferroni_unadjusted,exhaustive,2000,0.0355,0.0273902705470527,0.0436097294529472,0.0025097077694999
null_calibration,regression,100,16,bonferroni_unadjusted,adaptive,2000,0.0485,0.0390850863944484,0.0579149136055515,0.0024260824889999
null_calibration,regression,100,16,bonferroni_unadjusted,exhaustive,2000,0.049,0.039539167097977,0.0584608329020229,0.0017740147334999
null_calibration,regression,100,64,bonferroni_unadjusted,adaptive,2000,0.0485,0.0390850863944484,0.0579149136055515,0.0013765054765
null_calibration,regression,100,64,bonferroni_unadjusted,exhaustive,2000,0.049,0.039539167097977,0.0584608329020229,0.001490651471
null_calibration,regression,100,256,bonferroni_unadjusted,adaptive,2000,0.0485,0.0390850863944484,0.0579149136055515,0.0013868160149999
null_calibration,regression,100,256,bonferroni_unadjusted,exhaustive,2000,0.049,0.039539167097977,0.0584608329020229,0.001484734832
null_calibration,regression,200,16,bonferroni_unadjusted,adaptive,2000,0.0455,0.0363665524690837,0.0546334475309162,0.0014572733379999
null_calibration,regression,200,16,bonferroni_unadjusted,exhaustive,2000,0.046,0.0368189114370898,0.0551810885629101,0.0015790629665
null_calibration,regression,200,64,bonferroni_unadjusted,adaptive,2000,0.046,0.0368189114370898,0.0551810885629101,0.0014922429394999
null_calibration,regression,200,64,bonferroni_unadjusted,exhaustive,2000,0.0465,0.0372715683781045,0.0557284316218954,0.0015961784369999
null_calibration,regression,200,256,bonferroni_unadjusted,adaptive,2000,0.046,0.0368189114370898,0.0551810885629101,0.0015629788785
null_calibration,regression,200,256,bonferroni_unadjusted,exhaustive,2000,0.0465,0.0372715683781045,0.0557284316218954,0.0016586409724999
null_calibration,regression,500,16,bonferroni_unadjusted,adaptive,2000,0.0435,0.0345601920490426,0.0524398079509573,0.0017780001695
null_calibration,regression,500,16,bonferroni_unadjusted,exhaustive,2000,0.0445,0.0354627473311852,0.0535372526688147,0.0021288341709999
null_calibration,regression,500,64,bonferroni_unadjusted,adaptive,2000,0.044,0.0350113109298407,0.0529886890701592,0.00179956655
null_calibration,regression,500,64,bonferroni_unadjusted,exhaustive,2000,0.045,0.0359144961614668,0.0540855038385331,0.002143005875
null_calibration,regression,500,256,bonferroni_unadjusted,adaptive,2000,0.044,0.0350113109298407,0.0529886890701592,0.0018987035445
null_calibration,regression,500,256,bonferroni_unadjusted,exhaustive,2000,0.045,0.0359144961614668,0.0540855038385331,0.002250376165
