study,task,n,k,threshold_test,stopping,nominal_alpha,effect,step_quantile,replicates,split_rate,ci_low,ci_high,seconds_per_fit
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.02,0.0,0.5,500,0.08,0.0562201026074543,0.1037798973925456,0.017279934744
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.02,0.05,0.5,200,0.14,0.0919100509461696,0.1880899490538303,0.0017312367649999
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.02,0.1,0.5,200,0.455,0.3859847567562064,0.5240152432437937,0.0016667426699999
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.02,0.2,0.5,200,0.96,0.93284144333732,0.98715855666268,0.001291254005
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.05,0.0,0.5,500,0.156,0.124194326845671,0.1878056731543289,0.002043709392
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.05,0.05,0.5,200,0.245,0.1853929551143491,0.3046070448856509,0.002030830375
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.05,0.1,0.5,200,0.525,0.4557902102300549,0.5942097897699451,0.0019591261949999
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.05,0.2,0.5,200,0.97,0.946357817359643,0.993642182640357,0.001319936085
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.1,0.0,0.5,500,0.236,0.1987802244391506,0.2732197755608493,0.001391572972
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.1,0.05,0.5,200,0.345,0.279117317905234,0.4108826820947659,0.001342631485
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.1,0.1,0.5,200,0.61,0.5424013077049563,0.6775986922950437,0.001320759255
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.1,0.2,0.5,200,0.975,0.9533621858774968,0.9966378141225032,0.0010909300999999
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.2,0.0,0.5,500,0.408,0.3649213580158333,0.4510786419841666,0.000990915198
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.2,0.05,0.5,200,0.515,0.4457347258721948,0.5842652741278052,0.00096867544
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.2,0.1,0.5,200,0.745,0.684592717326468,0.805407282673532,0.0009834294099999
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.2,0.2,0.5,200,0.98,0.9605969899242413,0.9994030100757588,0.0009988984099999
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.35,0.0,0.5,500,0.47,0.4262520272469683,0.5137479727530316,0.0008957583419999
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.35,0.05,0.5,200,0.545,0.4759847567562064,0.6140152432437936,0.0009052891199999
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.35,0.1,0.5,200,0.775,0.7171260421260132,0.8328739578739869,0.0009441144300001
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.35,0.2,0.5,200,0.99,0.9762101776661192,1.0,0.0009838604699999
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.5,0.0,0.5,500,0.49,0.4461818339041899,0.5338181660958101,0.000873620484
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.5,0.05,0.5,200,0.57,0.5013860014282799,0.63861399857172,0.000879742135
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.5,0.1,0.5,200,0.785,0.7280629277184013,0.8419370722815988,0.000932485195
stageb_only,classification,100,16,bonferroni_unadjusted,adaptive,0.5,0.2,0.5,200,0.99,0.9762101776661192,1.0,0.0009774120849999
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.02,0.0,0.5,500,0.08,0.0562201026074543,0.1037798973925456,0.0058003154259999
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.02,0.05,0.5,200,0.14,0.0919100509461696,0.1880899490538303,0.001662742685
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.02,0.1,0.5,200,0.455,0.3859847567562064,0.5240152432437937,0.001605228135
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.02,0.2,0.5,200,0.96,0.93284144333732,0.98715855666268,0.0012447108249999
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.05,0.0,0.5,500,0.156,0.124194326845671,0.1878056731543289,0.002547597992
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.05,0.05,0.5,200,0.245,0.1853929551143491,0.3046070448856509,0.00249647339
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.05,0.1,0.5,200,0.525,0.4557902102300549,0.5942097897699451,0.002302670225
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.05,0.2,0.5,200,0.97,0.946357817359643,0.993642182640357,0.0013356191799999
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.1,0.0,0.5,500,0.236,0.1987802244391506,0.2732197755608493,0.00138004302
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.1,0.05,0.5,200,0.345,0.279117317905234,0.4108826820947659,0.0013370579749999
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.1,0.1,0.5,200,0.61,0.5424013077049563,0.6775986922950437,0.0013140634599999
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.1,0.2,0.5,200,0.975,0.9533621858774968,0.9966378141225032,0.0010839250499999
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.2,0.0,0.5,500,0.408,0.3649213580158333,0.4510786419841666,0.0009821820039999
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.2,0.05,0.5,200,0.515,0.4457347258721948,0.5842652741278052,0.0009620000999998
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.2,0.1,0.5,200,0.745,0.684592717326468,0.805407282673532,0.0009977398249999
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.2,0.2,0.5,200,0.98,0.9605969899242413,0.9994030100757588,0.0010124490449999
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.35,0.0,0.5,500,0.47,0.4262520272469683,0.5137479727530316,0.000911390312
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.35,0.05,0.5,200,0.545,0.4759847567562064,0.6140152432437936,0.0009178026799999
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.35,0.1,0.5,200,0.775,0.7171260421260132,0.8328739578739869,0.0009571696049999
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.35,0.2,0.5,200,0.99,0.9762101776661192,1.0,0.0009958075199999
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.5,0.0,0.5,500,0.49,0.4461818339041899,0.5338181660958101,0.00088628411
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.5,0.05,0.5,200,0.57,0.5013860014282799,0.63861399857172,0.0008916836699999
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.5,0.1,0.5,200,0.785,0.7280629277184013,0.8419370722815988,0.0009412797050001
stageb_only,classification,100,16,bonferroni_unadjusted,exhaustive,0.5,0.2,0.5,200,0.99,0.9762101776661192,1.0,0.0009854904199998
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.02,0.0,0.5,500,0.126,0.09691212079233,0.1550878792076699,0.0034380001339999
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.02,0.05,0.5,200,0.205,0.1490498096517983,0.2609501903482016,0.0034458500849999
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.02,0.1,0.5,200,0.52,0.4507589948079897,0.5892410051920103,0.0031194211399999
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.02,0.2,0.5,200,0.98,0.9605969899242413,0.9994030100757588,0.0017232543499999
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.05,0.0,0.5,500,0.218,0.1818088242357339,0.2541911757642661,0.0044935057499999
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.05,0.05,0.5,200,0.335,0.2695854588031071,0.4004145411968929,0.0040062093049999
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.05,0.1,0.5,200,0.62,0.5527288709772163,0.6872711290227836,0.003363609375
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.05,0.2,0.5,200,0.985,0.9681536888310824,1.0,0.0015651446399999
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.1,0.0,0.5,500,0.322,0.2810443472619469,0.3629556527380531,0.002283570374
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.1,0.05,0.5,200,0.41,0.3418353816118655,0.4781646183881344,0.00221141571
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.1,0.1,0.5,200,0.69,0.62590170673099,0.7540982932690099,0.00192523373
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.1,0.2,0.5,200,0.98,0.9605969899242413,0.9994030100757588,0.0013878674449999
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.2,0.0,0.5,500,0.456,0.4123430953364763,0.4996569046635237,0.0012337244359999
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.2,0.05,0.5,200,0.55,0.4810508883305956,0.6189491116694045,0.0011606787899999
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.2,0.1,0.5,200,0.765,0.7062367614915583,0.8237632385084417,0.0012656219599999
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.2,0.2,0.5,200,0.985,0.9681536888310824,1.0,0.001290350575
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.35,0.0,0.5,500,0.496,0.4521744701252797,0.5398255298747203,0.0010643428379999
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.35,0.05,0.5,200,0.56,0.4912042792028458,0.6287957207971543,0.001104185115
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.35,0.1,0.5,200,0.78,0.722588391417763,0.8374116085822371,0.0011958826499999
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.35,0.2,0.5,200,0.99,0.9762101776661192,1.0,0.00125977719
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.5,0.0,0.5,500,0.506,0.4621762232937416,0.5498237767062585,0.001025416516
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.5,0.05,0.5,200,0.575,0.506487555874863,0.6435124441251369,0.0010519709149998
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.5,0.1,0.5,200,0.79,0.7335499583702545,0.8464500416297456,0.00115679688
stageb_only,classification,100,64,bonferroni_unadjusted,adaptive,0.5,0.2,0.5,200,0.99,0.9762101776661192,1.0,0.001258238395
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.02,0.0,0.5,500,0.126,0.09691212079233,0.1550878792076699,0.003309562286
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.02,0.05,0.5,200,0.205,0.1490498096517983,0.2609501903482016,0.0032816611549999
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.02,0.1,0.5,200,0.52,0.4507589948079897,0.5892410051920103,0.002927258105
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.02,0.2,0.5,200,0.98,0.9605969899242413,0.9994030100757588,0.001673328265
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.05,0.0,0.5,500,0.218,0.1818088242357339,0.2541911757642661,0.0061825052479999
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.05,0.05,0.5,200,0.335,0.2695854588031071,0.4004145411968929,0.005374718395
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.05,0.1,0.5,200,0.62,0.5527288709772163,0.6872711290227836,0.0043315450149999
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.05,0.2,0.5,200,0.985,0.9681536888310824,1.0,0.001612696225
stageb_only,classification,100,64,bonferroni_unadjusted,exhaustive,0.1,0.0,0.5,500,0.322,0.2810443472619469,0.3629556527380531,0.0023375608179999
